Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
CN,0.1347,0.2442,0.2799,0.2799,0.1985,0.1347,0.2442,0.2799,0.2799,0.6395,0.6396
node2vec_mrr,0.0306,0.043,0.0937,0.3354,0.054,0.0306,0.043,0.0937,0.3354,0.8996,0.8875
node2vec_mrr_d97ad170-fd99-402c-87b4-e64b2408153c,0.015,0.0545,0.108,0.343,0.0452,0.015,0.0545,0.108,0.343,0.9013,0.8899
node2vec_mrr_6322deb3-6cb5-489b-9ecb-e9f579299807,0.0227,0.0507,0.1138,0.3552,0.0528,0.0227,0.0507,0.1138,0.3552,0.9079,0.8969
node2vec_mrr_9f6446c1-93cd-4131-96b2-df96090464a7,0.0227,0.027,0.0413,0.176,0.0328,0.0227,0.027,0.0413,0.176,0.8693,0.8391
node2vec_mrr_eeecb66f-7ec3-4737-b929-3f767a56f6f4,0.0214,0.0234,0.0267,0.2631,0.0301,0.0214,0.0234,0.0267,0.2631,0.8831,0.8541
node2vec_mrr_27878d61-3e8f-445b-8f04-e872933c5cbf,0.0132,0.0275,0.0576,0.3896,0.0361,0.0132,0.0275,0.0576,0.3896,0.9079,0.8956
node2vec_mrr_861e4b5b-446b-4860-b767-475da21741b0,0.0244,0.0395,0.0581,0.3972,0.0468,0.0244,0.0395,0.0581,0.3972,0.9151,0.9019
node2vec_mrr_bef95cb7-8157-4c27-a6b6-f84760c669ce,0.0109,0.0206,0.0336,0.3484,0.0286,0.0109,0.0206,0.0336,0.3484,0.9029,0.8835
node2vec_mrr_9e32b0bc-e718-48d9-8d64-b0f00b457313,0.0199,0.0229,0.0507,0.3583,0.0356,0.0199,0.0229,0.0507,0.3583,0.9103,0.8924
node2vec_mrr_fe25389a-9000-4a5d-b8af-d1f25ac70417,0.0204,0.0303,0.053,0.3845,0.0405,0.0204,0.0303,0.053,0.3845,0.9089,0.8945
node2vec_mrr_fb95b526-8ad3-4a13-b5cb-966b741682eb,0.0244,0.0278,0.0423,0.3056,0.0373,0.0244,0.0278,0.0423,0.3056,0.8925,0.8695
node2vec_mrr_4cb95479-5bd8-4bb4-b193-510bf93d869d,0.0242,0.029,0.0693,0.3886,0.0442,0.0242,0.029,0.0693,0.3886,0.9155,0.9011
node2vec_mrr_7f119c7b-5a17-4dbe-b63f-c9590e0e5594,0.0219,0.0252,0.0423,0.3517,0.0357,0.0219,0.0252,0.0423,0.3517,0.9038,0.8837
node2vec_mrr_58f77c5e-6582-4e15-ba5f-8911cdb7f7a9,0.0122,0.0265,0.0374,0.2674,0.0284,0.0122,0.0265,0.0374,0.2674,0.8877,0.8618
node2vec_mrr_ea3fc576-c3df-4ed9-98e5-2f1ff96db6da,0.0122,0.0229,0.028,0.3188,0.0264,0.0122,0.0229,0.028,0.3188,0.8837,0.8617
node2vec_mrr_4762c606-0dbb-4e83-ae49-e7931789b3af,0.0227,0.025,0.0423,0.3769,0.0375,0.0227,0.025,0.0423,0.3769,0.9029,0.8878
node2vec_mrr_af02eaf1-147d-487a-8008-a9e62dfbcfad,0.0262,0.0295,0.0471,0.3838,0.0419,0.0262,0.0295,0.0471,0.3838,0.9097,0.8938
node2vec_mrr_f6af5c05-db76-4858-be99-acb7d4e66bbb,0.0216,0.0232,0.042,0.1902,0.0315,0.0216,0.0232,0.042,0.1902,0.8645,0.8343
node2vec_mrr_0986add2-284f-4991-821f-e64e701650f4,0.0102,0.0255,0.0435,0.3687,0.0314,0.0102,0.0255,0.0435,0.3687,0.9025,0.8852
node2vec_mrr_a88a6841-a1e3-44c3-8063-4e64c584f123,0.0107,0.0191,0.0262,0.2821,0.0239,0.0107,0.0191,0.0262,0.2821,0.8846,0.8559
node2vec_mrr_c001199e-e0b8-4008-9b82-9d0016f4dbf5,0.0188,0.0385,0.0573,0.3349,0.0412,0.0188,0.0385,0.0573,0.3349,0.909,0.8921
node2vec_mrr_73943717-11d5-432f-b25d-e28b51b8b102,0.0219,0.0229,0.0295,0.3287,0.0317,0.0219,0.0229,0.0295,0.3287,0.8849,0.862
node2vec_mrr_2e2777bc-581d-4cdf-8960-74659b1b1f66,0.0155,0.0209,0.0331,0.3175,0.0283,0.0155,0.0209,0.0331,0.3175,0.8939,0.8692
node2vec_mrr_4d06ae88-a156-4773-9d8e-62796742495b,0.0112,0.0242,0.0351,0.3619,0.0294,0.0112,0.0242,0.0351,0.3619,0.8952,0.8783
node2vec_mrr_5be3036a-1067-436b-a42c-f989f1b16cf0,0.0476,0.0789,0.1039,0.3802,0.0761,0.0476,0.0789,0.1039,0.3802,0.9226,0.9114
node2vec_mrr_5441924a-521b-44c8-be84-c06c776daa37,0.0125,0.0237,0.0283,0.262,0.0246,0.0125,0.0237,0.0283,0.262,0.8784,0.8523
node2vec_mrr_e9cc0e2e-a22e-458c-b41a-0877b63253ca,0.0148,0.0219,0.0357,0.2223,0.0281,0.0148,0.0219,0.0357,0.2223,0.8842,0.8541
node2vec_mrr_76adca49-3d76-4c6c-874d-ce531e40fe65,0.0196,0.026,0.0362,0.3575,0.0337,0.0196,0.026,0.0362,0.3575,0.8985,0.8813
node2vec_mrr_e965ad95-6bcc-47c5-8fe7-c7025ced2168,0.042,0.0525,0.0682,0.4018,0.0613,0.042,0.0525,0.0682,0.4018,0.9136,0.9029
node2vec_mrr_02cf1ece-9608-4d68-aa23-02f592224c4a,0.013,0.0308,0.042,0.357,0.033,0.013,0.0308,0.042,0.357,0.9092,0.8908
node2vec_mrr_4576611c-468e-4bc9-b95e-20ae01d2e4bc,0.0155,0.0173,0.029,0.2839,0.026,0.0155,0.0173,0.029,0.2839,0.8878,0.8614
node2vec_mrr_bf3ba5aa-4446-4b7e-b269-1690c8a85fd2,0.013,0.0181,0.0247,0.1823,0.022,0.013,0.0181,0.0247,0.1823,0.8605,0.8259
node2vec_mrr_cf8ce4eb-e3f5-4127-9cf8-6ba17b2d2234,0.0216,0.027,0.0509,0.3733,0.0399,0.0216,0.027,0.0509,0.3733,0.9051,0.8914
node2vec_mrr_52b44b04-c455-42f4-b65a-8bfa76a4d408,0.0344,0.0491,0.1688,0.4764,0.0716,0.0344,0.0491,0.1688,0.4764,0.9331,0.927
