Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
CN,0.5095,0.5095,0.5095,0.5095,0.5132,0.5095,0.5095,0.5095,0.5095,0.7548,0.7548
CN,0.2319,0.5171,0.5171,0.5171,0.3781,0.2319,0.5171,0.5171,0.5171,0.7556,0.7544
AA,0.4677,0.5171,0.5171,0.5171,0.4945,0.4677,0.5171,0.5171,0.5171,0.7565,0.7581
RA,0.4677,0.5171,0.5171,0.5171,0.4945,0.4677,0.5171,0.5171,0.5171,0.7565,0.7581
InverseRA,0.0608,0.5019,0.5019,0.5019,0.2851,0.0608,0.5019,0.5019,0.5019,0.7483,0.7433
Ben_PPR,0.5285,0.6008,0.711,0.8327,0.583,0.5285,0.6008,0.711,0.8327,0.8383,0.8992
SymPPR,0.6198,0.7452,0.8213,0.9011,0.6762,0.6198,0.7452,0.8213,0.9011,0.9048,0.9413
shortest_path,0.0,0.5171,0.5171,0.7871,0.2857,0.0,0.5171,0.6806,0.8175,0.8177,0.8659
katz_apro,0.3536,0.5513,0.6008,0.6806,0.4577,0.3536,0.5513,0.6806,0.6806,0.8294,0.8314
katz_close,0.3688,0.5703,0.6426,0.8061,0.4601,0.3688,0.5703,0.6426,0.8061,0.8198,0.8827
Best,0.6198,0.7452,0.8213,0.9011,0.6762,0.6198,0.7452,0.8213,0.9011,0.9048,0.9413
