Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
CN,0.0993,0.1751,0.3366,0.3366,0.2043,0.0993,0.3366,0.3366,0.3366,0.6677,0.6675
node2vec_mrr_af16eb46-c4c4-4b3d-b0a2-fcb54cd72189,0.25,0.3412,0.4292,0.6074,0.3135,0.25,0.3412,0.4292,0.6074,0.7696,0.8485
node2vec_mrr_7e27d957-b2a9-4fb2-afc8-b7b5686a0cdb,0.1778,0.2965,0.3547,0.5808,0.2414,0.1778,0.2965,0.3547,0.5808,0.751,0.834
node2vec_mrr_36195073-5084-4b7a-a48a-b63aeab061c5,0.0059,0.2256,0.3218,0.5623,0.1273,0.0059,0.2256,0.3218,0.5623,0.7425,0.825
node2vec_mrr_72b8919d-45a5-41ab-a480-e3864b7f7c56,0.1286,0.208,0.3533,0.5618,0.1966,0.1286,0.208,0.3533,0.5618,0.7495,0.8289
node2vec_mrr_f4d1c4bd-a261-4162-b445-34f36de1fe94,0.1968,0.2595,0.3885,0.5645,0.2457,0.1968,0.2595,0.3885,0.5645,0.7401,0.8263
node2vec_mrr_8d355903-c357-44d8-a238-d6f56f7309e2,0.1825,0.4411,0.5703,0.8783,0.3248,0.1825,0.4411,0.5703,0.8783,0.8502,0.8853
node2vec_mrr_c0777a96-3000-4162-8695-08532975da40,0.3536,0.4829,0.597,0.8289,0.4321,0.3536,0.4829,0.597,0.8289,0.8257,0.8782
node2vec_mrr_b79ef960-d29b-404e-a242-70d6a3ebd55d,0.1293,0.289,0.5399,0.8593,0.2495,0.1293,0.289,0.5399,0.8593,0.8479,0.8771
node2vec_mrr_253c1d88-d73e-44c0-8c78-b855357223bf,0.1293,0.4373,0.5627,0.8517,0.3126,0.1293,0.4373,0.5627,0.8517,0.8382,0.8763
node2vec_mrr_0d4f4cb1-e302-4f3c-95f1-d133e7d9d64e,0.0875,0.2586,0.5741,0.8251,0.2527,0.0875,0.2586,0.5741,0.8251,0.8336,0.8715
node2vec_mrr_bb20043f-735e-43c0-8231-13c5f04c10a1,0.1483,0.3612,0.5703,0.8213,0.2697,0.1483,0.3612,0.5703,0.8213,0.8289,0.8711
node2vec_mrr_db17316a-50a2-4f85-a698-b2815964468c,0.0183,0.0257,0.0423,0.3305,0.0332,0.0183,0.0257,0.0423,0.3305,0.9085,0.887
node2vec_mrr_5574b8a7-92ee-4020-a900-be906413fd61,0.2776,0.4943,0.5589,0.8517,0.4022,0.2776,0.4943,0.5589,0.8517,0.845,0.8885
node2vec_mrr_a1998fc3-2210-4d30-92ca-ff4fb8e7f74d,0.1787,0.3916,0.635,0.8327,0.3202,0.1787,0.3916,0.635,0.8327,0.8432,0.8861
node2vec_mrr_77f7a601-7f16-47b8-a31a-6c3d4bad16f8,0.1787,0.4601,0.6236,0.8327,0.3352,0.1787,0.4601,0.6236,0.8327,0.8419,0.8867
node2vec_mrr_d87882fb-6598-4b0a-97e4-4e978c88ea68,0.2281,0.2966,0.6084,0.8517,0.3202,0.2281,0.2966,0.6084,0.8517,0.8426,0.8806
node2vec_mrr_a3225c67-5d6c-48dc-a5eb-09a1e6745e36,0.0176,0.0232,0.0438,0.3257,0.0342,0.0176,0.0232,0.0438,0.3257,0.8942,0.8761
node2vec_mrr_daa65634-c9ff-43ec-8ac0-220903229f1d,0.1293,0.3194,0.5285,0.8327,0.2721,0.1293,0.3194,0.5285,0.8327,0.8415,0.8765
node2vec_mrr_ff096f2d-cdef-4020-b011-2d15838d96ea,0.1065,0.4106,0.5741,0.8327,0.2846,0.1065,0.4106,0.5741,0.8327,0.8361,0.8751
node2vec_mrr_e5f49c92-ca0e-4d89-8c15-4738f297095b,0.1559,0.4106,0.5817,0.8517,0.3176,0.1559,0.4106,0.5817,0.8517,0.8502,0.8858
node2vec_mrr_ad8762b6-b183-43ef-9a16-6165f46db1b5,0.0232,0.0372,0.0568,0.3703,0.0425,0.0232,0.0372,0.0568,0.3703,0.9157,0.8981
node2vec_mrr_ec783251-36f6-440b-b473-137026415bcd,0.3916,0.4144,0.5779,0.8251,0.4463,0.3916,0.4144,0.5779,0.8251,0.8448,0.8865
node2vec_mrr_475fa186-5981-49ec-972e-e2f1159aebd0,0.1217,0.2852,0.5665,0.8555,0.2631,0.1217,0.2852,0.5665,0.8555,0.8472,0.8787
node2vec_mrr_bbbf0747-c145-4d0e-b4e0-28ebc4cb8193,0.0798,0.403,0.5817,0.8403,0.2398,0.0798,0.403,0.5817,0.8403,0.8427,0.8763
node2vec_mrr_e7ee1568-7128-4790-9ee3-eb3153f948a4,0.1255,0.3536,0.5856,0.7985,0.2685,0.1255,0.3536,0.5856,0.7985,0.8252,0.8701
node2vec_mrr_142f46e0-4772-4ceb-931c-7ac320ba8ed1,0.0481,0.053,0.0685,0.3759,0.0636,0.0481,0.053,0.0685,0.3759,0.9155,0.901
node2vec_mrr_bfda1ced-dd3e-4ca9-b6a3-3f37b16430a2,0.1521,0.2395,0.4981,0.8745,0.2551,0.1521,0.2395,0.4981,0.8745,0.8608,0.881
