Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,7.76,17.04,25.56,41.08,58.62,64.45,13.56,7.76,17.04,25.56,41.08,58.62,64.45,90.2,91.01,76.78,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,inner,2000,1.1157031059265137,1.1561000347137451,4848
Tune,7.76,17.04,25.56,41.08,58.62,64.45,13.56,7.76,17.04,25.56,41.08,58.62,64.45,90.2,91.01,76.78,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,inner,2000,0.9894769191741944,1.0097014904022217,4848
Tune,7.51,17.04,34.28,42.85,60.34,73.12,13.24,7.51,17.04,34.28,42.85,60.34,73.12,94.57,94.72,87.2,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,dot,2000,1.071524143218994,1.0991036891937256,4865
Tune,14.0,13.18,31.49,51.47,60.09,72.82,13.61,14.0,13.18,31.49,51.47,60.09,72.82,94.61,94.76,87.04,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,dot,2000,1.2284491062164309,1.2739996910095217,4865
Tune,8.57,15.92,34.28,42.85,60.34,73.12,13.24,8.57,15.92,34.28,42.85,60.34,73.12,94.57,94.72,87.2,16,32,4,0.1,0,1,0.015,1,2,64,1,2,0.1,inner,2000,0.9543707370758056,0.977109432220459,4848
Tune,8.57,15.92,31.49,51.47,60.09,72.82,13.61,8.57,15.92,31.49,51.47,60.09,72.82,94.61,94.76,87.04,16,32,4,0.1,0,1,0.015,1,2,64,1,2,0.1,inner,2000,0.902066707611084,0.9315352439880372,4848
Tune,15.01,20.18,46.86,61.31,82.05,94.32,21.47,15.01,20.18,46.86,61.31,82.05,94.32,98.41,98.07,94.57,16,32,4,0.1,0,1,0.015,1,2,64,1,2,0.1,dot,2000,1.0936827659606934,1.124528884887695,6001
Tune,8.77,22.21,51.22,66.18,83.62,91.33,18.51,8.77,22.21,51.22,66.18,83.62,91.33,98.27,97.93,94.22,16,32,4,0.1,0,1,0.015,1,2,64,1,2,0.1,dot,2000,0.9027411937713624,0.916205644607544,6001
Tune,15.01,20.18,46.86,61.31,82.05,94.32,21.47,15.01,20.18,46.86,61.31,82.05,94.32,98.41,98.07,94.57,16,32,4,0.1,0,1,0.015,1,2,64,1,3,0.1,inner,2000,1.216249942779541,1.2302703857421875,4848
Tune,8.77,22.21,51.22,66.18,83.62,91.33,18.51,8.77,22.21,51.22,66.18,83.62,91.33,98.27,97.93,94.22,16,32,4,0.1,0,1,0.015,1,2,64,1,3,0.1,inner,2000,1.201521396636963,1.233232498168945,4848
Tune,15.01,20.18,46.86,61.31,82.05,94.32,21.47,15.01,20.18,46.86,61.31,82.05,94.32,98.41,98.07,100.0,16,32,4,0.1,0,1,0.015,1,2,64,1,3,0.1,dot,2000,1.0049538612365725,1.017446994781494,10161
Tune,8.77,18.2,39.6,72.11,88.95,95.89,18.51,8.77,18.2,39.6,72.11,88.95,95.89,98.74,98.56,95.46,16,32,4,0.1,0,1,0.015,1,2,64,1,3,0.1,dot,2000,1.3255527019500732,1.3531877994537354,10161
Best,15.01,22.21,51.22,72.11,88.95,95.89,21.47,15.01,22.21,51.22,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,1,2,64,1,3,0.1,inner,2000,1.3255527019500732,1.3531877994537354,10161
