Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs,train_time,test_time,params
arxiv_2023_runodfrxrtw_GAT,12.32,15.06,32.61,56.34,70.54,88.29,18.63,12.32,15.06,32.61,56.34,70.54,88.29,97.39,96.85,94.67,0.01,1024,32,32,4,0.1,0.0,5,10000,0.951225519180298,0.9829254150390624,9696
arxiv_2023_runnhnn5b7y_GAT,12.32,15.06,32.61,53.7,70.54,89.25,18.63,12.32,15.06,32.61,53.7,70.54,89.25,97.41,96.88,94.7,0.01,1024,32,32,4,0.1,0.0,6,10000,0.9740688800811768,1.0112733840942385,9696
arxiv_2023_runanp986p3_GAT,12.32,15.06,32.61,53.7,70.54,89.25,18.63,12.32,15.06,32.61,53.7,70.54,89.25,97.41,96.88,94.7,0.01,1024,32,32,4,0.1,0.0,7,10000,0.9197022914886476,0.9390804767608644,9696
arxiv_2023_runssfq5cl9_GAT,13.69,20.03,32.61,53.7,72.36,88.74,19.64,13.69,20.03,32.61,53.7,72.36,88.74,97.42,96.89,94.7,0.01,1024,32,32,4,0.2,0.0,5,10000,0.7902078628540039,0.8275134563446045,9696
arxiv_2023_run2q3am467_GAT,13.39,16.63,33.06,55.53,71.2,88.69,19.45,13.39,16.63,33.06,55.53,71.2,88.69,97.39,96.87,94.65,0.01,1024,32,32,4,0.1,0.0,5,10000,1.2200262546539309,1.2662732601165771,9696
arxiv_2023_runvguj9ov7_GAT,11.87,14.91,32.91,53.85,71.6,89.5,18.82,11.87,14.91,32.91,53.85,71.6,89.5,97.41,96.88,94.75,0.01,1024,32,32,4,0.1,0.0,6,10000,1.099179744720459,1.1520986557006836,9696
arxiv_2023_runs3y047au_GAT,13.69,20.03,32.61,53.7,72.36,88.74,19.64,13.69,20.03,32.61,53.7,72.36,88.74,97.42,96.89,94.7,0.01,1024,32,32,4,0.2,0.0,6,10000,0.7950220108032227,0.8151309490203857,9696
arxiv_2023_run54yimgk2_GAT,13.39,16.63,33.06,53.8,71.7,89.45,19.45,13.39,16.63,33.06,53.8,71.7,89.45,97.41,96.88,94.75,0.01,1024,32,32,4,0.1,0.0,6,10000,1.14154052734375,1.1738154888153076,9696
arxiv_2023_runxd1ziekn_GAT,11.87,14.91,32.91,53.85,71.96,89.1,18.82,11.87,14.91,32.91,53.85,71.96,89.1,97.41,96.89,94.75,0.01,1024,32,32,4,0.1,0.0,7,10000,1.2616124153137207,1.2863256931304932,9696
arxiv_2023_runqu3f2f3j_GAT,13.69,20.03,32.61,53.7,72.36,88.74,19.64,13.69,20.03,32.61,53.7,72.36,88.74,97.42,96.89,94.7,0.01,1024,32,32,4,0.2,0.0,7,10000,0.9114563465118408,0.9321670532226562,9696
arxiv_2023_runqhnpjvad_GAT,13.39,16.63,33.06,53.8,71.7,89.45,19.45,13.39,16.63,33.06,53.8,71.7,89.45,97.41,96.88,94.75,0.01,1024,32,32,4,0.1,0.0,7,10000,1.0238676071166992,1.0868797302246094,9696
arxiv_2023_runvfbfdof2_GAT,13.29,16.43,32.91,47.82,71.96,89.1,19.0,13.29,16.43,32.91,47.82,71.96,89.1,97.41,96.89,94.75,0.01,1024,32,32,4,0.1,0.1,5,10000,0.9820668697357178,1.011847972869873,9696
arxiv_2023_runttjo3vcf_GAT,11.31,20.03,32.61,55.32,72.36,88.74,18.08,11.31,20.03,32.61,55.32,72.36,88.74,97.42,96.89,94.7,0.01,1024,32,32,4,0.2,0.1,5,10000,0.8090379238128662,0.8527414798736572,9696
arxiv_2023_runa090u8vh_GAT,13.13,20.23,33.06,53.8,71.7,89.45,18.71,13.13,20.23,33.06,53.8,71.7,89.45,97.41,96.88,94.75,0.01,1024,32,32,4,0.1,0.1,5,10000,1.0727336406707764,1.139354944229126,9696
arxiv_2023_runua1liej2_GAT,11.31,20.03,32.61,55.32,72.36,88.74,18.08,11.31,20.03,32.61,55.32,72.36,88.74,97.42,96.89,94.7,0.01,1024,32,32,4,0.2,0.1,6,10000,0.889345645904541,0.9130802154541016,9696
arxiv_2023_runjrd87mq7_GAT,13.29,16.53,32.91,47.82,71.96,89.1,19.0,13.29,16.53,32.91,47.82,71.96,89.1,97.41,96.89,94.75,0.01,1024,32,32,4,0.1,0.1,6,10000,1.2248671054840088,1.2477695941925049,9696
arxiv_2023_runv4gqt5iu_GAT,13.13,20.08,33.06,54.21,71.7,89.45,18.71,13.13,20.08,33.06,54.21,71.7,89.45,97.41,96.88,94.75,0.01,1024,32,32,4,0.1,0.1,6,10000,1.0572428703308103,1.0879335403442385,9696
arxiv_2023_runllw4tzz8_GAT,11.31,20.03,30.58,55.32,72.36,88.74,18.08,11.31,20.03,30.58,55.32,72.36,88.74,97.42,96.89,94.7,0.01,1024,32,32,4,0.2,0.1,7,10000,1.017078876495361,1.039313554763794,9696
arxiv_2023_rungjsz79m4_GAT,13.74,19.22,32.91,47.82,71.96,89.1,19.67,13.74,19.22,32.91,47.82,71.96,89.1,97.41,96.89,94.75,0.01,1024,32,32,4,0.1,0.1,7,10000,1.1017298698425293,1.1204512119293213,9696
arxiv_2023_runuvkw5jiw_GAT,11.31,20.03,30.58,55.32,72.36,88.74,18.08,11.31,20.03,30.58,55.32,72.36,88.74,97.42,96.89,94.7,0.01,1024,32,32,2,0.1,0.0,5,10000,1.006643295288086,1.040187120437622,9696
