Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
arxiv_2023_run2tukuhyo_GCN_Variant_hyperrjmpdtao,9.74,16.63,25.15,31.09,38.03,44.73,14.59,9.74,16.63,25.15,31.09,38.03,44.73,82.09,84.62,72.92,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,1000,3.3676912784576416,3.427114725112915,4816
Tune,9.38,17.14,23.33,31.9,44.27,53.65,15.09,9.38,17.14,23.33,31.9,44.27,53.65,86.36,87.33,75.94,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,2000,0.7730755805969238,0.7849018573760986,4816
Tune,9.38,17.14,31.44,42.19,48.53,55.68,15.09,9.38,17.14,31.44,42.19,48.53,55.68,86.36,87.33,76.88,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,dot,2000,0.8065826892852783,0.8191311359405518,4833
Tune,9.38,17.14,31.44,42.19,48.53,55.68,15.09,9.38,17.14,31.44,42.19,48.53,55.68,86.36,87.33,76.88,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,inner,2000,0.8458776473999023,0.8728153705596924,4816
Tune,14.35,25.61,64.3,77.84,89.15,93.26,32.22,14.35,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,dot,2000,0.8919432163238525,0.9391846656799316,5969
Tune,14.35,25.61,64.3,77.84,89.15,93.26,32.22,14.35,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,inner,2000,0.8505592346191406,0.8766095638275146,4816
Tune,3.35,25.61,64.3,77.84,89.15,93.26,32.22,3.35,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,dot,2000,0.955458164215088,0.9939858913421632,10129
Tune,3.35,25.61,64.3,77.84,89.15,93.26,32.22,3.35,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,inner,2000,0.6839773654937744,0.6956384181976318,4816
Tune,3.35,25.61,64.3,77.84,89.15,93.26,32.22,3.35,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,dot,2000,0.8569278717041016,0.8752570152282715,4833
Tune,3.35,25.61,64.3,77.84,89.15,93.26,32.22,3.35,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,2,0.1,inner,2000,0.6869616508483887,0.7227773666381836,4816
Tune,3.35,25.61,64.3,77.84,89.15,93.26,32.22,3.35,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,2,0.1,dot,2000,0.9301755428314208,0.9903135299682616,5393
Tune,3.35,25.61,64.3,77.84,89.15,93.26,32.22,3.35,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,3,0.1,inner,2000,0.8631815910339355,0.8964941501617432,4816
Tune,6.44,25.61,64.3,77.84,89.15,93.26,32.22,6.44,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,3,0.1,dot,2000,1.0331850051879885,1.0709097385406494,6449
Tune,6.44,25.61,64.3,77.84,89.15,93.26,32.22,6.44,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,1,0.1,inner,2000,0.7328555583953857,0.7702360153198242,4816
Tune,6.44,25.61,64.3,77.84,89.15,93.26,32.22,6.44,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,1,0.1,dot,2000,0.8812665939331055,0.8932485580444336,4833
Tune,6.44,25.61,64.3,77.84,89.15,93.26,32.22,6.44,25.61,64.3,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,2,0.1,inner,2000,0.8090653419494629,0.8616514205932617,4816
Tune,0.0,25.61,64.71,77.84,89.15,93.26,34.19,0.0,25.61,64.71,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,2,0.1,dot,2000,0.9186186790466307,0.9427318572998048,5105
Tune,0.0,25.61,64.71,77.84,89.15,93.26,34.19,0.0,25.61,64.71,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,3,0.1,inner,2000,0.8448758125305176,0.8678207397460938,4816
Tune,0.0,25.61,64.71,77.84,89.15,93.26,34.19,0.0,25.61,64.71,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,3,0.1,dot,2000,0.8969576358795166,0.9354228973388672,5377
Tune,0.0,25.61,64.71,77.84,89.15,93.26,34.19,0.0,25.61,64.71,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,1,0.1,inner,2000,0.8319323062896729,0.8545229434967041,4816
Tune,0.0,25.61,64.71,77.84,89.15,93.26,34.19,0.0,25.61,64.71,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,1,0.1,dot,2000,0.8981451988220215,0.95782470703125,4833
Tune,0.0,25.61,64.71,77.84,89.15,93.26,34.19,0.0,25.61,64.71,77.84,89.15,93.26,98.69,98.63,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,2,0.1,inner,2000,0.7702279090881348,0.8369548320770264,4816
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,2,0.1,dot,2000,1.0490007400512695,1.0765161514282229,5969
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,3,0.1,inner,2000,0.8483877182006836,0.8829085826873779,4816
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,3,0.1,dot,2000,0.9701969623565674,1.0191943645477295,10129
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,32,1,1,0.1,inner,2000,0.8853540420532227,0.9415230751037598,4816
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,32,1,1,0.1,dot,2000,0.9241573810577391,0.9564247131347656,4833
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,32,1,2,0.1,inner,2000,0.7552545070648193,0.7794809341430664,4816
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,32,1,2,0.1,dot,2000,0.9486544132232666,0.9661540985107422,5393
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,32,1,3,0.1,inner,2000,0.7142784595489502,0.7764208316802979,4816
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,32,1,3,0.1,dot,2000,0.9502854347229004,1.0114455223083496,6449
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,16,1,1,0.1,inner,2000,0.6596558094024658,0.6728842258453369,4816
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,16,1,1,0.1,dot,2000,0.9261176586151124,0.980360984802246,4833
Tune,0.0,25.61,64.71,77.84,87.73,92.49,34.19,0.0,25.61,64.71,77.84,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,16,1,2,0.1,inner,2000,0.8380472660064697,0.8854622840881348,4816
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,16,1,2,0.1,dot,2000,0.890366792678833,0.9445335865020752,5105
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,16,1,3,0.1,inner,2000,0.9536755084991456,1.0245940685272217,4816
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,2,2,16,1,3,0.1,dot,2000,0.9562678337097168,1.015172243118286,5377
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,1,0.1,inner,2000,0.9354326725006104,0.9573352336883544,4816
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,1,0.1,dot,2000,0.961212158203125,0.9834599494934082,4833
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,2,0.1,inner,2000,0.9495134353637696,0.9807801246643066,4816
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,2,0.1,dot,2000,0.9212708473205566,0.9435985088348388,5969
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,3,0.1,inner,2000,0.9733221530914308,0.9848439693450928,4816
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,3,2,64,1,3,0.1,dot,2000,1.217069387435913,1.2331044673919678,10129
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,3,2,32,1,1,0.1,inner,2000,0.8883421421051025,0.9473025798797609,4816
Tune,10.55,25.61,70.39,78.09,87.73,92.49,25.4,10.55,25.61,70.39,78.09,87.73,92.49,98.61,98.57,94.45,16,16,1024,0.1,1,0.1,0.015,3,2,32,1,1,0.1,dot,2000,0.941908597946167,0.966717004776001,4833
