Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs,train_time,test_time,params
arxiv_2023_run5gut4ece_VGAE,13.29,24.7,40.77,64.3,86.76,90.47,23.66,13.29,24.7,40.77,64.3,86.76,90.47,97.41,97.41,91.68,0.015,1024,32,32,10000,1.1580865383148191,1.1838412284851074,11744
arxiv_2023_rungsppr139_VGAE,19.52,30.93,51.42,65.16,88.39,90.92,28.51,19.52,30.93,51.42,65.16,88.39,90.92,97.41,97.35,91.68,0.015,1024,32,64,10000,1.2034664154052734,1.2250936031341553,23424
arxiv_2023_runshz2t95s_VGAE,10.14,41.78,62.73,78.6,88.64,90.31,34.11,10.14,41.78,62.73,78.6,88.64,90.31,97.41,97.35,92.04,0.015,1024,32,128,10000,0.9858076572418212,1.051741600036621,46784
arxiv_2023_run7o1ue78y_VGAE,13.18,37.32,62.73,78.6,89.05,89.6,22.99,13.18,37.32,62.73,78.6,89.05,89.6,97.41,97.35,68.03,0.015,1024,64,64,10000,1.1358139514923096,1.1804850101470947,27584
arxiv_2023_runac5yhf9c_VGAE,13.18,37.32,62.73,78.6,89.05,89.6,22.99,13.18,37.32,62.73,78.6,89.05,89.6,97.41,97.35,68.03,0.015,1024,64,128,10000,1.3101661205291748,1.340456485748291,55040
arxiv_2023_runfx3mvg2h_VGAE,13.18,37.32,48.88,77.54,89.1,90.11,36.17,13.18,37.32,48.88,77.54,89.1,90.11,97.41,97.35,68.03,0.015,1024,64,256,10000,1.578294038772583,1.6235456466674805,109952
arxiv_2023_runz8a4gtcv_VGAE,13.18,37.32,48.88,77.54,89.1,90.11,36.17,13.18,37.32,48.88,77.54,89.1,90.11,97.41,97.35,68.03,0.015,1024,128,32,10000,1.2609333992004397,1.3220903873443604,18080
arxiv_2023_runiz9aj29c_VGAE,13.18,37.32,48.88,77.54,89.1,90.11,36.17,13.18,37.32,48.88,77.54,89.1,90.11,97.41,97.35,68.03,0.015,1024,128,64,10000,1.3107492923736572,1.3459820747375488,35904
arxiv_2023_run4lh0h8iz_VGAE,13.18,33.37,48.88,77.54,89.1,90.11,36.17,13.18,33.37,48.88,77.54,89.1,90.11,97.41,97.35,68.03,0.015,1024,128,128,10000,1.3589046001434326,1.373765230178833,71552
arxiv_2023_runp120d90v_VGAE,13.18,36.0,62.37,77.54,89.0,89.81,34.6,13.18,36.0,62.37,77.54,89.0,89.81,97.41,97.35,68.03,0.015,1024,128,256,10000,1.6480495929718018,1.6886959075927734,142848
arxiv_2023_runbfcsf1vz_VGAE,13.18,36.0,62.37,77.54,89.0,89.81,34.6,13.18,36.0,62.37,77.54,89.0,89.81,97.6,97.63,68.03,0.015,1024,256,32,10000,1.5193541049957275,1.5582058429718018,26528
Best,19.52,41.78,62.73,78.6,89.1,90.92,36.17,19.52,41.78,62.73,78.6,89.1,90.92,97.6,97.63,92.04,0.015,1024,256,256,10000,1.6480495929718018,1.6886959075927734,142848
