Metric,node2vec_acc,wl,nw,es,ws,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
arxiv_2023_xvnuk9ga_struc2vec,0.7699261522790934,30,10,32,5,0.0199,0.0614,0.0922,0.3282,0.0498,0.0199,0.0614,0.0922,0.3282,0.8475,0.8515
arxiv_2023_hulu9ea6_struc2vec,0.7699261522790934,30,20,4,7,0.0199,0.0614,0.0922,0.3282,0.0498,0.0199,0.0614,0.0922,0.3282,0.8475,0.8515
arxiv_2023_2z60g3au_struc2vec,0.7699261522790934,20,15,4,7,0.0199,0.0614,0.0922,0.3282,0.0498,0.0199,0.0614,0.0922,0.3282,0.8475,0.8515
arxiv_2023_i1140bur_struc2vec,0.7699261522790934,30,10,16,9,0.0199,0.0614,0.0922,0.3282,0.0498,0.0199,0.0614,0.0922,0.3282,0.8475,0.8515
arxiv_2023_jmtkvwij_struc2vec,0.7699261522790934,10,10,32,9,0.0199,0.0614,0.0922,0.3282,0.0498,0.0199,0.0614,0.0922,0.3282,0.8475,0.8515
arxiv_2023_4g37un6u_struc2vec,0.7699261522790934,20,10,16,7,0.0199,0.0614,0.0922,0.3282,0.0498,0.0199,0.0614,0.0922,0.3282,0.8475,0.8515
arxiv_2023_e0tw1gql_struc2vec,0.7699261522790934,20,10,16,9,0.0199,0.0614,0.0922,0.3282,0.0498,0.0199,0.0614,0.0922,0.3282,0.8475,0.8515
arxiv_2023_arm39tdl_struc2vec,0.7699261522790934,30,10,16,7,0.0199,0.0614,0.0922,0.3282,0.0498,0.0199,0.0614,0.0922,0.3282,0.8475,0.8515
arxiv_2023_eli3vi1v_struc2vec,0.7699261522790934,20,10,16,5,0.0199,0.0614,0.0922,0.3282,0.0498,0.0199,0.0614,0.0922,0.3282,0.8475,0.8515
arxiv_2023_nyyw4u6s_struc2vec,0.7699261522790934,10,10,8,7,0.0199,0.0614,0.0922,0.3282,0.0498,0.0199,0.0614,0.0922,0.3282,0.8475,0.8515
arxiv_2023_g8wgo2lt_struc2vec,0.8661828367710721,30,5,16,9,0.0731,0.0858,0.176,0.506,0.1092,0.0731,0.0858,0.176,0.506,0.9423,0.9364
arxiv_2023_u3z309uj_struc2vec,0.8717850776674306,20,10,4,5,0.0135,0.0351,0.0889,0.5001,0.0444,0.0135,0.0351,0.0889,0.5001,0.9413,0.9285
arxiv_2023_22950r6l_struc2vec,0.8190730837789661,30,10,4,7,0.0056,0.0204,0.1327,0.5192,0.0454,0.0056,0.0204,0.1327,0.5192,0.8797,0.8972
arxiv_2023_jra581kn_struc2vec,0.8416093710211358,30,15,4,5,0.0041,0.0153,0.0685,0.368,0.0332,0.0041,0.0153,0.0685,0.368,0.8952,0.8948
arxiv_2023_eypvhml9_struc2vec,0.8556149732620321,10,20,8,7,0.0145,0.0323,0.0817,0.4708,0.044,0.0145,0.0323,0.0817,0.4708,0.923,0.9145
arxiv_2023_fzdgxxk0_struc2vec,0.8659281894576012,10,10,16,7,0.026,0.0326,0.1905,0.5304,0.069,0.026,0.0326,0.1905,0.5304,0.9431,0.9352
arxiv_2023_873oqjs0_struc2vec,0.859816653934301,20,10,32,5,0.0275,0.095,0.1897,0.4968,0.0805,0.0275,0.095,0.1897,0.4968,0.9335,0.9318
arxiv_2023_fyqn9ex5_struc2vec,0.8645276292335116,30,15,4,7,0.0094,0.026,0.1085,0.506,0.0419,0.0094,0.026,0.1085,0.506,0.9456,0.9335
arxiv_2023_shoghay8_struc2vec,0.8376623376623377,30,5,8,7,0.0359,0.0899,0.1859,0.5483,0.0838,0.0359,0.0899,0.1859,0.5483,0.9237,0.9254
arxiv_2023_5j1b5kwu_struc2vec,0.8538324420677362,20,5,4,5,0.0025,0.0313,0.0823,0.5814,0.0367,0.0025,0.0313,0.0823,0.5814,0.89,0.9051
arxiv_2023_iv6c6b8d_struc2vec,0.8659281894576012,16,10,5,7,0.0382,0.0652,0.1449,0.5531,0.0759,0.0382,0.0652,0.1449,0.5531,0.9483,0.9402
arxiv_2023_4pg11xlu_struc2vec,0.8806977336389101,15,12,5,4,0.0143,0.0387,0.1856,0.6249,0.0707,0.0143,0.0387,0.1856,0.6249,0.9514,0.9473
arxiv_2023_bwr5fjsj_struc2vec,0.8935574229691877,16,10,2,6,0.0099,0.041,0.0871,0.5223,0.0436,0.0099,0.041,0.0871,0.5223,0.9592,0.9454
arxiv_2023_eiih9yoq_struc2vec,0.9025974025974026,15,9,2,7,0.0293,0.0448,0.0644,0.3626,0.0502,0.0293,0.0448,0.0644,0.3626,0.9508,0.9292
arxiv_2023_l86kpykf_struc2vec,0.7929717341482048,21,12,3,2,0.0199,0.0397,0.0591,0.3611,0.0414,0.0199,0.0397,0.0591,0.3611,0.8859,0.8765
arxiv_2023_ynfssm8f_struc2vec,0.9008148714031068,20,11,2,7,0.0143,0.0214,0.0784,0.4034,0.0378,0.0143,0.0214,0.0784,0.4034,0.9549,0.9348
