Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
arxiv_2023_7kbx8kp5_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,33.70 ± nan,43.41 ± nan,3.62 ± nan,0.00 ± nan,0.00 ± nan,27.30 ± nan,25.53 ± nan,33.70 ± nan,43.41 ± nan,96.12 ± nan,96.66 ± nan,80.63 ± nan
arxiv_2023_s585tkjk_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,29.21 ± nan,38.18 ± nan,43.40 ± nan,3.87 ± nan,0.00 ± nan,0.00 ± nan,0.00 ± nan,29.21 ± nan,38.18 ± nan,43.40 ± nan,96.14 ± nan,96.56 ± nan,90.81 ± nan
arxiv_2023_tac3mddf_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,29.28 ± nan,38.34 ± nan,44.41 ± nan,3.61 ± nan,0.00 ± nan,0.00 ± nan,25.92 ± nan,29.28 ± nan,38.34 ± nan,44.41 ± nan,96.23 ± nan,96.65 ± nan,93.24 ± nan
arxiv_2023_9i643keb_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,29.16 ± nan,38.38 ± nan,44.41 ± nan,3.67 ± nan,0.00 ± nan,0.00 ± nan,26.25 ± nan,29.16 ± nan,38.38 ± nan,44.41 ± nan,96.03 ± nan,96.52 ± nan,67.45 ± nan
arxiv_2023_9stht45j_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,29.31 ± nan,38.45 ± nan,44.48 ± nan,3.74 ± nan,0.00 ± nan,0.00 ± nan,24.72 ± nan,29.31 ± nan,38.45 ± nan,44.48 ± nan,95.94 ± nan,96.49 ± nan,84.75 ± nan
arxiv_2023_wy5dm6dh_GAE,8.65 ± nan,16.89 ± nan,18.81 ± nan,28.00 ± nan,36.97 ± nan,44.38 ± nan,13.82 ± nan,8.65 ± nan,0.00 ± nan,18.81 ± nan,29.23 ± nan,36.97 ± nan,44.38 ± nan,96.06 ± nan,96.62 ± nan,80.58 ± nan
arxiv_2023_ltspd4gt_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,28.14 ± nan,38.20 ± nan,45.94 ± nan,4.01 ± nan,0.00 ± nan,0.00 ± nan,26.45 ± nan,28.14 ± nan,38.20 ± nan,45.94 ± nan,95.68 ± nan,96.30 ± nan,67.01 ± nan
arxiv_2023_ejxjd7pv_GAE,0.00 ± nan,11.70 ± nan,0.00 ± nan,29.19 ± nan,36.26 ± nan,43.08 ± nan,8.44 ± nan,0.00 ± nan,0.00 ± nan,28.04 ± nan,29.75 ± nan,36.26 ± nan,43.08 ± nan,95.96 ± nan,96.45 ± nan,83.27 ± nan
arxiv_2023_9dciw1c2_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,27.44 ± nan,36.14 ± nan,45.09 ± nan,3.49 ± nan,0.00 ± nan,0.00 ± nan,26.35 ± nan,27.44 ± nan,36.14 ± nan,45.09 ± nan,96.22 ± nan,96.70 ± nan,67.47 ± nan
arxiv_2023_zcor314s_GAE,0.00 ± nan,9.53 ± nan,0.00 ± nan,30.80 ± nan,38.12 ± nan,44.57 ± nan,8.95 ± nan,0.00 ± nan,10.61 ± nan,22.89 ± nan,30.80 ± nan,38.12 ± nan,44.57 ± nan,96.33 ± nan,96.79 ± nan,92.79 ± nan
arxiv_2023_x05mzjv2_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,29.22 ± nan,38.55 ± nan,44.64 ± nan,3.81 ± nan,0.00 ± nan,0.00 ± nan,26.46 ± nan,29.22 ± nan,38.55 ± nan,44.64 ± nan,96.05 ± nan,96.54 ± nan,68.74 ± nan
arxiv_2023_ggdxewie_GAE,0.00 ± nan,0.00 ± nan,0.00 ± nan,29.49 ± nan,38.53 ± nan,44.00 ± nan,3.76 ± nan,0.00 ± nan,0.00 ± nan,25.83 ± nan,29.49 ± nan,38.53 ± nan,44.00 ± nan,96.05 ± nan,96.57 ± nan,84.75 ± nan
