Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs,batch_size
cora_rungvhzresg_GAE,21.06,38.33,63.37,79.22,94.79,98.55,34.5,21.06,38.33,61.57,77.52,94.79,98.55,92.83,94.94,82.7,160,160,128,40,20,100,50,
cora_runv0vbr266_GAE,7.91,38.33,63.37,79.22,94.79,98.55,34.5,7.91,38.33,61.57,77.52,94.79,98.55,92.83,94.94,79.97,160,160,128,40,20,150,50,
cora_runvo1hl4fr_GAE,7.91,38.33,63.37,79.22,94.79,98.55,34.5,7.91,38.33,61.57,77.52,94.79,98.55,92.83,94.94,81.98,160,160,128,40,20,200,50,
cora_runfyv79x1r_GAE,7.91,38.33,63.37,79.22,94.79,98.55,34.5,7.91,38.33,61.57,79.07,94.84,98.55,92.83,94.94,81.98,160,160,128,40,30,100,50,
cora_run88b8ywik_GAE,7.91,38.33,63.37,79.22,94.79,98.55,34.5,7.91,38.33,61.57,79.07,94.46,98.55,92.83,94.94,80.24,160,160,128,40,30,150,50,
cora_run9cdnvh6q_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,40,30,200,50,
cora_run48lz88lz_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,60,20,100,50,
cora_runv6lauqdm_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,60,20,150,50,
cora_run7i0s9a7o_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,60,20,200,50,
cora_run8uhvbu61_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,60,30,100,50,
cora_runt4d1oal4_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,60,30,150,50,
cora_run6y9tyawe_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,60,30,200,50,
cora_runtbsbjlsq_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,80,20,100,50,
cora_run7t5pv8d6_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,80,20,150,50,
cora_run279q2hxm_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,80,20,200,50,
cora_runo3q0ewn7_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,80,30,100,50,
cora_runbyz6eixd_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,80,30,150,50,
cora_run6mpjunaa_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,128,80,30,200,50,
cora_runcikji216_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,40,20,100,50,
cora_runfnn86pjc_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,40,20,150,50,
cora_run4f0eucf7_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,40,20,200,50,
cora_run26dvz4eq_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,40,30,100,50,
cora_runuz7h6fg3_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,40,30,150,50,
cora_run2v7k0c7g_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,40,30,200,50,
cora_runt7hl37kh_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,60,20,100,50,
cora_rundn1qqs8p_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,60,20,150,50,
cora_run71uensjp_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,60,20,200,50,
cora_runlpxfbp19_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,60,30,100,50,
cora_runu2bxtiqm_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,60,30,150,50,
cora_runpzoik6c3_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,60,30,200,50,
cora_runzd78tayo_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,80,20,100,50,
cora_runt8x6sxyv_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,80,20,150,50,
cora_runfaxkq27q_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,80,20,200,50,
cora_run3sjraexu_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,80,30,100,50,
cora_runa49d9xea_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,80,30,150,50,
cora_runifkjperm_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,256,80,30,200,50,
cora_runkaqlrdlj_GAE,7.91,38.33,61.81,77.15,94.79,98.88,34.5,7.91,38.33,61.81,79.07,93.83,98.88,92.83,94.94,80.24,160,160,512,40,20,100,50,
cora_runugk6tx2q_GAE,0.0,0.0,0.0,0.0,11.37,88.93,3.01,0.0,0.0,0.0,0.0,75.72,88.93,89.16,85.48,75.81,160,160,512,40,20,100,200,
