Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
cora_vc38f8v1_GAT,0.0,0.0,0.0,0.924,0.0261,0.0,0.0,0.0,0.924,0.8153,0.7436,0.80418
cora_vnrjhabz_GAT,0.0,0.0,0.0,0.8973,0.0213,0.0,0.0,0.0,0.8973,0.7748,0.7001,0.77186
cora_aiax2hre_GAT,0.0,0.0,0.4297,0.749,0.0834,0.0,0.0,0.4297,0.749,0.8012,0.7998,0.71103
cora_hk7bs10g_GAT,0.0,0.0,0.0,0.9202,0.0234,0.0,0.0,0.0,0.9202,0.796,0.721,0.79468
cora_hlrdkbuf_GAT,0.0,0.0,0.0,0.9125,0.027,0.0,0.0,0.0,0.9125,0.8106,0.7441,0.80989
cora_1fapljzg_GAT,0.0,0.0,0.4487,0.7909,0.1005,0.0,0.0,0.4487,0.7909,0.8287,0.8283,0.71863
cora_6s8yihct_GAT,0.0,0.0,0.0,0.9087,0.059,0.0,0.0,0.0,0.9087,0.8599,0.8331,0.78707
cora_yk9o7jft_GAT,0.0,0.0,0.4449,0.8099,0.1162,0.0,0.0,0.4449,0.8099,0.8386,0.8402,0.72624
cora_xep4q0s5_GAT,0.0,0.1559,0.3688,0.7985,0.1468,0.0,0.1559,0.3688,0.7985,0.8119,0.8228,0.68251
cora_dbg5910s_GAT,0.0,0.1825,0.403,0.7909,0.1472,0.0,0.1825,0.403,0.7909,0.8185,0.8308,0.6692
cora_3559g1co_GAT,0.0,0.2015,0.3498,0.7795,0.1466,0.0,0.2015,0.3498,0.7795,0.812,0.8245,0.673
cora_ybgrrojl_GAT,0.0,0.3346,0.3954,0.8061,0.1827,0.0,0.3346,0.3954,0.8061,0.8242,0.8429,0.6654
cora_c469u0be_GAT,0.0,0.0,0.0,0.8175,0.0601,0.0,0.0,0.2167,0.8175,0.8231,0.7945,0.72814
cora_3cw1sci6_GAT,0.0,0.2928,0.365,0.7909,0.1921,0.0,0.2928,0.365,0.7909,0.8189,0.8363,0.673
cora_c0nzwxvk_GAT,0.0,0.0,0.0,0.9202,0.0412,0.0,0.0,0.0,0.9202,0.856,0.8088,0.82129
cora_vat2qgbr_GAT,0.0,0.0,0.3384,0.7795,0.0843,0.0,0.0,0.3384,0.7795,0.8189,0.8129,0.72624
cora_9oihvl7v_GAT,0.0989,0.2395,0.3232,0.7681,0.1992,0.0989,0.2395,0.3232,0.7681,0.7957,0.8128,0.6654
cora_95e8y3fr_GAT,0.1635,0.2433,0.3954,0.7452,0.246,0.1635,0.2433,0.3954,0.7452,0.8044,0.8326,0.65779
cora_m77oalmk_GAT,0.0,0.0,0.2167,0.7833,0.0659,0.0,0.0,0.2167,0.7833,0.8001,0.7836,0.72433
cora_3w2ee779_GAT,0.0,0.0,0.0,0.9087,0.0265,0.0,0.0,0.0,0.9087,0.8136,0.7477,0.80228
cora_bnqrfy9l_GAT,0.27,0.327,0.4144,0.8251,0.3273,0.27,0.327,0.4144,0.8251,0.8401,0.8578,0.69772
cora_iyl4dhmh_GAT,0.0,0.0,0.2814,0.7871,0.0729,0.0,0.0,0.2814,0.7871,0.8157,0.7998,0.73954
cora_cel4lyai_GAT,0.0,0.0,0.0,0.9316,0.0329,0.0,0.0,0.0,0.9316,0.8492,0.787,0.84601
cora_rnnpfxs7_GAT,0.1407,0.2928,0.4525,0.7376,0.2485,0.1407,0.2928,0.4525,0.7376,0.7999,0.8313,0.65779
cora_m4c7pndv_GAT,0.0,0.0,0.0,0.9278,0.0531,0.0,0.0,0.0,0.9278,0.8738,0.8381,0.8327
cora_xu1ef64m_GAT,0.0,0.0875,0.3878,0.749,0.1179,0.0,0.0875,0.3878,0.749,0.784,0.7964,0.65399
cora_48mg1v0w_GAT,0.1331,0.27,0.3498,0.7186,0.2269,0.1331,0.27,0.3498,0.7186,0.7602,0.7956,0.61787
cora_iwp1fgq3_GAT,0.1065,0.2053,0.3726,0.7224,0.1872,0.1065,0.2053,0.3726,0.7224,0.7767,0.7976,0.63878
cora_rregga5e_GAT,0.1103,0.2167,0.3574,0.7605,0.1946,0.1103,0.2167,0.3574,0.7605,0.8011,0.8213,0.65399
cora_p12dt1nt_GAT,0.0,0.2928,0.3764,0.7262,0.181,0.0,0.2928,0.3764,0.7262,0.7956,0.8142,0.6635
cora_w7fnrzmr_GAT,0.2015,0.2738,0.5703,0.8061,0.3069,0.2015,0.2738,0.5703,0.8061,0.8551,0.8807,0.75475
cora_ioxcx69v_GAT,0.1065,0.308,0.5665,0.7909,0.2567,0.1065,0.308,0.5665,0.7909,0.8428,0.8704,0.74525
cora_jimsrjv1_GAT,0.0,0.0,0.0,0.9202,0.0223,0.0,0.0,0.0,0.9202,0.7898,0.7139,0.78137
cora_qanawlpe_GAT,0.0,0.0,0.0,0.7643,0.0594,0.0,0.0,0.3004,0.7643,0.8036,0.7854,0.73004
cora_3lbyfh3e_GAT,0.3992,0.4106,0.5856,0.8061,0.4546,0.3992,0.4106,0.5856,0.8061,0.8582,0.8881,0.76046
cora_c8inzxzv_gae,0.3612,0.4525,0.6502,0.9202,0.4432,0.3612,0.4525,0.6502,0.9202,0.9165,0.9276,0.78327
cora_4om2rvrr_GAT,0.0,0.0,0.0,0.8973,0.0356,0.0,0.0,0.0,0.8973,0.816,0.7653,0.75665
cora_hbgmfbb9_gae,0.2205,0.327,0.5361,0.9049,0.3176,0.2205,0.327,0.5361,0.9049,0.8736,0.8946,0.78897
cora_c0gauaz0_gae,0.0798,0.2471,0.4183,0.8935,0.2048,0.0798,0.2471,0.4183,0.8935,0.8696,0.8773,0.79087
cora_8t9lz8kb_gae,0.2167,0.4487,0.6426,0.9087,0.37,0.2167,0.4487,0.6426,0.9087,0.9057,0.92,0.74715
cora_2u6am5ip_gae,0.2433,0.384,0.5551,0.9163,0.3504,0.2433,0.384,0.5551,0.9163,0.8892,0.9097,0.81939
cora_g2h2sfu2_gae,0.0951,0.1445,0.4183,0.8973,0.1887,0.0951,0.1445,0.4183,0.8973,0.8553,0.8657,0.81179
cora_eqarvzxx_gae,0.1445,0.3118,0.5513,0.9163,0.2645,0.1445,0.3118,0.5513,0.9163,0.8937,0.9036,0.79658
cora_tbnnk6jr_gae,0.1065,0.2662,0.3308,0.8707,0.1994,0.1065,0.2662,0.3308,0.8707,0.8407,0.8578,0.76996
cora_mndkr5ds_GAT,0.3346,0.4373,0.6122,0.7757,0.4093,0.3346,0.4373,0.6122,0.7757,0.8352,0.8759,0.74335
cora_jw7j8n0g_gae,0.4449,0.4943,0.7186,0.9316,0.5032,0.4449,0.4943,0.7186,0.9316,0.9121,0.9282,0.76996
cora_7vtrbiwd_gae,0.1369,0.1673,0.4525,0.8783,0.2095,0.1369,0.1673,0.4525,0.8783,0.8511,0.8686,0.80989
cora_bro3c2rt_gae,0.1825,0.2319,0.5932,0.9163,0.2837,0.1825,0.2319,0.5932,0.9163,0.9045,0.9093,0.75285
cora_2mrs0uli_gae,0.2814,0.3612,0.5779,0.8935,0.3565,0.2814,0.3612,0.5779,0.8935,0.8848,0.9045,0.80228
cora_ze6vlpo0_gae,0.1597,0.2357,0.4639,0.8935,0.2473,0.1597,0.2357,0.4639,0.8935,0.8632,0.8804,0.81369
cora_kz18mbrc_gae,0.0951,0.4259,0.5057,0.9087,0.2566,0.0951,0.4259,0.5057,0.9087,0.8941,0.9034,0.80608
cora_i372gkzt_gae,0.1635,0.1787,0.4183,0.8935,0.2357,0.1635,0.1787,0.4183,0.8935,0.8834,0.8854,0.73954
cora_5o0uz20s_gae,0.0646,0.2471,0.5247,0.9163,0.2181,0.0646,0.2471,0.5247,0.9163,0.8921,0.9006,0.79658
cora_5lat2mw8_gae,0.2433,0.2776,0.4487,0.9011,0.3046,0.2433,0.2776,0.4487,0.9011,0.8625,0.8824,0.81369
cora_ipfx1ok5_GAT,0.0,0.0,0.0,0.7795,0.0512,0.0,0.0,0.251,0.8973,0.8131,0.7784,0.75665
cora_heiw31bm_gae,0.1711,0.5209,0.635,0.8973,0.3757,0.1711,0.5209,0.635,0.8973,0.8974,0.9154,0.75856
cora_4ve575qc_gae,0.1407,0.2053,0.3992,0.924,0.2231,0.1407,0.2053,0.3992,0.924,0.8834,0.883,0.77947
cora_79b72pwu_gae,0.1711,0.5209,0.6236,0.9163,0.3564,0.1711,0.5209,0.6236,0.9163,0.9118,0.9223,0.77757
cora_nvz6zzaw_gae,0.1863,0.4183,0.5741,0.9049,0.336,0.1863,0.4183,0.5741,0.9049,0.8986,0.9121,0.74715
cora_kvpctbas_gae,0.1597,0.2091,0.4221,0.9278,0.2341,0.1597,0.2091,0.4221,0.9278,0.8843,0.8834,0.78897
cora_aq0j1vs3_gae,0.2167,0.4867,0.616,0.9125,0.3724,0.2167,0.4867,0.616,0.9125,0.9104,0.9202,0.75285
cora_r33j5ah4_gae,0.0913,0.1673,0.3802,0.8935,0.1848,0.0913,0.1673,0.3802,0.8935,0.865,0.8724,0.827
cora_banfn1vh_gae,0.1977,0.4905,0.5779,0.8935,0.3567,0.1977,0.4905,0.5779,0.8935,0.897,0.9109,0.74525
cora_dtg9uurt_gae,0.1863,0.2053,0.3802,0.8859,0.2496,0.1863,0.2053,0.3802,0.8859,0.8501,0.8662,0.79658
cora_b5alxcp2_gae,0.2471,0.4677,0.6198,0.9163,0.37,0.2471,0.4677,0.6198,0.9163,0.9098,0.9191,0.77186
cora_szj56iid_GAT,0.0,0.0,0.0,0.9202,0.0247,0.0,0.0,0.0,0.9202,0.8027,0.7327,0.78137
cora_274b9jj6_gae,0.27,0.4259,0.6654,0.9125,0.4007,0.27,0.4259,0.6654,0.9125,0.9083,0.9245,0.75095
cora_rkdqryx4_gae,0.0722,0.1559,0.384,0.9202,0.1677,0.0722,0.1559,0.384,0.9202,0.8799,0.8794,0.8308
cora_lmnh5rop_gae,0.057,0.4449,0.6122,0.9125,0.2791,0.057,0.4449,0.6122,0.9125,0.911,0.915,0.75475
cora_o9gq3584_gae,0.1179,0.3042,0.4411,0.9278,0.2431,0.1179,0.3042,0.4411,0.9278,0.8865,0.8906,0.78517
cora_ri5rvwlk_gae,0.1597,0.4449,0.6388,0.9163,0.3444,0.1597,0.4449,0.6388,0.9163,0.9061,0.9204,0.76806
cora_eld7fmzb_gae,0.1711,0.2966,0.4335,0.8973,0.2672,0.1711,0.2966,0.4335,0.8973,0.8851,0.8875,0.76046
cora_1oupgc5y_gae,0.27,0.5247,0.6008,0.9049,0.4094,0.27,0.5247,0.6008,0.9049,0.8896,0.9105,0.73764
cora_hc5x7jtv_gae,0.2433,0.5171,0.5894,0.924,0.3979,0.2433,0.5171,0.5894,0.924,0.8957,0.9135,0.76046
cora_w21ofdd3_gae,0.076,0.1673,0.4449,0.8859,0.1772,0.076,0.1673,0.4449,0.8859,0.8622,0.8714,0.82319
cora_sd7rlsqm_GAT,0.0,0.0,0.0,0.8973,0.0279,0.0,0.0,0.0,0.8973,0.813,0.7516,0.79278
cora_rm7dabun_gae,0.2091,0.4106,0.6122,0.9049,0.3219,0.2091,0.4106,0.6122,0.9049,0.8983,0.9101,0.76996
cora_uljoav6b_gae,0.0798,0.1369,0.3118,0.8973,0.1602,0.0798,0.1369,0.3118,0.8973,0.8559,0.852,0.78897
cora_ot147qh4_gae,0.2167,0.3688,0.5894,0.8935,0.3353,0.2167,0.3688,0.5894,0.8935,0.8945,0.9073,0.73954
cora_gtbcxwy2_gae,0.0989,0.2053,0.4297,0.8973,0.2088,0.0989,0.2053,0.4297,0.8973,0.883,0.8824,0.76616
cora_7a11t2un_gae,0.4221,0.4677,0.5551,0.9202,0.4719,0.4221,0.4677,0.5551,0.9202,0.913,0.9235,0.77757
cora_9vbuzl0q_gae,0.1369,0.2205,0.5285,0.9392,0.2382,0.1369,0.2205,0.5285,0.9392,0.9007,0.8994,0.79087
cora_do3ysbdi_gae,0.3308,0.5551,0.6692,0.9202,0.4572,0.3308,0.5551,0.6692,0.9202,0.9106,0.9271,0.75475
cora_8n11osx6_gae,0.2395,0.4829,0.6122,0.9316,0.3545,0.2395,0.4829,0.6122,0.9316,0.9058,0.9161,0.76426
cora_qkksdo4v_gae,0.1635,0.308,0.4221,0.9125,0.266,0.1635,0.308,0.4221,0.9125,0.8961,0.8993,0.78707
cora_lb4nl2qa_GAT,0.1901,0.2357,0.4335,0.73,0.2515,0.1901,0.2357,0.4335,0.73,0.7906,0.8243,0.62548
cora_pp3o1ici_gae,0.2395,0.3688,0.6426,0.943,0.3533,0.2395,0.3688,0.6426,0.943,0.9125,0.9216,0.79087
cora_709e8n2n_gae,0.1445,0.346,0.5475,0.9087,0.2931,0.1445,0.346,0.5475,0.9087,0.9069,0.913,0.76996
cora_u2lzf3th_gae,0.4335,0.4981,0.616,0.9049,0.4968,0.4335,0.4981,0.616,0.9049,0.9114,0.9245,0.74715
cora_q3ehs95i_gae,0.0798,0.2281,0.4068,0.8935,0.1786,0.0798,0.2281,0.4068,0.8935,0.8654,0.8697,0.81179
cora_uzbfgnye_gae,0.1901,0.4791,0.597,0.9278,0.3457,0.1901,0.4791,0.597,0.9278,0.9151,0.9261,0.77186
