Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_liunejqu_GAE,3.12 ± 1.85,7.33 ± 2.33,15.67 ± 2.98,20.93 ± 2.17,37.54 ± 3.35,53.80 ± 4.40,7.63 ± 1.41,3.12 ± 1.85,7.33 ± 2.33,15.67 ± 2.98,20.93 ± 2.17,37.54 ± 3.35,53.80 ± 4.40,97.61 ± 0.28,97.05 ± 0.32,76.94 ± 0.48
cora_ww7pi9at_GAE,2.91 ± 2.01,10.76 ± 3.79,19.31 ± 2.99,28.08 ± 3.50,48.48 ± 3.67,65.39 ± 2.15,9.93 ± 2.54,2.91 ± 2.01,10.76 ± 3.79,19.31 ± 2.99,28.08 ± 3.50,48.48 ± 3.67,65.39 ± 2.15,98.62 ± 0.19,98.22 ± 0.21,78.79 ± 0.40
cora_cfuq72bw_GAE,2.91 ± 2.01,10.77 ± 3.82,19.34 ± 3.01,28.07 ± 3.50,48.49 ± 3.68,65.39 ± 2.17,9.92 ± 2.55,2.91 ± 2.01,10.77 ± 3.82,19.34 ± 3.01,28.07 ± 3.50,48.49 ± 3.68,65.39 ± 2.17,98.62 ± 0.19,98.22 ± 0.21,78.78 ± 0.39
cora_kfsp2gk1_GAE,3.71 ± nan,8.44 ± nan,14.91 ± nan,28.87 ± nan,51.37 ± nan,68.90 ± nan,8.74 ± nan,3.71 ± nan,8.44 ± nan,14.91 ± nan,28.87 ± nan,51.37 ± nan,68.90 ± nan,98.71 ± nan,98.31 ± nan,78.10 ± nan
cora_a98yabu3_GAE,4.73 ± nan,6.39 ± nan,17.20 ± nan,24.27 ± nan,43.95 ± nan,66.77 ± nan,9.28 ± nan,4.73 ± nan,6.39 ± nan,17.20 ± nan,24.27 ± nan,43.95 ± nan,66.77 ± nan,98.64 ± nan,98.19 ± nan,78.20 ± nan
cora_g1pahue6_GAE,4.73 ± nan,6.34 ± nan,17.30 ± nan,24.30 ± nan,43.93 ± nan,66.86 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.30 ± nan,24.30 ± nan,43.93 ± nan,66.86 ± nan,98.64 ± nan,98.19 ± nan,78.17 ± nan
cora_2u1ytkdd_GAE,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.91 ± nan,66.86 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.91 ± nan,66.86 ± nan,98.64 ± nan,98.19 ± nan,78.21 ± nan
cora_dagh4gqz_GAE,0.29 ± nan,6.98 ± nan,11.48 ± nan,15.88 ± nan,43.43 ± nan,61.84 ± nan,5.79 ± nan,0.29 ± nan,6.98 ± nan,11.48 ± nan,15.88 ± nan,43.43 ± nan,61.84 ± nan,98.39 ± nan,97.80 ± nan,77.73 ± nan
cora_g6emjtlg_GAE,4.73 ± nan,6.39 ± nan,17.20 ± nan,24.27 ± nan,43.93 ± nan,66.77 ± nan,9.28 ± nan,4.73 ± nan,6.39 ± nan,17.20 ± nan,24.27 ± nan,43.93 ± nan,66.77 ± nan,98.64 ± nan,98.19 ± nan,78.19 ± nan
cora_m52kacpf_GAE,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.91 ± nan,66.86 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.91 ± nan,66.86 ± nan,98.64 ± nan,98.19 ± nan,78.21 ± nan
cora_9t1vvz3w_GAE,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.89 ± nan,66.89 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.35 ± nan,24.27 ± nan,43.89 ± nan,66.89 ± nan,98.64 ± nan,98.19 ± nan,78.20 ± nan
cora_gx9go0xr_GAE,2.70 ± nan,5.90 ± nan,18.36 ± nan,27.74 ± nan,43.60 ± nan,66.22 ± nan,6.99 ± nan,2.70 ± nan,5.90 ± nan,18.36 ± nan,27.74 ± nan,43.60 ± nan,66.22 ± nan,98.60 ± nan,98.15 ± nan,78.32 ± nan
cora_42hz1zyy_GAE,4.73 ± nan,6.34 ± nan,17.30 ± nan,24.30 ± nan,43.93 ± nan,66.86 ± nan,9.28 ± nan,4.73 ± nan,6.34 ± nan,17.30 ± nan,24.30 ± nan,43.93 ± nan,66.86 ± nan,98.64 ± nan,98.19 ± nan,78.17 ± nan
cora_o8999yfs_GAE,4.73 ± nan,6.34 ± nan,17.21 ± nan,24.30 ± nan,43.91 ± nan,66.89 ± nan,9.27 ± nan,4.73 ± nan,6.34 ± nan,17.21 ± nan,24.30 ± nan,43.91 ± nan,66.89 ± nan,98.64 ± nan,98.19 ± nan,78.19 ± nan
