Metric,line_acc,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
arxiv_2023_6zo6g0vz_line,0.851667939903234,0.1031,0.2427,0.3494,0.5969,0.1892,0.1031,0.2427,0.3494,0.5969,0.9116,0.932
arxiv_2023_tr5g2y2t_line,0.8404634581105169,0.097,0.1564,0.287,0.5674,0.158,0.097,0.1564,0.287,0.5674,0.902,0.9241
arxiv_2023_1o6yapps_line,0.8584160937102113,0.0494,0.1067,0.2493,0.4981,0.0999,0.0494,0.1067,0.2493,0.4981,0.9138,0.9257
arxiv_2023_tamtav1v_line,0.8846447669977082,0.1057,0.1113,0.2106,0.5549,0.1336,0.1057,0.1113,0.2106,0.5549,0.9443,0.9448
arxiv_2023_49a4dl1y_line,0.9046345811051694,0.0239,0.0736,0.1882,0.6381,0.0795,0.0239,0.0736,0.1882,0.6381,0.9578,0.9555
arxiv_2023_sogi2pdi_line,0.922332569391393,0.0851,0.1317,0.3048,0.7227,0.147,0.0851,0.1317,0.3048,0.7227,0.9689,0.9685
arxiv_2023_gtaayilh_line,0.9307359307359307,0.0222,0.1798,0.2959,0.7734,0.1348,0.0222,0.1798,0.2959,0.7734,0.9735,0.9737
arxiv_2023_58ev6fw4_line,0.9569646040234276,0.1818,0.2699,0.3787,0.9012,0.2598,0.1818,0.2699,0.3787,0.9012,0.9856,0.9859
arxiv_2023_41g6cex8_line,0.9633307868601986,0.1204,0.2666,0.6891,0.9483,0.2612,0.1204,0.2666,0.6891,0.9483,0.9877,0.9897
arxiv_2023_839xgzl9_line,0.971861471861472,0.0003,0.5017,0.7948,0.9692,0.2773,0.0003,0.5017,0.7948,0.9692,0.9893,0.9908
arxiv_2023_ol1xke81_line,0.9710975299210594,0.4031,0.5414,0.6799,0.9672,0.5118,0.4031,0.5414,0.6799,0.9672,0.9881,0.9914
arxiv_2023_gwkl0eam_line,0.9738986503692386,0.1635,0.5208,0.7168,0.9738,0.3766,0.1635,0.5208,0.7168,0.9738,0.993,0.9941
arxiv_2023_g3yhdsja_line,0.9693149987267634,0.1367,0.4334,0.7069,0.9628,0.3206,0.1367,0.4334,0.7069,0.9628,0.9882,0.9909
arxiv_2023_gpfr8d00_line,0.9741532976827094,0.2656,0.4306,0.8052,0.9745,0.4341,0.2656,0.4306,0.8052,0.9745,0.9894,0.9925
arxiv_2023_a1z0x2zn_line,0.969187675070028,0.4571,0.7066,0.8253,0.9633,0.5989,0.4571,0.7066,0.8253,0.9633,0.9907,0.9933
arxiv_2023_b14lj4pz_line,0.970078940667176,0.0517,0.7133,0.8212,0.9661,0.3893,0.0517,0.7133,0.8212,0.9661,0.9874,0.9911
arxiv_2023_53vzlg73_line,0.9597657244716068,0.0474,0.108,0.518,0.9384,0.1713,0.0474,0.108,0.518,0.9384,0.9846,0.9862
Best,0.9741532976827094,0.4571,0.7133,0.8253,0.9745,0.5989,0.4571,0.7133,0.8253,0.9745,0.993,0.9941
