Metric,node2vec_acc,wl,nw,es,ws,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
cora_xuumhqmr_struc2vec,0.5532319391634981,10,20,8,7,0.0,0.0076,0.0646,0.5171,0.023,0.0,0.0076,0.0646,0.5171,0.5661,0.5429
cora_4dtd3y62_struc2vec,0.564638783269962,20,5,32,5,0.0,0.0494,0.1103,0.4943,0.0466,0.0,0.0494,0.1103,0.4943,0.5667,0.5955
cora_i8q4whb8_struc2vec,0.5703422053231939,10,20,32,9,0.0114,0.019,0.1103,0.5057,0.0421,0.0114,0.019,0.1103,0.5057,0.5692,0.5952
cora_mp398oo7_struc2vec,0.5798479087452472,30,5,8,5,0.0114,0.0304,0.0646,0.5247,0.0389,0.0114,0.0304,0.0646,0.5247,0.5935,0.5924
cora_sg26h71l_struc2vec,0.55893536121673,30,20,16,9,0.0,0.0228,0.0913,0.4981,0.0357,0.0,0.0228,0.0913,0.4981,0.5721,0.5794
cora_pwetvntj_struc2vec,0.564638783269962,30,5,16,9,0.0152,0.0152,0.0608,0.5247,0.0396,0.0152,0.0152,0.0608,0.5247,0.5825,0.5843
cora_i4eyae60_struc2vec,0.564638783269962,30,20,4,7,0.0,0.0114,0.057,0.5057,0.0304,0.0,0.0114,0.057,0.5057,0.5953,0.5836
cora_h7pj62b3_struc2vec,0.5418250950570342,20,10,4,9,0.0,0.0076,0.0456,0.4677,0.0212,0.0,0.0076,0.0456,0.4677,0.5576,0.5378
cora_p3oh7o3t_struc2vec,0.5627376425855514,30,15,4,7,0.0,0.0038,0.0646,0.4791,0.0243,0.0,0.0038,0.0646,0.4791,0.5559,0.5553
cora_r4o72jmi_struc2vec,0.591254752851711,10,20,16,9,0.019,0.0456,0.1293,0.5323,0.0565,0.019,0.0456,0.1293,0.5323,0.6209,0.6352
cora_82rtj5nw_struc2vec,0.6102661596958175,20,20,32,9,0.0342,0.076,0.1749,0.5741,0.0833,0.0342,0.076,0.1749,0.5741,0.6444,0.6723
cora_b86bjg3b_struc2vec,0.6159695817490495,10,20,18,9,0.0342,0.1027,0.1635,0.6008,0.0823,0.0342,0.1027,0.1635,0.6008,0.6389,0.673
cora_haelz6rc_struc2vec,0.6045627376425855,30,20,24,9,0.0038,0.0266,0.1255,0.5361,0.0424,0.0038,0.0266,0.1255,0.5361,0.5901,0.6202
cora_1r7elo8j_struc2vec,0.6501901140684411,20,50,24,11,0.0114,0.0418,0.1255,0.6806,0.0552,0.0114,0.0418,0.1255,0.6806,0.6939,0.6818
cora_cnuypclw_struc2vec,0.591254752851711,20,50,16,11,0.0038,0.0456,0.1863,0.5589,0.0587,0.0038,0.0456,0.1863,0.5589,0.6152,0.6513
cora_7edjbi0v_struc2vec,0.5950570342205324,30,20,16,9,0.0038,0.0608,0.1027,0.5627,0.0498,0.0038,0.0608,0.1027,0.5627,0.6066,0.6236
cora_0xp1iqbr_struc2vec,0.6349809885931559,30,40,20,11,0.0114,0.019,0.1027,0.5779,0.0513,0.0114,0.019,0.1027,0.5779,0.6427,0.6579
cora_7o1bqmib_struc2vec,0.6007604562737643,30,30,18,9,0.0,0.019,0.1521,0.6236,0.0493,0.0,0.019,0.1521,0.6236,0.6315,0.6482
cora_0jkwewb4_struc2vec,0.6311787072243346,10,40,32,13,0.0114,0.038,0.1863,0.635,0.0639,0.0114,0.038,0.1863,0.635,0.6727,0.6853
cora_kug8zglv_struc2vec,0.5893536121673004,10,20,18,13,0.0,0.019,0.1217,0.5475,0.0386,0.0,0.019,0.1217,0.5475,0.6228,0.6239
cora_3ggovvtb_struc2vec,0.6254752851711026,10,60,22,13,0.0646,0.1103,0.2662,0.6008,0.1273,0.0646,0.1103,0.2662,0.6008,0.6711,0.7186
cora_a1xxdfuf_struc2vec,0.6121673003802282,10,70,26,12,0.0076,0.0608,0.1331,0.5779,0.0576,0.0076,0.0608,0.1331,0.5779,0.636,0.651
cora_6qqk43m3_struc2vec,0.6254752851711026,30,70,20,12,0.0266,0.0456,0.1483,0.6122,0.0686,0.0266,0.0456,0.1483,0.6122,0.6613,0.6791
cora_t2mti2j6_struc2vec,0.6178707224334601,30,40,22,9,0.0114,0.0114,0.0989,0.6198,0.0439,0.0114,0.0114,0.0989,0.6198,0.6354,0.6337
cora_3ijqlzn7_struc2vec,0.6159695817490495,10,60,28,11,0.0,0.0646,0.1369,0.6578,0.0559,0.0,0.0646,0.1369,0.6578,0.6649,0.6748
cora_om3u65gy_struc2vec,0.6083650190114068,30,70,26,9,0.0,0.0418,0.1445,0.6274,0.0441,0.0,0.0418,0.1445,0.6274,0.6498,0.649
