Metric,line_acc,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
pubmed_jc4qov07_line,0.671254512635379,0.0338,0.0402,0.1349,0.2978,0.0586,0.0338,0.0402,0.1349,0.2978,0.713,0.7509
pubmed_ysy7jpyd_line,0.6617779783393501,0.0113,0.0212,0.093,0.3001,0.0359,0.0113,0.0212,0.093,0.3001,0.704,0.7394
pubmed_5tvgz6g9_line,0.6277075812274369,0.005,0.0117,0.0356,0.1688,0.0174,0.005,0.0117,0.0356,0.1688,0.6669,0.6751
pubmed_wsrptk2l_line,0.5900270758122743,0.0036,0.005,0.0068,0.0862,0.0084,0.0036,0.005,0.0068,0.0862,0.6348,0.6051
pubmed_yn56c855_line,0.5866425992779783,0.0,0.0045,0.014,0.116,0.0075,0.0,0.0045,0.014,0.116,0.6271,0.615
pubmed_zaxvl0ze_line,0.654783393501805,0.0108,0.0528,0.1092,0.2875,0.0438,0.0108,0.0528,0.1092,0.2875,0.6738,0.7218
pubmed_jkbn05vo_line,0.6649368231046932,0.0194,0.0266,0.0871,0.3218,0.0392,0.0194,0.0266,0.0871,0.3218,0.6983,0.7389
pubmed_dx4f3h6j_line,0.5464801444043321,0.0117,0.0244,0.0469,0.1426,0.0256,0.0117,0.0244,0.0469,0.1426,0.5883,0.6126
pubmed_9vaw2s2g_line,0.661326714801444,0.0171,0.0334,0.1038,0.2924,0.0455,0.0171,0.0334,0.1038,0.2924,0.6567,0.7218
pubmed_0jlfyjvf_line,0.6683212996389891,0.0068,0.0298,0.0736,0.2983,0.0337,0.0068,0.0298,0.0736,0.2983,0.6668,0.7244
pubmed_aqwxnuk7_line,0.66764440433213,0.0212,0.046,0.1106,0.3353,0.0486,0.0212,0.046,0.1106,0.3353,0.6877,0.7388
pubmed_yf7rdsnq_line,0.6297382671480144,0.0077,0.0135,0.0253,0.1837,0.0183,0.0077,0.0135,0.0253,0.1837,0.6361,0.6652
pubmed_kclolrj1_line,0.6509476534296029,0.0343,0.056,0.097,0.2969,0.0573,0.0343,0.056,0.097,0.2969,0.6693,0.7277
pubmed_e2h72q8w_line,0.6423736462093863,0.0059,0.0126,0.0397,0.2274,0.0197,0.0059,0.0126,0.0397,0.2274,0.6657,0.6952
Best,0.671254512635379,0.0343,0.056,0.1349,0.3353,0.0586,0.0343,0.056,0.1349,0.3353,0.713,0.7509
