Metric,wl,nw,es,ws,acc
flight_fjp7pzkp_struc2vec,10,20,16,5,0.7857142857142857
flight_fjp7pzkp_struc2vec,10,20,16,5,0.7857142857142857
flight_xu3xhxeb_struc2vec,10,20,16,7,0.8571428571428571
flight_v56msk5b_struc2vec,10,20,32,5,0.6428571428571429
flight_do1do6vi_struc2vec,10,20,32,7,0.7142857142857143
flight_klznd9pd_struc2vec,10,40,16,5,0.6428571428571429
flight_9ssekr1k_struc2vec,10,40,16,7,0.7142857142857143
flight_hif80csz_struc2vec,10,40,32,5,0.7142857142857143
flight_0v8bv6fk_struc2vec,10,40,32,7,0.7142857142857143
flight_6o8z9dw8_struc2vec,15,20,16,5,0.6428571428571429
flight_mwjl6ld7_struc2vec,15,20,16,7,0.7142857142857143
flight_ldd98cfs_struc2vec,15,20,32,5,0.7857142857142857
flight_7hw4xevs_struc2vec,15,20,32,7,0.7142857142857143
flight_77t457u3_struc2vec,15,40,16,5,0.7142857142857143
flight_wkw15uoy_struc2vec,15,40,16,7,0.7142857142857143
flight_j3416ua4_struc2vec,15,40,32,5,0.7142857142857143
flight_60bor83y_struc2vec,15,40,32,7,0.7142857142857143
flight_9j6qsczw_struc2vec,20,20,16,5,0.6428571428571429
flight_7dkkdzrp_struc2vec,20,20,16,7,0.7142857142857143
flight_4kq4341c_struc2vec,20,20,32,5,0.7142857142857143
flight_cn9q1wws_struc2vec,20,20,32,7,0.7857142857142857
flight_p4i0uat5_struc2vec,20,40,16,5,0.7142857142857143
flight_irh0q08y_struc2vec,20,40,16,7,0.7142857142857143
flight_i609a14y_struc2vec,20,40,32,5,0.7857142857142857
flight_qvglla7v_struc2vec,20,40,32,7,0.7142857142857143
flight_18do17xh_struc2vec,10,20,16,5,0.6428571428571429
flight_kfgjrkdb_struc2vec,10,20,16,5,0.6428571428571429
flight_35oxfp0x_struc2vec,10,20,16,7,0.7857142857142857
flight_qwda9eqw_struc2vec,10,20,16,9,0.6428571428571429
flight_enwm8t2u_struc2vec,10,20,32,5,0.7142857142857143
flight_gfi49div_struc2vec,10,20,32,7,0.6428571428571429
flight_fkrf7jcj_struc2vec,10,20,32,9,0.6428571428571429
flight_smlj1grw_struc2vec,10,20,64,5,0.7857142857142857
flight_gd14ydco_struc2vec,10,20,64,7,0.7857142857142857
flight_rtizuqq2_struc2vec,10,20,64,9,0.7142857142857143
flight_p0985iu4_struc2vec,10,40,16,5,0.5714285714285714
flight_fw2qfngh_struc2vec,10,40,16,7,0.7857142857142857
flight_lt9eh41y_struc2vec,10,40,16,9,0.7142857142857143
flight_zwxwambk_struc2vec,10,40,32,5,0.6428571428571429
flight_xfumyopx_struc2vec,10,40,32,7,0.7142857142857143
flight_wok2nbg4_struc2vec,10,40,32,9,0.6428571428571429
flight_3a24oo1g_struc2vec,10,40,64,5,0.5714285714285714
flight_au2qr11w_struc2vec,10,40,64,7,0.7142857142857143
flight_2dvgp36b_struc2vec,10,40,64,9,0.6428571428571429
flight_2q22351w_struc2vec,10,80,16,5,0.7142857142857143
flight_yc0zyt10_struc2vec,10,80,16,7,0.6428571428571429
flight_ztk35nvg_struc2vec,10,80,16,9,0.6428571428571429
flight_euig3mb2_struc2vec,10,80,32,5,0.6428571428571429
flight_3dwyo78e_struc2vec,10,80,32,7,0.7142857142857143
flight_gep8jwul_struc2vec,10,80,32,9,0.7142857142857143
flight_qyqh1cvg_struc2vec,10,80,64,5,0.8571428571428571
flight_94g41ass_struc2vec,10,80,64,7,0.7142857142857143
flight_x8n1b782_struc2vec,10,80,64,9,0.6428571428571429
flight_gp2sm8in_struc2vec,15,20,16,5,0.6428571428571429
flight_7q17t1d3_struc2vec,15,20,16,7,0.7142857142857143
flight_je7k7ofl_struc2vec,15,20,16,9,0.7857142857142857
flight_lmahqgjq_struc2vec,15,20,32,5,0.7142857142857143
flight_rr3k5sv4_struc2vec,15,20,32,7,0.7142857142857143
flight_eb5hfiee_struc2vec,15,20,32,9,0.7142857142857143
flight_e1resdt3_struc2vec,15,20,64,5,0.7142857142857143
flight_4zz3cphr_struc2vec,15,20,64,7,0.7142857142857143
flight_u4rj4d7i_struc2vec,15,20,64,9,0.6428571428571429
flight_4xk8475z_struc2vec,15,40,16,5,0.6428571428571429
flight_7gja1h63_struc2vec,15,40,16,7,0.6428571428571429
flight_yr7ea2s8_struc2vec,15,40,16,9,0.7142857142857143
flight_9tpgvvw7_struc2vec,15,40,32,5,0.6428571428571429
flight_z0r1oj9b_struc2vec,15,40,32,7,0.6428571428571429
flight_0jx84j4o_struc2vec,15,40,32,9,0.7142857142857143
flight_qs7b412n_struc2vec,15,40,64,5,0.7142857142857143
flight_ic7jsr64_struc2vec,15,40,64,7,0.7142857142857143
flight_f9b6o7tr_struc2vec,15,40,64,9,0.6428571428571429
flight_yb7eh30f_struc2vec,15,80,16,5,0.7142857142857143
flight_a9maw2ex_struc2vec,15,80,16,7,0.6428571428571429
flight_ajs7gqdd_struc2vec,15,80,16,9,0.6428571428571429
flight_2qo205jw_struc2vec,15,80,32,5,0.6428571428571429
flight_hosjqgep_struc2vec,15,80,32,7,0.6428571428571429
flight_grmdldgd_struc2vec,15,80,32,9,0.6428571428571429
flight_nsnr2v7m_struc2vec,15,80,64,5,0.6428571428571429
Best,20,80,64,9,0.8571428571428571
