Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_04dxrnlt_gae,0.0989,0.1027,0.27,0.5437,0.7186,0.8859,0.1498,0.0989,0.1027,0.27,0.5437,0.7186,0.8859,0.8378,0.8326,0.76426
cora_9ghnema8_gae,0.2662,0.4563,0.5589,0.6616,0.8479,0.9163,0.387,0.2662,0.4563,0.5589,0.6616,0.8479,0.9163,0.8922,0.9102,0.79848
cora_x20c53nl_gae,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.3913,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.8914,0.9087,0.80418
cora_ji7mmvnu_gae,0.2624,0.4335,0.5779,0.6502,0.8479,0.9163,0.3813,0.2624,0.4335,0.5779,0.6502,0.8479,0.9163,0.8888,0.9071,0.79848
cora_qyzuq527_gae,0.2586,0.4335,0.5589,0.654,0.8479,0.924,0.382,0.2586,0.4335,0.5589,0.654,0.8479,0.924,0.8895,0.9079,0.80608
cora_4by6dtyo_gae,0.2776,0.4829,0.5437,0.654,0.8479,0.9202,0.3995,0.2776,0.4829,0.5437,0.654,0.8479,0.9202,0.892,0.9093,0.80418
cora_bi8338t4_gae,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.389,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.8912,0.9084,0.80228
cora_dpuojlk4_gae,0.3042,0.4753,0.5817,0.6654,0.8517,0.9202,0.4092,0.3042,0.4753,0.5817,0.6654,0.8517,0.9202,0.8942,0.9125,0.80989
cora_sb7ocykp_gae,0.2471,0.4563,0.5627,0.6464,0.8555,0.924,0.3769,0.2471,0.4563,0.5627,0.6464,0.8555,0.924,0.8913,0.9086,0.80228
cora_w8nutuo0_gae,0.2814,0.4297,0.5399,0.6616,0.8517,0.9202,0.3879,0.2814,0.4297,0.5399,0.6616,0.8517,0.9202,0.8908,0.9079,0.80608
cora_89q80tn1_gae,0.2281,0.4791,0.5817,0.6616,0.8479,0.924,0.3711,0.2281,0.4791,0.5817,0.6616,0.8479,0.924,0.8922,0.9092,0.80989
cora_bd4cvaw3_gae,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.3937,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.8912,0.9086,0.80608
cora_tee75k7y_gae,0.2738,0.4449,0.5856,0.6692,0.8517,0.9163,0.392,0.2738,0.4449,0.5856,0.6692,0.8517,0.9163,0.8904,0.9097,0.79658
cora_c18wwpkh_gae,0.27,0.4411,0.5551,0.6616,0.8479,0.924,0.3851,0.27,0.4411,0.5551,0.6616,0.8479,0.924,0.8923,0.9096,0.81369
