Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_l6rqey5m_GAE_with_get_loader_RW,9.39 ± nan,14.15 ± nan,44.24 ± nan,58.43 ± nan,89.24 ± nan,97.71 ± nan,18.89 ± nan,9.39 ± nan,14.15 ± nan,44.24 ± nan,58.43 ± nan,89.24 ± nan,97.71 ± nan,99.64 ± nan,99.58 ± nan,86.84 ± nan
cora_eaxlj4bl_GAE_with_get_loader_RW,7.84 ± nan,13.82 ± nan,37.24 ± nan,59.52 ± nan,86.35 ± nan,98.41 ± nan,19.47 ± nan,7.84 ± nan,13.82 ± nan,37.24 ± nan,59.52 ± nan,86.35 ± nan,98.41 ± nan,99.64 ± nan,99.58 ± nan,83.61 ± nan
cora_14g72lwk_GAE_with_get_loader_RW,8.02 ± nan,14.07 ± nan,36.20 ± nan,54.03 ± nan,87.83 ± nan,96.03 ± nan,19.86 ± nan,8.02 ± nan,14.07 ± nan,36.20 ± nan,54.03 ± nan,87.83 ± nan,96.03 ± nan,99.64 ± nan,99.65 ± nan,86.98 ± nan
cora_1o5et3uf_GAE_with_get_loader_RW,18.39 ± nan,19.61 ± nan,52.24 ± nan,74.00 ± nan,96.48 ± nan,97.51 ± nan,26.38 ± nan,18.39 ± nan,19.61 ± nan,52.24 ± nan,74.00 ± nan,96.48 ± nan,97.51 ± nan,99.60 ± nan,99.73 ± nan,89.61 ± nan
cora_110hn5jw_GAE_with_get_loader_RW,7.38 ± nan,13.79 ± nan,35.64 ± nan,56.12 ± nan,86.66 ± nan,98.39 ± nan,18.64 ± nan,7.38 ± nan,13.79 ± nan,35.64 ± nan,56.12 ± nan,86.66 ± nan,98.39 ± nan,99.64 ± nan,99.58 ± nan,86.56 ± nan
cora_apqc4cer_GAE_with_get_loader_RW,7.69 ± nan,14.03 ± nan,37.36 ± nan,58.45 ± nan,86.91 ± nan,98.45 ± nan,19.58 ± nan,7.69 ± nan,14.03 ± nan,37.36 ± nan,58.45 ± nan,86.91 ± nan,98.45 ± nan,99.64 ± nan,99.56 ± nan,85.50 ± nan
cora_lwnlkglp_GAE_with_get_loader_RW,7.54 ± nan,13.93 ± nan,35.35 ± nan,58.01 ± nan,86.38 ± nan,98.52 ± nan,19.29 ± nan,7.54 ± nan,13.93 ± nan,35.35 ± nan,58.01 ± nan,86.38 ± nan,98.52 ± nan,99.64 ± nan,99.58 ± nan,85.51 ± nan
cora_8gvq2546_GAE_with_get_loader_RW,19.29 ± nan,17.58 ± nan,58.31 ± nan,72.82 ± nan,97.03 ± nan,97.73 ± nan,28.09 ± nan,19.29 ± nan,17.58 ± nan,58.31 ± nan,72.82 ± nan,97.03 ± nan,97.73 ± nan,99.60 ± nan,99.75 ± nan,89.58 ± nan
cora_hq71h6fi_GAE_with_get_loader_RW,14.24 ± nan,18.17 ± nan,56.33 ± nan,77.07 ± nan,96.03 ± nan,98.86 ± nan,26.57 ± nan,14.24 ± nan,18.17 ± nan,56.33 ± nan,77.07 ± nan,96.03 ± nan,98.86 ± nan,99.59 ± nan,99.75 ± nan,91.66 ± nan
cora_vg539tsy_GAE_with_get_loader_RW,11.03 ± nan,13.81 ± nan,36.80 ± nan,59.85 ± nan,88.98 ± nan,98.55 ± nan,19.76 ± nan,11.03 ± nan,13.81 ± nan,36.80 ± nan,59.85 ± nan,88.98 ± nan,98.55 ± nan,99.64 ± nan,99.65 ± nan,85.45 ± nan
cora_v5h09q3q_GAE_with_get_loader_RW,17.13 ± nan,18.70 ± nan,58.60 ± nan,76.39 ± nan,96.36 ± nan,98.91 ± nan,26.98 ± nan,17.13 ± nan,18.70 ± nan,58.60 ± nan,76.39 ± nan,96.36 ± nan,98.91 ± nan,99.83 ± nan,99.75 ± nan,89.58 ± nan
cora_02jvrkk6_GAE_with_get_loader_RW,19.80 ± nan,24.95 ± nan,51.82 ± nan,73.93 ± nan,96.85 ± nan,98.43 ± nan,27.72 ± nan,19.80 ± nan,24.95 ± nan,51.82 ± nan,73.93 ± nan,96.85 ± nan,98.43 ± nan,99.60 ± nan,99.74 ± nan,89.72 ± nan
cora_rrj0thxm_GAE_with_get_loader_RW,16.92 ± nan,21.69 ± nan,53.26 ± nan,78.96 ± nan,96.82 ± nan,98.93 ± nan,27.13 ± nan,16.92 ± nan,21.69 ± nan,53.26 ± nan,78.96 ± nan,96.82 ± nan,98.93 ± nan,99.60 ± nan,99.73 ± nan,87.54 ± nan
cora_4e5erab8_GAE_with_get_loader_RW,8.14 ± nan,13.43 ± nan,36.07 ± nan,65.07 ± nan,87.57 ± nan,98.52 ± nan,19.14 ± nan,8.14 ± nan,13.43 ± nan,36.07 ± nan,65.07 ± nan,87.57 ± nan,98.52 ± nan,99.64 ± nan,99.65 ± nan,87.35 ± nan
