Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runrorik3ki_GAT_Variant,89.48,92.8,97.79,98.52,98.15,99.45,91.88,89.48,92.8,97.79,98.52,98.15,99.45,99.72,99.76,97.05,64,32,8,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,2000,1.161254644393921,1.3544447422027588,57697
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.05,98.34,99.26,91.91,89.48,93.54,96.86,97.05,98.34,99.26,99.77,99.78,96.59,32,8,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,1.1679296493530271,1.2577846050262451,11928
cora_runrorik3ki_GAT_Variant,89.48,92.8,97.79,98.52,98.15,99.45,91.88,89.48,92.8,97.79,98.52,98.15,99.45,99.72,99.76,97.05,64,32,8,0.1,0.1,1,0.015,3,2,64,1,3,0.1,inner,2000,0.7562987804412842,0.7786316871643066,91904
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.26,91.87,89.48,93.54,97.79,98.52,98.15,99.26,99.66,99.8,97.05,64,32,4,0.1,0.0,2,0.015,3,2,64,1,3,0.1,dot,2000,0.7895336151123047,0.8180770874023438,56577
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,32,8,0.1,0.1,1,0.015,3,2,64,1,3,0.1,dot,2000,0.7241024971008301,0.8239085674285889,100289
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.05,98.34,99.26,91.91,89.48,93.54,96.86,97.05,98.34,99.26,99.77,99.78,96.59,32,8,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,dot,2000,1.7168352603912354,1.8438315391540527,18265
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.26,91.87,89.48,93.54,97.79,98.52,98.15,99.26,99.66,99.8,97.05,64,32,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,inner,2000,1.3506572246551514,1.4457285404205322,49312
cora_run732fj4mw_GAT_Variant,10.15,47.79,77.12,89.11,97.6,98.52,57.92,10.15,47.79,77.12,89.11,97.6,98.52,98.51,98.46,87.55,32,32,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,inner,2000,0.2418434619903564,0.2647686004638672,45952
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,32,8,0.1,0.1,2,0.015,3,2,64,1,3,0.1,inner,2000,0.8365981578826904,1.0345375537872314,48192
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.05,98.34,99.26,91.91,89.48,93.54,96.86,97.05,98.34,99.26,99.77,99.78,96.59,32,8,8,0.1,0.0,1,0.015,3,2,64,1,3,0.1,inner,2000,0.7121388912200928,0.7302491664886475,45952
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.26,91.87,89.48,93.54,97.79,98.52,98.15,99.26,99.66,99.8,97.05,64,32,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,2000,0.8249707221984863,0.8815608024597168,57697
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.05,98.15,99.26,91.91,89.48,93.54,96.86,97.05,98.15,99.26,99.66,99.69,96.59,32,8,8,0.1,0.0,1,0.015,3,2,64,1,3,0.1,dot,2000,0.726017951965332,0.7547059059143066,52289
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,32,8,0.1,0.1,2,0.015,3,2,64,1,3,0.1,dot,2000,0.568842887878418,0.6291320323944092,56577
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.26,91.87,89.48,93.54,97.79,98.52,98.15,99.26,99.66,99.8,97.05,64,32,4,0.1,0.1,1,0.015,3,2,64,1,3,0.1,inner,2000,0.6992313861846924,0.717991828918457,91904
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.05,98.15,99.26,91.91,89.48,93.54,96.86,97.05,98.15,99.26,99.66,99.69,96.59,32,8,8,0.1,0.0,2,0.015,3,2,64,1,3,0.1,inner,2000,0.6276302337646484,0.7574188709259033,11840
cora_run732fj4mw_GAT_Variant,84.13,95.2,96.31,97.6,97.97,99.08,89.0,84.13,95.2,96.31,97.6,97.97,99.08,99.31,99.48,97.32,32,32,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,dot,2000,0.5932767391204834,0.6034672260284424,52289
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.87,89.48,93.54,97.79,98.52,98.15,99.45,99.72,99.76,97.05,64,32,4,0.1,0.1,1,0.015,3,2,64,1,3,0.1,dot,2000,0.7299761772155762,0.7496352195739746,100289
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,32,8,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,1.3850977420806885,1.4900233745574951,49312
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.05,98.15,99.26,91.91,89.48,93.54,96.86,97.05,98.15,99.26,99.66,99.69,96.59,32,8,8,0.1,0.0,2,0.015,3,2,64,1,3,0.1,dot,2000,0.8905613422393799,1.0123047828674316,18177
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.87,89.48,93.54,97.79,98.52,98.15,99.45,99.72,99.76,97.05,64,32,4,0.1,0.1,2,0.015,3,2,64,1,3,0.1,inner,2000,0.9216759204864502,0.9518365859985352,48192
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,32,8,0.1,0.1,3,0.015,3,2,64,1,3,0.1,dot,2000,1.3729887008666992,1.4297206401824951,57697
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.05,98.15,99.26,91.91,89.48,93.54,96.86,97.05,98.15,99.26,99.66,99.69,96.59,32,8,8,0.1,0.0,3,0.015,3,2,64,1,3,0.1,inner,2000,1.09911847114563,1.158745527267456,11928
cora_run732fj4mw_GAT_Variant,84.13,95.2,96.31,97.6,97.97,99.08,89.0,84.13,95.2,96.31,97.6,97.97,99.08,99.31,99.48,97.32,32,32,4,0.1,0.0,2,0.015,3,2,64,1,3,0.1,inner,2000,0.2991940975189209,0.6243462562561035,47072
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.87,89.48,93.54,97.79,98.52,98.15,99.45,99.72,99.76,97.05,64,32,4,0.1,0.1,2,0.015,3,2,64,1,3,0.1,dot,2000,1.106487512588501,1.403207540512085,56577
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,inner,2000,0.50773024559021,0.581679105758667,91904
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,dot,2000,0.6128113269805908,0.7078037261962891,100289
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.05,98.15,99.26,91.91,89.48,93.54,96.86,97.05,98.15,99.26,99.66,99.69,96.59,32,8,8,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,2000,0.7476372718811035,0.8399693965911865,18265
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.87,89.48,93.54,97.79,98.52,98.15,99.45,99.72,99.76,97.05,64,32,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,0.7905230522155762,0.8270690441131592,49312
cora_runwvivt6xd_GAT_Variant,89.48,93.54,96.86,97.05,98.15,99.26,91.91,89.48,93.54,96.86,97.05,98.15,99.26,99.66,99.69,96.59,32,8,8,0.1,0.1,1,0.015,3,2,64,1,3,0.1,inner,2000,0.4774003028869629,0.5054633617401123,45952
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.0,2,0.015,3,2,64,1,3,0.1,inner,2000,1.1169557571411133,1.2509377002716064,12192
