Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_run7g5jm2wz_SAGE_Variant,9.96,43.91,84.87,90.96,93.91,96.31,24.75,9.96,43.91,84.87,90.96,93.91,96.31,97.0,97.87,87.92,128,64,0.0089,3,2,64,1,3,0.1,inner,2000,0.2614212036132812,0.3605039119720459,208256
cora_run7g5jm2wz_SAGE_Variant,9.96,73.8,85.61,88.38,93.91,96.31,24.75,9.96,73.8,85.61,88.38,93.91,96.31,97.0,97.87,91.79,128,64,0.0089,3,2,64,1,3,0.1,dot,2000,0.2064177989959716,0.3702964782714844,220737
cora_run7g5jm2wz_SAGE_Variant,37.64,73.8,86.9,91.33,93.91,96.31,52.53,37.64,73.8,86.9,91.33,93.91,96.31,97.0,98.16,91.97,128,128,0.0089,3,2,64,1,3,0.1,inner,2000,0.5147731304168701,0.5250904560089111,432768
cora_run7g5jm2wz_SAGE_Variant,14.21,76.75,88.19,91.88,95.2,96.31,36.4,14.21,76.75,88.19,91.88,95.2,96.31,98.12,98.39,92.8,128,128,0.0089,3,2,64,1,3,0.1,dot,2000,0.1509680747985839,0.1977362632751464,445249
cora_run7g5jm2wz_SAGE_Variant,14.21,76.75,88.19,91.88,96.31,97.79,36.4,14.21,76.75,88.19,91.88,96.31,97.79,98.5,98.39,95.02,128,256,0.0089,3,2,64,1,3,0.1,inner,2000,0.2794816493988037,0.288640022277832,930944
cora_run7g5jm2wz_SAGE_Variant,61.07,76.01,89.67,92.8,95.02,97.79,72.97,61.07,76.01,89.67,92.8,95.02,97.79,98.5,98.45,95.02,128,256,0.0089,3,2,64,1,3,0.1,dot,2000,0.7441489696502686,0.8052499294281006,943425
cora_run7g5jm2wz_SAGE_Variant,61.07,76.01,89.67,92.8,95.02,97.79,72.97,61.07,76.01,89.67,92.8,95.02,97.79,97.97,98.4,95.02,256,64,0.0089,3,2,64,1,3,0.1,inner,2000,0.1171190738677978,0.2192389965057373,224768
cora_runl82cd6un_SAGE_Variant,60.52,79.7,88.56,92.44,95.94,97.6,72.49,60.52,79.7,88.56,92.44,95.94,97.6,98.35,98.67,83.39,128,64,0.0089,3,2,64,1,3,0.1,inner,2000,0.954336643218994,0.9831931591033936,208256
cora_runl82cd6un_SAGE_Variant,60.52,77.49,89.48,93.36,97.42,99.45,72.49,60.52,77.49,89.48,93.36,97.42,99.45,99.06,99.09,92.44,128,64,0.0089,3,2,64,1,3,0.1,dot,2000,0.9793646335601808,1.0075416564941406,220737
cora_runl82cd6un_SAGE_Variant,66.79,74.72,88.38,90.96,97.42,99.45,68.64,66.79,74.72,88.38,90.96,97.42,99.45,99.06,99.09,92.44,128,128,0.0089,3,2,64,1,3,0.1,inner,2000,0.873126745223999,0.9015729427337646,432768
cora_runl82cd6un_SAGE_Variant,64.94,81.92,90.04,93.36,97.79,99.45,71.6,64.94,81.92,90.04,93.36,97.79,99.45,99.06,98.99,92.44,128,128,0.0089,3,2,64,1,3,0.1,dot,2000,0.9929351806640624,1.0263423919677734,445249
