Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr
cora_runu6xjo23g_SEAL_hyperaq3gskk6,50.92,53.87,80.07,83.03,89.67,92.25,57.1,50.92,53.87,80.07,83.03,89.67,92.25,93.04,94.66,66.05,32,32,0.001
cora_rundfcfzvwd_SEAL_hyperbzmp6v42,50.92,53.87,80.07,83.03,89.67,92.25,57.1,50.92,53.87,80.07,83.03,89.67,92.25,93.04,94.66,66.05,32,32,0.001
cora_runio06vylr_SEAL_hyperb1tbl1zm,50.92,53.87,80.07,83.03,89.67,92.25,57.1,50.92,53.87,80.07,83.03,89.67,92.25,93.04,94.66,66.05,32,32,0.001
cora_runio06vylr_SEAL_hyperp82a487r,50.92,53.87,80.07,83.03,89.67,92.25,57.1,50.92,53.87,80.07,83.03,89.67,92.25,93.04,94.66,81.73,32,32,0.0001
cora_runio06vylr_SEAL_hypermxrx0cfd,31.37,53.87,80.07,83.03,89.67,92.25,57.1,31.37,53.87,80.07,83.03,89.67,92.25,93.04,94.66,81.73,32,64,0.001
cora_runio06vylr_SEAL_hyperomhja7m0,31.37,53.87,80.07,83.03,89.67,92.25,57.1,31.37,53.87,80.07,83.03,89.67,92.25,93.04,94.66,81.73,32,64,0.0001
cora_runio06vylr_SEAL_hyper4pe3ngzw,29.52,53.87,75.28,85.98,90.77,92.25,44.42,29.52,53.87,75.28,85.98,90.77,92.25,92.76,94.5,81.73,32,128,0.001
cora_runio06vylr_SEAL_hyper4l9tubca,29.52,53.87,75.28,85.98,90.77,92.25,44.42,29.52,53.87,75.28,85.98,90.77,92.25,92.76,94.5,81.73,32,128,0.0001
cora_runio06vylr_SEAL_hypera7y3augh,29.52,53.87,75.28,85.98,90.77,92.25,44.42,29.52,53.87,75.28,85.98,90.77,92.25,92.76,94.5,81.73,32,256,0.001
cora_runio06vylr_SEAL_hypereodxu28a,29.52,53.87,75.28,85.98,90.77,92.25,44.42,29.52,53.87,75.28,85.98,90.77,92.25,92.76,94.5,81.73,32,256,0.0001
cora_runio06vylr_SEAL_hyperzr8cvenk,29.52,53.87,75.28,82.29,90.77,92.25,44.42,29.52,53.87,75.28,82.29,90.77,92.25,92.76,94.5,81.73,64,32,0.001
cora_runio06vylr_SEAL_hyperjp69rfrv,29.52,53.87,75.28,82.29,90.77,92.25,44.42,29.52,53.87,75.28,82.29,90.77,92.25,92.76,94.5,81.73,64,32,0.0001
cora_runio06vylr_SEAL_hypert35yxc97,29.52,68.63,80.44,85.61,91.14,93.36,50.05,29.52,68.63,80.44,85.61,91.14,93.36,94.32,95.44,81.73,64,64,0.001
cora_runio06vylr_SEAL_hyper6m54sp9n,29.52,68.63,80.44,85.61,91.14,93.36,50.05,29.52,68.63,80.44,85.61,91.14,93.36,94.32,95.44,81.73,64,64,0.0001
cora_runio06vylr_SEAL_hyperfc4tt02j,29.52,68.63,80.44,85.61,91.14,93.36,50.05,29.52,68.63,80.44,85.61,91.14,93.36,94.32,95.44,81.73,64,128,0.001
cora_runio06vylr_SEAL_hyperyw91bux4,29.52,68.63,80.44,85.61,91.14,93.36,50.05,29.52,68.63,80.44,85.61,91.14,93.36,94.32,95.44,81.73,64,128,0.0001
cora_runio06vylr_SEAL_hyperhet9zk42,27.31,68.63,80.44,85.61,91.14,93.36,50.05,27.31,68.63,80.44,85.61,91.14,93.36,94.32,95.44,81.73,64,256,0.001
cora_runio06vylr_SEAL_hyperqkulyadx,27.31,68.63,80.44,85.61,91.14,93.36,50.05,27.31,68.63,80.44,85.61,91.14,93.36,94.32,95.44,81.73,64,256,0.0001
cora_runio06vylr_SEAL_hyperx9v2519g,27.31,68.63,79.7,85.61,91.14,93.36,50.05,27.31,68.63,79.7,85.61,91.14,93.36,94.32,95.44,81.73,128,32,0.001
