model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-minilm,0,14.02,39.85,63.1,75.65,85.61,94.83,38.25,14.02,39.85,63.1,75.65,85.61,94.83,91.77,92.64,84.69
MLP-minilm,0,46.13,52.4,65.31,71.96,84.5,93.73,52.15,46.13,52.4,65.31,71.96,84.5,93.73,92.14,93.29,83.76
MLP-minilm,1,36.53,52.4,64.58,71.96,84.5,93.73,43.01,36.53,52.4,64.58,71.96,84.5,93.73,92.12,93.29,83.76
MLP-minilm,0,36.9,42.07,57.2,68.63,84.13,91.51,42.92,36.9,42.07,57.2,68.63,84.13,91.51,90.09,91.44,82.47
MLP-minilm,1,36.53,41.7,58.67,69.0,84.13,91.51,42.43,36.53,41.7,58.67,69.0,84.13,91.51,90.11,91.46,82.47
MLP-minilm,2,36.53,42.44,57.2,69.37,84.13,91.51,42.54,36.53,42.44,57.2,69.37,84.13,91.51,90.11,91.46,82.1
MLP-minilm,3,33.58,41.33,57.56,69.0,83.76,91.51,42.72,33.58,41.33,57.56,69.0,83.76,91.51,90.08,91.43,82.29
MLP-minilm,4,36.16,42.44,57.2,69.37,83.39,91.51,42.42,36.16,42.44,57.2,69.37,83.39,91.51,90.11,91.45,82.29
MLP-minilm,0,50.92,55.35,59.78,71.59,85.61,95.2,55.86,50.92,55.35,59.78,71.59,85.61,95.2,92.21,93.34,84.13
MLP-minilm,1,49.08,54.98,59.78,71.96,84.87,94.83,55.77,49.08,54.98,59.78,71.96,84.87,94.83,92.17,93.32,84.32
MLP-minilm,0,9.59,31.73,58.67,63.84,83.39,90.04,26.91,9.59,31.73,58.67,63.84,83.39,90.04,89.96,90.74,83.03
MLP-minilm,1,9.59,31.73,59.78,63.84,83.39,90.41,26.76,9.59,31.73,59.78,63.84,83.39,90.41,89.96,90.76,83.21
MLP-minilm,2,10.33,32.1,59.41,63.47,83.39,91.88,26.67,10.33,32.1,59.41,63.47,83.39,91.88,89.9,90.68,83.03
MLP-minilm,3,10.33,32.1,59.04,63.47,83.39,90.04,26.68,10.33,32.1,59.04,63.47,83.39,90.04,89.87,90.72,82.84
MLP-minilm,4,9.96,32.1,59.41,63.84,83.39,91.88,26.51,9.96,32.1,59.41,63.84,83.39,91.88,89.9,90.78,82.84
MLP-minilm,0,21.77,37.27,53.14,74.17,85.98,92.62,31.15,21.77,37.27,53.14,74.17,85.98,92.62,91.05,91.7,85.06
MLP-minilm,1,22.14,36.9,52.03,74.91,85.98,92.62,31.42,22.14,36.9,52.03,74.91,85.98,92.62,91.09,91.7,85.42
MLP-minilm,2,21.77,36.53,51.66,73.06,85.24,92.62,31.09,21.77,36.53,51.66,73.06,85.24,92.62,91.11,91.7,84.69
MLP-minilm,3,21.4,37.27,51.66,72.69,85.24,92.62,31.2,21.4,37.27,51.66,72.69,85.24,92.62,91.02,91.71,85.06
MLP-minilm,4,21.77,36.9,52.4,74.91,84.87,92.62,31.31,21.77,36.9,52.4,74.91,84.87,92.62,91.03,91.69,84.32
MLP-tfidf,0,0.0,11.07,35.06,46.13,60.15,77.49,7.51,0.0,11.07,35.06,46.13,60.15,77.49,79.1,80.22,70.29
MLP-tfidf,0,4.06,24.72,32.47,41.7,58.67,76.01,15.83,4.06,24.72,32.47,41.7,58.67,76.01,77.85,80.19,69.74
MLP-tfidf,1,5.17,16.61,31.37,43.17,59.04,76.01,15.35,5.17,16.61,31.37,43.17,59.04,76.01,77.8,80.2,70.66
MLP-tfidf,2,4.8,23.62,32.1,37.27,59.04,76.01,15.65,4.8,23.62,32.1,37.27,59.04,76.01,77.88,80.22,69.93
MLP-tfidf,3,6.64,22.14,32.84,47.97,56.09,75.28,17.2,6.64,22.14,32.84,47.97,56.09,75.28,77.8,80.36,70.48
MLP-tfidf,0,0.0,4.43,18.45,37.27,57.56,70.11,7.91,0.0,4.43,18.45,37.27,57.56,70.11,75.48,75.37,68.45
MLP-tfidf,1,0.0,5.17,18.45,37.27,51.66,67.9,7.97,0.0,5.17,18.45,37.27,51.66,67.9,75.39,75.33,67.53
MLP-tfidf,2,0.0,5.54,20.66,33.21,56.83,70.11,7.99,0.0,5.54,20.66,33.21,56.83,70.11,75.39,75.29,69.0
MLP-tfidf,3,0.0,5.17,20.3,35.79,56.09,70.85,8.18,0.0,5.17,20.3,35.79,56.09,70.85,75.57,75.6,68.45
MLP-tfidf,4,0.0,5.17,24.72,36.53,55.72,70.11,8.29,0.0,5.17,24.72,36.53,55.72,70.11,75.51,75.55,68.08
MLP-tfidf,0,8.49,15.87,33.58,40.59,57.56,72.69,15.74,8.49,15.87,33.58,40.59,57.56,72.69,76.43,78.9,68.82
MLP-tfidf,1,7.75,16.24,32.84,40.96,58.3,73.06,15.16,7.75,16.24,32.84,40.96,58.3,73.06,76.37,78.86,68.08
MLP-tfidf,2,7.75,15.5,32.47,40.59,59.78,72.32,15.05,7.75,15.5,32.47,40.59,59.78,72.32,76.55,78.92,69.74
MLP-tfidf,3,8.86,15.87,33.58,40.22,59.04,72.32,15.64,8.86,15.87,33.58,40.22,59.04,72.32,76.39,78.87,69.74
MLP-tfidf,4,7.75,15.87,34.69,42.07,58.67,70.85,15.26,7.75,15.87,34.69,42.07,58.67,70.85,76.36,78.86,68.45
MLP-tfidf,0,4.43,4.8,25.46,41.7,60.89,80.07,7.25,4.43,4.8,25.46,41.7,60.89,80.07,79.61,78.35,72.14
MLP-tfidf,1,3.69,2.95,28.41,39.85,61.62,81.18,7.06,3.69,2.95,28.41,39.85,61.62,81.18,79.53,78.16,72.69
MLP-tfidf,2,3.32,3.69,26.94,39.85,60.89,82.29,8.01,3.32,3.69,26.94,39.85,60.89,82.29,78.98,77.98,72.51
MLP-tfidf,3,3.32,4.43,29.52,43.17,62.73,80.44,7.99,3.32,4.43,29.52,43.17,62.73,80.44,79.62,78.97,70.66
MLP-tfidf,4,3.69,6.27,25.83,40.96,62.36,84.13,8.93,3.69,6.27,25.83,40.96,62.36,84.13,80.56,79.35,73.06
MLP-tfidf,0,6.27,10.7,26.2,39.48,59.04,76.75,11.65,6.27,10.7,26.2,39.48,59.04,76.75,78.41,78.83,69.93
MLP-tfidf,1,7.01,11.81,23.99,30.63,53.14,75.28,10.08,7.01,11.81,23.99,30.63,53.14,75.28,76.41,76.35,69.74
MLP-tfidf,2,7.01,10.7,25.09,38.75,54.61,79.34,10.53,7.01,10.7,25.09,38.75,54.61,79.34,78.21,77.95,71.59
MLP-tfidf,3,2.21,17.71,32.47,39.85,57.93,78.23,11.25,2.21,17.71,32.47,39.85,57.93,78.23,78.56,78.9,71.03
MLP-tfidf,4,4.43,11.44,26.57,43.17,59.41,75.65,12.0,4.43,11.44,26.57,43.17,59.41,75.65,78.15,78.62,69.93
MLP-tfidf,0,11.07,17.34,26.94,35.79,59.41,78.23,16.62,11.07,17.34,26.94,35.79,59.41,78.23,78.48,79.42,71.03
MLP-tfidf,1,3.32,12.92,29.89,36.9,57.2,78.23,15.97,3.32,12.92,29.89,36.9,57.2,78.23,77.97,78.76,71.59
MLP-tfidf,2,14.39,15.5,31.0,40.96,62.36,82.29,18.88,14.39,15.5,31.0,40.96,62.36,82.29,79.98,80.99,73.62
MLP-tfidf,3,2.95,9.59,25.46,42.44,60.15,79.7,15.44,2.95,9.59,25.46,42.44,60.15,79.7,78.66,79.73,71.03
MLP-tfidf,4,3.32,19.19,26.57,39.11,58.67,78.23,15.16,3.32,19.19,26.57,39.11,58.67,78.23,78.07,79.21,71.03
MLP-tfidf,0,7.01,7.38,12.92,19.93,40.59,66.05,9.69,7.01,7.38,12.92,19.93,40.59,66.05,69.02,68.7,61.99
MLP-tfidf,1,7.38,8.49,14.02,22.14,38.75,66.79,10.46,7.38,8.49,14.02,22.14,38.75,66.79,70.11,69.75,61.81
MLP-tfidf,2,5.54,7.75,15.13,23.99,41.33,64.21,9.19,5.54,7.75,15.13,23.99,41.33,64.21,69.46,69.25,62.36
