model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-minilm,0,59.52,70.24,81.14,85.47,93.94,98.62,66.62,59.52,70.24,81.14,85.47,93.94,98.62,98.19,98.32,92.47
MLP-minilm,1,59.34,68.17,79.24,85.47,93.94,98.62,66.95,59.34,68.17,79.24,85.47,93.94,98.62,98.18,98.35,92.47
MLP-minilm,2,59.17,69.9,79.41,85.81,93.94,98.62,66.69,59.17,69.9,79.41,85.81,93.94,98.62,98.19,98.35,92.47
MLP-minilm,3,59.0,69.9,79.41,85.29,93.94,98.62,66.83,59.0,69.9,79.41,85.29,93.94,98.62,98.19,98.34,92.47
MLP-minilm,4,59.52,70.07,79.41,85.81,93.94,98.62,66.92,59.52,70.07,79.41,85.81,93.94,98.62,98.19,98.33,92.47
MLP-minilm,0,63.84,73.18,84.43,90.48,96.71,98.27,69.4,63.84,73.18,84.43,90.48,96.71,98.27,98.72,98.82,94.46
MLP-minilm,1,63.84,71.8,84.43,92.21,96.54,98.27,69.31,63.84,71.8,84.43,92.21,96.54,98.27,98.73,98.82,94.46
MLP-minilm,2,65.22,71.63,84.43,90.48,96.54,98.27,72.15,65.22,71.63,84.43,90.48,96.54,98.27,98.72,98.81,94.38
MLP-minilm,3,62.98,71.28,84.43,92.21,96.54,98.27,68.83,62.98,71.28,84.43,92.21,96.54,98.27,98.72,98.82,94.46
MLP-minilm,4,65.05,71.8,84.43,91.35,96.89,98.27,70.31,65.05,71.8,84.43,91.35,96.89,98.27,98.73,98.82,94.38
