model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP
MLP-tfidf,0,15.0,15.0,90.0,100.0,100.0,100.0,31.2,15.0,15.0,90.0,100.0,100.0,100.0,77.12,74.32
MLP-tfidf,1,15.0,20.0,80.0,100.0,100.0,100.0,32.47,15.0,20.0,80.0,100.0,100.0,100.0,73.38,72.61
MLP-tfidf,2,10.0,10.0,30.0,100.0,100.0,100.0,29.93,10.0,10.0,80.0,100.0,100.0,100.0,78.75,75.87
MLP-tfidf,3,10.0,20.0,95.0,100.0,100.0,100.0,29.17,10.0,20.0,95.0,100.0,100.0,100.0,77.25,72.79
MLP-tfidf,4,10.0,20.0,80.0,100.0,100.0,100.0,29.79,10.0,20.0,80.0,100.0,100.0,100.0,76.5,72.3
MLP-tfidf,0,25.0,40.0,60.0,95.0,100.0,100.0,35.76,25.0,40.0,60.0,90.0,100.0,100.0,64.87,72.41
MLP-tfidf,1,25.0,30.0,60.0,90.0,100.0,100.0,35.7,25.0,30.0,60.0,90.0,100.0,100.0,61.75,71.44
MLP-tfidf,2,25.0,25.0,60.0,95.0,100.0,100.0,34.74,25.0,25.0,60.0,90.0,100.0,100.0,59.13,68.85
MLP-tfidf,3,25.0,30.0,60.0,90.0,100.0,100.0,35.68,25.0,30.0,60.0,90.0,100.0,100.0,63.62,70.88
MLP-tfidf,4,25.0,30.0,60.0,90.0,100.0,100.0,35.91,25.0,30.0,60.0,90.0,100.0,100.0,63.0,70.85
MLP-tfidf,0,5.0,10.0,70.0,100.0,100.0,100.0,19.13,5.0,10.0,70.0,100.0,100.0,100.0,62.25,58.81
MLP-tfidf,1,5.0,10.0,70.0,100.0,100.0,100.0,16.58,5.0,10.0,70.0,100.0,100.0,100.0,59.87,58.77
MLP-tfidf,2,5.0,10.0,70.0,100.0,100.0,100.0,19.24,5.0,10.0,70.0,100.0,100.0,100.0,63.25,59.33
MLP-tfidf,3,5.0,15.0,70.0,95.0,100.0,100.0,22.75,5.0,15.0,70.0,95.0,100.0,100.0,62.13,60.37
MLP-tfidf,4,10.0,10.0,70.0,100.0,100.0,100.0,19.34,10.0,10.0,70.0,100.0,100.0,100.0,58.25,59.7
MLP-tfidf,0,30.0,35.0,75.0,100.0,100.0,100.0,41.06,30.0,35.0,75.0,100.0,100.0,100.0,72.25,76.65
MLP-tfidf,0,10.0,40.0,35.0,100.0,100.0,100.0,29.84,10.0,40.0,35.0,100.0,100.0,100.0,49.75,67.73
MLP-tfidf,1,10.0,45.0,45.0,95.0,100.0,100.0,26.99,10.0,45.0,45.0,95.0,100.0,100.0,62.0,63.52
MLP-tfidf,2,5.0,45.0,65.0,90.0,100.0,100.0,24.14,5.0,45.0,65.0,90.0,100.0,100.0,61.0,65.12
MLP-tfidf,3,0.0,30.0,50.0,100.0,100.0,100.0,22.07,0.0,30.0,50.0,100.0,100.0,100.0,49.75,60.74
MLP-tfidf,4,5.0,35.0,45.0,100.0,100.0,100.0,25.86,5.0,35.0,45.0,100.0,100.0,100.0,51.75,63.86
MLP-tfidf,0,0.0,0.0,45.0,100.0,100.0,100.0,10.59,0.0,0.0,45.0,100.0,100.0,100.0,50.25,47.15
MLP-tfidf,1,0.0,0.0,35.0,100.0,100.0,100.0,11.29,0.0,0.0,35.0,100.0,100.0,100.0,44.0,47.05
MLP-tfidf,2,0.0,0.0,45.0,95.0,100.0,100.0,10.09,0.0,0.0,45.0,95.0,100.0,100.0,46.75,46.56
MLP-tfidf,3,0.0,0.0,55.0,85.0,100.0,100.0,9.59,0.0,0.0,55.0,85.0,100.0,100.0,45.0,45.83
MLP-tfidf,4,0.0,0.0,45.0,100.0,100.0,100.0,10.38,0.0,0.0,45.0,100.0,100.0,100.0,46.75,46.99
MLP-tfidf,0,5.0,25.0,80.0,100.0,100.0,100.0,23.66,5.0,25.0,80.0,100.0,100.0,100.0,66.25,64.99
MLP-tfidf,1,5.0,25.0,80.0,95.0,100.0,100.0,22.15,5.0,25.0,80.0,95.0,100.0,100.0,64.25,64.04
MLP-tfidf,2,10.0,30.0,70.0,95.0,100.0,100.0,25.34,10.0,30.0,70.0,95.0,100.0,100.0,55.25,67.04
MLP-tfidf,3,5.0,25.0,75.0,95.0,100.0,100.0,23.22,5.0,25.0,75.0,95.0,100.0,100.0,65.25,65.14
MLP-tfidf,4,5.0,25.0,85.0,100.0,100.0,100.0,24.08,5.0,25.0,85.0,100.0,100.0,100.0,52.5,65.89
