Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs
arxiv_2023_rung14feizw_GAE,36.43,53.95,81.59,99.42,100.0,100.0,52.12,36.43,53.95,81.59,99.42,100.0,100.0,80.54,99.21,73.52,16,16,16,0.1,1024,10,10,100,500
arxiv_2023_runnk5j5izn_GAE,36.43,58.56,81.59,99.67,100.0,100.0,54.28,36.43,58.56,81.59,99.67,100.0,100.0,82.33,99.29,74.48,16,16,16,0.01,1024,10,10,100,500
arxiv_2023_runonqmug9f_GAE,36.43,58.56,81.59,99.26,100.0,100.0,54.28,36.43,58.56,81.59,99.26,100.0,100.0,82.33,99.29,74.48,16,16,16,0.001,1024,10,10,100,500
arxiv_2023_runjujrwtuz_GAE,36.43,58.56,79.98,99.06,100.0,100.0,54.28,36.43,58.56,79.98,99.06,100.0,100.0,82.33,99.11,70.13,16,16,16,0.0001,1024,10,10,100,500
arxiv_2023_runccdthv55_GAE,36.43,58.56,79.98,99.06,100.0,100.0,54.28,36.43,58.56,79.98,99.06,100.0,100.0,82.33,99.11,70.13,16,16,32,0.1,1024,10,10,100,500
arxiv_2023_runbqqn72yc_GAE,36.43,57.48,79.98,99.06,100.0,100.0,54.28,36.43,57.48,79.98,99.06,100.0,100.0,82.33,99.11,70.13,16,16,32,0.01,1024,10,10,100,500
arxiv_2023_runp1li5pow_GAE,36.43,57.48,79.98,99.06,100.0,100.0,54.28,36.43,57.48,79.98,99.06,100.0,100.0,82.33,99.11,70.13,16,16,32,0.001,1024,10,10,100,500
arxiv_2023_runaxg4yce7_GAE,36.43,57.48,79.98,99.48,100.0,100.0,54.28,36.43,57.48,79.98,99.48,100.0,100.0,82.33,99.11,70.13,16,16,32,0.0001,1024,10,10,100,500
arxiv_2023_runp0ej3dmz_GAE,33.96,57.48,79.98,99.48,100.0,100.0,48.72,33.96,57.48,79.98,99.48,100.0,100.0,82.33,99.11,70.13,16,16,64,0.1,1024,10,10,100,500
arxiv_2023_runragyfcqm_GAE,33.96,57.48,79.98,99.48,100.0,100.0,48.72,33.96,57.48,79.98,99.48,100.0,100.0,82.33,99.11,70.13,16,16,64,0.01,1024,10,10,100,500
arxiv_2023_runemd4recz_GAE,33.96,57.48,79.98,99.48,100.0,100.0,48.72,33.96,57.48,79.98,99.48,100.0,100.0,82.33,99.11,70.13,16,16,64,0.001,1024,10,10,100,500
arxiv_2023_run5bpx8guz_GAE,33.96,57.48,79.98,99.48,100.0,100.0,48.72,33.96,57.48,79.98,99.48,100.0,100.0,82.33,99.11,72.93,16,16,64,0.0001,1024,10,10,100,500
arxiv_2023_rund7a54bd8_GAE,33.96,57.48,79.98,99.48,100.0,100.0,48.72,33.96,57.48,79.98,99.48,100.0,100.0,82.33,99.11,72.93,16,16,128,0.1,1024,10,10,100,500
arxiv_2023_run54nf203o_GAE,33.96,57.48,79.98,99.48,100.0,100.0,48.72,33.96,57.48,79.98,99.48,100.0,100.0,82.33,99.11,72.93,16,16,128,0.01,1024,10,10,100,500
arxiv_2023_run5t941g9w_GAE,33.96,57.48,79.98,99.48,100.0,100.0,48.72,33.96,57.48,79.98,99.48,100.0,100.0,82.33,99.11,72.93,16,16,128,0.001,1024,10,10,100,500
arxiv_2023_run6nsshhl7_GAE,33.96,57.48,79.98,99.48,100.0,100.0,48.72,33.96,57.48,79.98,99.48,100.0,100.0,82.33,99.11,72.93,16,16,128,0.0001,1024,10,10,100,500
arxiv_2023_rungwao4ijn_GAE,33.96,57.48,79.98,99.48,100.0,100.0,48.72,33.96,57.48,79.98,99.48,100.0,100.0,82.33,99.11,72.93,16,32,16,0.1,1024,10,10,100,500
arxiv_2023_runpws1vq1w_GAE,33.96,52.33,79.98,99.64,100.0,100.0,48.72,33.96,52.33,79.98,99.64,100.0,100.0,81.32,99.2,72.93,16,32,16,0.01,1024,10,10,100,500
arxiv_2023_rungdm9zmct_GAE,33.96,52.33,79.98,99.64,100.0,100.0,48.72,33.96,52.33,79.98,99.64,100.0,100.0,81.32,99.2,72.93,16,32,16,0.001,1024,10,10,100,500
