Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs
arxiv_2023_runhln17c5y_GAE,48.48,78.44,98.17,100.0,100.0,100.0,64.83,48.48,78.44,98.17,100.0,100.0,100.0,81.19,99.48,63.62,16,16,32,512,10,5,100,400
arxiv_2023_runjnavvumt_GAE,48.48,78.44,98.17,100.0,100.0,100.0,64.83,48.48,78.44,98.17,100.0,100.0,100.0,81.19,99.48,68.37,16,16,32,512,10,10,100,400
arxiv_2023_runa902p5k7_GAE,33.31,52.75,85.59,99.67,100.0,100.0,47.27,33.31,52.75,85.59,99.67,100.0,100.0,81.06,99.16,81.4,16,16,32,1024,10,5,100,400
arxiv_2023_runa4kfkhfs_GAE,38.03,52.75,87.15,99.33,100.0,100.0,51.44,38.03,52.75,87.15,99.33,100.0,100.0,82.36,99.2,81.4,16,16,32,1024,10,10,100,400
arxiv_2023_runewjcd763_GAE,38.03,52.75,87.15,99.33,100.0,100.0,51.44,38.03,52.75,87.15,99.33,100.0,100.0,82.36,99.2,65.83,16,16,64,1024,10,5,100,400
arxiv_2023_runew91msgw_GAE,38.03,52.75,87.15,99.33,100.0,100.0,51.44,38.03,52.75,87.15,99.33,100.0,100.0,82.36,99.2,65.83,16,16,64,1024,10,10,100,400
arxiv_2023_run8sxxltv5_GAE,38.03,52.75,87.15,99.88,100.0,100.0,51.44,38.03,52.75,87.15,99.88,100.0,100.0,82.36,99.2,70.07,16,16,128,1024,10,5,100,400
arxiv_2023_runkglurh9v_GAE,38.03,52.75,87.15,99.88,100.0,100.0,51.44,38.03,52.75,87.15,99.88,100.0,100.0,82.36,99.2,70.07,16,16,128,1024,10,10,100,400
arxiv_2023_run5kogzga4_GAE,36.32,54.16,79.4,99.66,100.0,100.0,49.31,36.32,54.16,79.4,99.66,100.0,100.0,77.64,99.17,70.07,16,32,32,1024,10,5,100,400
arxiv_2023_runl587m8yq_GAE,36.32,54.16,79.4,99.66,100.0,100.0,49.31,36.32,54.16,79.4,99.66,100.0,100.0,77.64,99.17,70.07,16,32,32,1024,10,10,100,400
arxiv_2023_runbo6tina5_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.07,16,32,64,1024,10,5,100,400
arxiv_2023_run5zxcseqg_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.07,16,32,64,1024,10,10,100,400
arxiv_2023_runt1g7ukbd_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.07,16,32,128,1024,10,5,100,400
arxiv_2023_runga6ua16d_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.07,16,32,128,1024,10,10,100,400
arxiv_2023_run1q96rbon_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.55,32,16,32,1024,10,5,100,400
arxiv_2023_runmzlv51ad_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.55,32,16,32,1024,10,10,100,400
arxiv_2023_runkeolmrlw_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.55,32,16,64,1024,10,5,100,400
arxiv_2023_runk3zaiflt_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.55,32,16,64,1024,10,10,100,400
arxiv_2023_runoub9rbdj_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.55,32,16,128,1024,10,5,100,400
arxiv_2023_runj2arv8h5_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.55,32,16,128,1024,10,10,100,400
arxiv_2023_run85y786ax_GAE,36.32,54.16,79.4,99.58,100.0,100.0,49.31,36.32,54.16,79.4,99.58,100.0,100.0,77.64,99.17,70.55,32,32,32,1024,10,5,100,400
Best,48.48,78.44,98.17,100.0,100.0,100.0,64.83,48.48,78.44,98.17,100.0,100.0,100.0,82.36,99.48,81.4,32,32,128,1024,10,10,100,400
