Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs,train_time,test_time,params
arxiv_2023_runxcnc51iu_GAE,0.0,16.78,39.66,54.21,76.01,89.35,13.43,0.0,16.78,39.66,54.21,76.01,89.35,95.6,96.04,92.04,0.01,1024,32,32,10000,0.8808672428131104,0.9301426410675048,10688
arxiv_2023_run2n5fqbki_GAE,11.41,16.78,42.34,60.45,87.02,89.4,22.53,11.41,16.78,42.34,60.45,87.02,89.4,95.84,96.39,92.22,0.01,1024,32,64,10000,1.0456581115722656,1.079230785369873,21344
arxiv_2023_runvcu1ccfy_GAE,11.92,22.52,42.34,61.11,85.6,89.35,21.07,11.92,22.52,42.34,61.11,85.6,89.35,95.84,96.39,92.17,0.01,1024,32,128,10000,1.0285882949829102,1.097209930419922,42656
arxiv_2023_runnzsgwhot_GAE,12.78,23.48,37.17,46.1,76.32,89.35,22.75,12.78,23.48,37.17,46.1,76.32,89.35,95.45,96.1,92.09,0.01,1024,32,32,10000,0.9357967376708984,0.969355583190918,10688
arxiv_2023_runomcg2sw4_GAE,11.05,26.22,43.15,63.54,86.97,89.45,22.3,11.05,26.22,43.15,63.54,86.97,89.45,95.79,96.38,92.22,0.01,1024,32,64,10000,1.006260633468628,1.0474894046783447,21344
arxiv_2023_run93dkbp02_GAE,11.82,24.65,45.94,67.49,87.42,89.66,22.23,11.82,24.65,45.94,67.49,87.42,89.66,97.11,97.15,92.17,0.01,1024,64,128,10000,1.0782084465026855,1.097038507461548,46784
arxiv_2023_run2dbldlgg_GAE,11.41,26.22,42.29,60.45,86.87,89.45,22.63,11.41,26.22,42.29,60.45,86.87,89.45,95.92,96.39,92.09,0.01,1024,32,64,10000,1.0135540962219238,1.0301284790039062,21344
arxiv_2023_run63d9endq_GAE,11.05,26.22,43.15,63.54,86.97,89.35,22.3,11.05,26.22,43.15,63.54,86.97,89.35,95.79,96.38,92.17,0.01,1024,32,128,10000,0.9996259212493896,1.067537784576416,42656
arxiv_2023_runxg33zkgz_GAE,17.95,24.65,46.55,66.63,87.02,89.96,26.2,17.95,24.65,46.55,66.63,87.02,89.96,97.11,97.15,92.27,0.01,1024,64,256,10000,1.2792718410491943,1.3229057788848877,93504
arxiv_2023_runwp80l5gy_GAE,11.41,24.14,42.29,60.45,86.87,89.45,22.63,11.41,24.14,42.29,60.45,86.87,89.45,95.72,96.27,92.09,0.01,1024,32,128,10000,0.938791275024414,0.9660260677337646,42656
arxiv_2023_runuyeylyni_GAE,11.05,26.22,46.91,71.6,87.07,89.55,22.3,11.05,26.22,46.91,71.6,87.07,89.55,96.72,97.2,91.99,0.01,1024,32,256,10000,1.3887007236480713,1.4466571807861328,85280
arxiv_2023_runj9qw1vik_GAE,17.95,24.65,46.55,66.63,87.02,89.96,26.2,17.95,24.65,46.55,66.63,87.02,89.96,97.11,97.15,92.27,0.01,1024,128,32,10000,0.8723454475402832,0.9101788997650146,13856
arxiv_2023_runfj0dbsnf_GAE,11.41,26.06,55.83,73.28,87.98,90.37,22.63,11.41,26.06,55.83,73.28,87.98,90.37,97.19,97.61,91.58,0.01,1024,32,256,10000,1.1951472759246826,1.2442028522491455,85280
arxiv_2023_runnnriike2_GAE,11.05,26.22,46.91,71.6,87.07,89.55,22.3,11.05,26.22,46.91,71.6,87.07,89.55,96.72,97.2,91.99,0.01,1024,64,32,10000,0.971388816833496,1.0113346576690674,11744
arxiv_2023_runf147yex6_GAE,17.95,24.65,46.55,66.63,87.02,89.96,26.2,17.95,24.65,46.55,66.63,87.02,89.96,97.11,97.15,92.27,0.01,1024,128,64,10000,1.0227975845336914,1.035447120666504,27584
arxiv_2023_runaj897cin_GAE,11.41,26.06,55.83,73.28,87.98,90.37,22.63,11.41,26.06,55.83,73.28,87.98,90.37,97.19,97.61,91.58,0.01,1024,64,32,10000,1.03210186958313,1.0626239776611328,11744
arxiv_2023_run0e7zg7xo_GAE,11.05,26.22,46.91,71.6,87.07,89.55,22.3,11.05,26.22,46.91,71.6,87.07,89.55,96.72,97.2,91.99,0.01,1024,64,64,10000,0.9301352500915528,0.9545187950134276,23424
arxiv_2023_runduauj1o9_GAE,11.41,26.06,55.83,73.28,87.98,90.37,22.63,11.41,26.06,55.83,73.28,87.98,90.37,97.19,97.61,91.58,0.01,1024,64,64,10000,0.958371639251709,1.016120433807373,23424
arxiv_2023_runbclb1br4_GAE,13.34,26.57,46.55,66.63,87.02,89.96,22.67,13.34,26.57,46.55,66.63,87.02,89.96,97.11,97.15,92.27,0.01,1024,128,128,10000,1.1380627155303955,1.191319704055786,55040
arxiv_2023_run4ie6484k_GAE,11.05,26.22,46.91,71.6,87.07,89.55,22.3,11.05,26.22,46.91,71.6,87.07,89.55,96.91,97.13,91.99,0.01,1024,64,128,10000,0.9591529369354248,1.0074243545532229,46784
arxiv_2023_runn0gc3913_GAE,11.41,26.06,55.83,73.28,87.98,90.37,22.63,11.41,26.06,55.83,73.28,87.98,90.37,97.19,97.61,92.09,0.01,1024,64,128,10000,1.012202262878418,1.0561819076538086,46784
arxiv_2023_runkgedee5u_GAE,13.34,25.35,47.26,67.49,88.44,89.91,22.67,13.34,25.35,47.26,67.49,88.44,89.91,97.11,97.15,92.32,0.01,1024,128,256,10000,1.2066450119018557,1.238947868347168,109952
arxiv_2023_runvr7h5rmm_GAE,11.05,26.72,52.79,71.6,87.27,89.91,24.42,11.05,26.72,52.79,71.6,87.27,89.91,96.91,97.13,92.34,0.01,1024,64,256,10000,1.4039103984832764,1.4630470275878906,93504
arxiv_2023_run5gxo3tkf_GAE,14.76,26.52,55.83,66.73,87.98,89.86,25.41,14.76,26.52,55.83,66.73,87.98,89.86,97.19,97.61,92.42,0.01,1024,64,256,10000,1.2974400520324707,1.35943341255188,93504
arxiv_2023_runuwh8g7t9_GAE,13.34,25.35,47.26,67.49,88.44,89.91,22.67,13.34,25.35,47.26,67.49,88.44,89.91,97.11,97.15,92.32,0.01,1024,256,32,10000,1.1572587490081787,1.1698617935180664,18080
arxiv_2023_runufea2eu8_GAE,11.05,26.72,52.79,71.6,87.27,89.91,24.42,11.05,26.72,52.79,71.6,87.27,89.91,96.91,97.13,92.34,0.01,1024,128,32,10000,1.0559778213500977,1.0999813079833984,13856
arxiv_2023_run2ehngufx_GAE,12.07,26.52,55.83,66.73,87.98,89.86,25.41,12.07,26.52,55.83,66.73,87.98,89.86,97.19,97.61,92.42,0.01,1024,128,32,10000,0.9747636318206788,1.0124270915985107,13856
arxiv_2023_runuk0d3xrk_GAE,13.34,25.35,47.26,67.49,87.83,89.91,22.67,13.34,25.35,47.26,67.49,87.83,89.91,97.11,97.15,92.32,0.01,1024,256,64,10000,1.0054454803466797,1.0675809383392334,35904
arxiv_2023_runx88r4955_GAE,13.34,25.35,47.26,67.49,87.83,89.91,22.67,13.34,25.35,47.26,67.49,87.83,89.91,97.11,97.15,92.42,0.01,1024,256,128,10000,1.2770447731018066,1.3061082363128662,71552
