Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,base_lr,batch_size,epochs
arxiv_2023_run333jtviv_GraphSage,0.05,0.05,0.05,9.18,10.14,20.13,2.19,0.05,0.05,9.18,9.18,10.85,32.15,88.84,84.95,70.46,64,64,0.015,1024,400
arxiv_2023_rune0r1a75s_GraphSage,0.05,0.05,0.05,9.18,10.14,20.13,2.19,0.05,0.05,9.18,9.18,10.85,32.15,88.84,84.95,70.46,64,64,0.015,2048,400
arxiv_2023_runvm5uh1ok_GraphSage,0.05,5.43,17.9,17.9,53.25,65.92,12.17,0.05,17.9,17.9,41.94,53.25,65.92,92.12,91.78,70.46,64,64,0.015,4096,400
arxiv_2023_run9aopkz9i_GraphSage,3.25,5.43,17.9,17.9,53.25,65.92,8.96,3.25,13.89,17.9,41.94,53.25,65.92,92.15,91.78,70.46,64,64,0.015,8192,400
arxiv_2023_runi70avsdf_GraphSage,3.25,5.43,17.9,17.9,53.25,65.92,8.96,3.25,13.89,17.9,41.94,53.25,65.92,92.15,91.78,70.46,64,64,0.1,1024,400
arxiv_2023_runt05m3aqm_GraphSage,3.25,5.43,17.9,17.9,53.25,65.92,8.96,3.25,13.89,17.9,41.94,53.25,65.92,92.15,91.78,70.46,64,64,0.1,2048,400
arxiv_2023_run41psh7ho_GraphSage,3.55,3.55,17.9,17.9,52.54,65.92,10.21,3.55,13.89,17.9,41.94,53.25,71.15,92.15,91.78,70.46,64,64,0.1,4096,400
arxiv_2023_runebibvfny_GraphSage,3.55,3.55,17.9,17.9,52.54,65.92,10.21,3.55,13.89,17.9,41.94,53.25,71.15,92.15,91.78,70.46,64,64,0.1,8192,400
arxiv_2023_runtuv50uxi_GraphSage,3.55,3.55,17.9,17.9,52.54,65.92,10.21,3.55,13.89,17.9,41.94,53.25,71.15,92.15,91.78,70.46,64,64,0.01,1024,400
arxiv_2023_run1bj3xvz9_GraphSage,3.55,3.55,17.9,17.9,52.54,65.92,10.21,3.55,13.89,17.9,41.94,53.25,71.15,92.15,91.78,70.46,64,64,0.01,2048,400
arxiv_2023_runm6ptitig_GraphSage,0.05,3.55,17.9,17.9,52.54,65.92,10.21,0.05,13.89,17.9,41.94,53.25,71.15,92.15,91.78,70.46,64,64,0.01,4096,400
arxiv_2023_run22m6j16p_GraphSage,0.05,3.55,17.7,47.11,52.54,61.46,10.21,0.05,13.89,47.11,47.11,61.46,71.15,93.44,93.05,70.46,64,64,0.01,8192,400
arxiv_2023_runqgrkf4z6_GraphSage,0.66,1.47,13.74,19.12,44.83,73.73,7.1,0.66,1.47,11.41,10.09,44.83,74.09,95.8,94.39,80.35,32,32,0.015,1024,1000
arxiv_2023_runqi2jrfet_GraphSage,1.01,2.48,16.94,30.98,48.43,78.85,9.64,1.01,5.68,11.41,21.15,50.0,79.46,96.19,95.15,80.86,32,64,0.015,1024,1000
arxiv_2023_runedw3112k_GraphSage,1.01,2.48,16.94,30.98,48.43,78.85,9.64,1.01,5.68,11.41,21.15,50.0,79.46,96.19,95.15,80.86,32,128,0.015,1024,1000
arxiv_2023_run3izh0ojx_GraphSage,2.03,2.48,16.94,30.32,48.43,78.85,9.64,2.03,6.03,11.41,30.32,50.0,79.46,96.19,95.15,80.86,32,256,0.015,1024,1000
Best,3.55,5.43,17.9,47.11,53.25,78.85,12.17,3.55,17.9,47.11,47.11,61.46,79.46,96.19,95.15,80.86,64,256,0.1,8192,1000
