Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,base_lr,batch_size,epochs
arxiv_2023_runoje4qwne_VGAE,13.79,23.33,34.23,59.03,80.88,89.71,23.23,13.79,23.33,34.23,59.03,80.88,89.71,95.22,95.51,92.39,64,64,0.1,1024,400
arxiv_2023_run1p5cnlrk_VGAE,13.79,23.33,34.23,59.03,80.88,89.71,23.23,13.79,23.33,34.23,59.03,80.88,89.71,95.58,95.8,92.39,64,64,0.1,2048,400
arxiv_2023_run4eaddufi_VGAE,13.79,23.33,34.23,59.03,80.88,89.71,23.23,13.79,23.33,34.23,59.03,80.88,89.71,95.58,95.8,92.39,64,64,0.1,4096,400
arxiv_2023_runsu4w8dzn_VGAE,13.79,23.33,34.23,59.03,80.88,89.71,23.23,13.79,23.33,34.23,59.03,80.88,89.71,95.58,95.8,92.39,64,64,0.1,8192,400
arxiv_2023_runaj0zeuvm_VGAE,13.59,20.69,29.36,45.99,75.61,87.12,19.18,13.59,20.69,29.36,45.99,75.61,87.12,96.08,96.07,91.18,32,32,0.1,1024,400
arxiv_2023_run5cem27f2_VGAE,12.02,25.05,39.35,58.06,87.22,90.06,22.34,12.02,25.05,39.35,58.06,87.22,90.06,97.26,97.22,91.02,32,32,0.1,1024,10000
arxiv_2023_runfi5kb2wh_VGAE,13.84,28.9,42.85,62.22,87.17,90.31,26.24,13.84,28.9,42.85,62.22,87.17,90.31,97.5,97.56,91.61,32,64,0.1,1024,10000
arxiv_2023_run7ow3x16o_VGAE,11.56,36.92,53.6,74.95,89.15,89.71,34.1,11.56,36.92,53.6,74.95,89.15,89.71,97.5,97.56,92.83,32,256,0.1,1024,10000
arxiv_2023_runtwxif9nw_VGAE,11.56,36.92,53.6,74.95,89.15,89.71,34.1,11.56,36.92,53.6,74.95,89.15,89.71,97.5,97.56,92.83,64,32,0.1,1024,10000
arxiv_2023_runeuntai8p_VGAE,11.56,36.92,53.6,74.95,89.15,89.71,34.1,11.56,36.92,53.6,74.95,89.15,89.71,97.5,97.56,92.83,64,64,0.1,1024,10000
arxiv_2023_runi5k4gzl6_VGAE,13.79,35.14,53.6,74.95,89.15,89.71,36.7,13.79,35.14,53.6,74.95,89.15,89.71,97.5,97.56,68.0,64,256,0.1,1024,10000
Best,13.84,36.92,53.6,74.95,89.15,90.31,36.7,13.84,36.92,53.6,74.95,89.15,90.31,97.5,97.56,92.83,64,256,0.1,8192,10000
