Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
arxiv_2023_runor0zt2xs_GAT_Variant,5.02,10.6,20.44,35.19,52.54,61.41,11.12,5.02,10.6,20.44,35.19,52.54,61.41,88.76,89.53,78.32,32,32,4,0.1,0,1,0.015,3,2,64.0,1,3,0.1,inner,2000,1.6818251609802246,1.7330074310302734,9696
arxiv_2023_runor0zt2xs_GAT_Variant,5.02,10.6,20.44,35.19,59.23,68.36,11.12,5.02,10.6,20.44,35.19,59.23,68.36,92.46,92.71,84.58,32,32,4,0.1,0,1,0.015,3,2,64.0,1,3,0.1,dot,2000,1.679043531417847,1.7296974658966064,16033
arxiv_2023_runor0zt2xs_GAT_Variant,5.02,17.09,43.97,61.87,73.63,85.7,11.12,5.02,17.09,43.97,61.87,73.63,85.7,96.85,97.01,84.58,32,32,4,0.1,0,2,0.015,3,2,64.0,1,3,0.1,inner,2000,1.1046230792999268,1.1656641960144043,10816
arxiv_2023_runor0zt2xs_GAT_Variant,5.02,54.31,76.37,86.76,96.75,98.07,43.07,5.02,54.31,76.37,86.76,96.75,98.07,99.23,99.25,96.91,32,32,4,0.1,0,2,0.015,3,2,64.0,1,3,0.1,dot,2000,2.115696430206299,2.184046506881714,17153
arxiv_2023_runor0zt2xs_GAT_Variant,2.03,11.36,76.37,78.9,96.75,98.07,14.5,2.03,11.36,76.37,78.9,96.75,98.07,99.23,99.25,96.91,32,32,4,0.1,0,3,0.015,3,2,64.0,1,3,0.1,inner,2000,2.1638011932373047,2.227069616317749,11936
arxiv_2023_runor0zt2xs_GAT_Variant,25.35,51.57,80.53,89.45,97.36,98.07,39.33,25.35,51.57,80.53,89.45,97.36,98.07,99.23,99.25,97.49,32,32,4,0.1,0,3,0.015,3,2,64.0,1,3,0.1,dot,2000,2.19840931892395,2.261016368865967,18273
arxiv_2023_runzsfxmxe2_GAT_Variant,4.26,9.48,20.89,33.77,52.48,61.87,10.38,4.26,9.48,20.89,33.77,52.48,61.87,89.2,89.83,79.64,32,32,4,0.1,0,1,0.015,3,2,64.0,1,3,0.1,inner,2000,12.683671951293944,12.775201559066772,9696
arxiv_2023_runzsfxmxe2_GAT_Variant,4.26,9.48,20.89,33.77,58.67,68.41,10.38,4.26,9.48,20.89,33.77,58.67,68.41,91.97,92.1,84.05,32,32,4,0.1,0,1,0.015,3,2,64.0,1,3,0.1,dot,2000,13.179863691329956,13.263183116912842,16033
Best,25.35,54.31,80.53,89.45,97.36,98.07,43.07,25.35,54.31,80.53,89.45,97.36,98.07,99.23,99.25,97.49,32,32,4,0.1,0,3,0.015,3,2,64.0,1,3,0.1,inner,2000,13.179863691329956,13.263183116912842,18273
Tune,7.76,17.04,25.56,41.08,58.62,64.45,13.56,7.76,17.04,25.56,41.08,58.62,64.45,90.2,91.01,76.78,16,32,4,0.1,0,1,0.015,1,2,64.0,1,1,0.1,inner,2000,1.1157031059265137,1.1561000347137451,4848
Tune,7.76,17.04,25.56,41.08,58.62,64.45,13.56,7.76,17.04,25.56,41.08,58.62,64.45,90.2,91.01,76.78,16,32,4,0.1,0,1,0.015,1,2,64.0,1,1,0.1,inner,2000,0.9894769191741944,1.0097014904022217,4848
Tune,7.51,17.04,34.28,42.85,60.34,73.12,13.24,7.51,17.04,34.28,42.85,60.34,73.12,94.57,94.72,87.2,16,32,4,0.1,0,1,0.015,1,2,64.0,1,1,0.1,dot,2000,1.071524143218994,1.0991036891937256,4865
Tune,14.0,13.18,31.49,51.47,60.09,72.82,13.61,14.0,13.18,31.49,51.47,60.09,72.82,94.61,94.76,87.04,16,32,4,0.1,0,1,0.015,1,2,64.0,1,1,0.1,dot,2000,1.2284491062164309,1.2739996910095217,4865
Tune,8.57,15.92,34.28,42.85,60.34,73.12,13.24,8.57,15.92,34.28,42.85,60.34,73.12,94.57,94.72,87.2,16,32,4,0.1,0,1,0.015,1,2,64.0,1,2,0.1,inner,2000,0.9543707370758056,0.977109432220459,4848
Tune,8.57,15.92,31.49,51.47,60.09,72.82,13.61,8.57,15.92,31.49,51.47,60.09,72.82,94.61,94.76,87.04,16,32,4,0.1,0,1,0.015,1,2,64.0,1,2,0.1,inner,2000,0.902066707611084,0.9315352439880372,4848
Tune,15.01,20.18,46.86,61.31,82.05,94.32,21.47,15.01,20.18,46.86,61.31,82.05,94.32,98.41,98.07,94.57,16,32,4,0.1,0,1,0.015,1,2,64.0,1,2,0.1,dot,2000,1.0936827659606934,1.124528884887695,6001
Tune,8.77,22.21,51.22,66.18,83.62,91.33,18.51,8.77,22.21,51.22,66.18,83.62,91.33,98.27,97.93,94.22,16,32,4,0.1,0,1,0.015,1,2,64.0,1,2,0.1,dot,2000,0.9027411937713624,0.916205644607544,6001
Tune,15.01,20.18,46.86,61.31,82.05,94.32,21.47,15.01,20.18,46.86,61.31,82.05,94.32,98.41,98.07,94.57,16,32,4,0.1,0,1,0.015,1,2,64.0,1,3,0.1,inner,2000,1.216249942779541,1.2302703857421875,4848
Tune,8.77,22.21,51.22,66.18,83.62,91.33,18.51,8.77,22.21,51.22,66.18,83.62,91.33,98.27,97.93,94.22,16,32,4,0.1,0,1,0.015,1,2,64.0,1,3,0.1,inner,2000,1.201521396636963,1.233232498168945,4848
Tune,15.01,20.18,46.86,61.31,82.05,94.32,21.47,15.01,20.18,46.86,61.31,82.05,94.32,98.41,98.07,100.0,16,32,4,0.1,0,1,0.015,1,2,64.0,1,3,0.1,dot,2000,1.0049538612365725,1.017446994781494,10161
Tune,8.77,18.2,39.6,72.11,88.95,95.89,18.51,8.77,18.2,39.6,72.11,88.95,95.89,98.74,98.56,95.46,16,32,4,0.1,0,1,0.015,1,2,64.0,1,3,0.1,dot,2000,1.3255527019500732,1.3531877994537354,10161
Tune,15.01,20.18,46.86,61.31,82.05,94.32,21.47,15.01,20.18,46.86,61.31,82.05,94.32,98.41,98.07,100.0,16,32,4,0.1,0,1,0.015,1,2,32.0,1,1,0.1,inner,2000,0.849785566329956,0.8809566497802734,4848
Tune,8.77,18.2,39.6,72.11,88.95,95.89,18.51,8.77,18.2,39.6,72.11,88.95,95.89,98.74,98.56,95.46,16,32,4,0.1,0,1,0.015,1,2,32.0,1,1,0.1,inner,2000,1.0902516841888428,1.132361888885498,4848
Tune,15.01,15.06,46.86,61.31,82.05,94.32,21.47,15.01,15.06,46.86,61.31,82.05,94.32,98.41,98.07,100.0,16,32,4,0.1,0,1,0.015,1,2,32.0,1,1,0.1,dot,2000,1.358335256576538,1.416935682296753,4865
Tune,8.77,18.2,39.6,72.11,88.95,95.89,18.51,8.77,18.2,39.6,72.11,88.95,95.89,98.74,98.56,95.46,16,32,4,0.1,0,1,0.015,1,2,32.0,1,1,0.1,dot,2000,1.1825096607208252,1.2119746208190918,4865
Tune,15.01,15.06,46.86,61.31,82.05,94.32,21.47,15.01,15.06,46.86,61.31,82.05,94.32,98.41,98.07,100.0,16,32,4,0.1,0,1,0.015,1,2,32.0,1,2,0.1,inner,2000,1.1957900524139404,1.2232346534729004,4848
Tune,8.77,18.2,39.6,72.11,88.95,95.89,18.51,8.77,18.2,39.6,72.11,88.95,95.89,98.74,98.56,95.46,16,32,4,0.1,0,1,0.015,1,2,32.0,1,2,0.1,inner,2000,1.2556321620941162,1.2757689952850342,4848
Tune,15.01,15.06,46.86,61.31,82.05,94.32,21.47,15.01,15.06,46.86,61.31,82.05,94.32,98.41,98.07,100.0,16,32,4,0.1,0,1,0.015,1,2,32.0,1,2,0.1,dot,2000,1.214235544204712,1.234466552734375,5425
Tune,22.92,27.18,39.6,72.11,88.95,95.89,24.77,22.92,27.18,39.6,72.11,88.95,95.89,98.74,98.56,95.46,16,32,4,0.1,0,1,0.015,1,2,32.0,1,2,0.1,dot,2000,1.1982734203338623,1.2623555660247805,5425
Tune,15.01,15.06,46.86,61.31,82.05,94.32,21.47,15.01,15.06,46.86,61.31,82.05,94.32,98.41,98.07,100.0,16,32,4,0.1,0,1,0.015,1,2,32.0,1,3,0.1,inner,2000,0.8570094108581543,0.9005143642425537,4848
Tune,22.92,27.18,39.6,72.11,88.95,95.89,24.77,22.92,27.18,39.6,72.11,88.95,95.89,98.74,98.56,95.46,16,32,4,0.1,0,1,0.015,1,2,32.0,1,3,0.1,inner,2000,1.206593036651611,1.2319316864013672,4848
Tune,15.01,34.84,51.42,66.13,82.05,94.32,17.79,15.01,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,1,2,32.0,1,3,0.1,dot,2000,1.2368340492248535,1.2879416942596436,6481
Tune,22.92,27.18,39.6,72.11,88.95,95.89,24.77,22.92,27.18,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,1,2,32.0,1,3,0.1,dot,2000,1.1462633609771729,1.1666584014892578,6481
Tune,15.01,34.84,51.42,66.13,82.05,94.32,17.79,15.01,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,1,0.1,inner,2000,1.0117976665496826,1.0238215923309326,4848
Tune,22.92,27.18,39.6,72.11,88.95,95.89,24.77,22.92,27.18,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,1,0.1,inner,2000,1.225672483444214,1.2567002773284912,4848
Tune,15.01,34.84,51.42,66.13,82.05,94.32,17.79,15.01,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,1,0.1,dot,2000,1.1593728065490725,1.1715059280395508,4865
Tune,22.92,27.18,39.6,72.11,88.95,95.89,24.77,22.92,27.18,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,1,0.1,dot,2000,1.1041936874389648,1.133676528930664,4865
Tune,15.01,34.84,51.42,66.13,82.05,94.32,17.79,15.01,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,2,0.1,inner,2000,1.171889066696167,1.2063570022583008,4848
Tune,22.92,27.18,39.6,72.11,88.95,95.89,24.77,22.92,27.18,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,2,0.1,inner,2000,1.1255345344543457,1.1365141868591309,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,2,0.1,dot,2000,1.1500575542449951,1.1632201671600342,5137
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,2,0.1,dot,2000,1.3571958541870115,1.3992578983306885,5137
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,3,0.1,inner,2000,1.1922080516815186,1.213235855102539,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,3,0.1,inner,2000,0.9542038440704346,0.9868838787078856,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,3,0.1,dot,2000,1.3281307220458984,1.3671464920043943,5409
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,3,0.1,dot,2000,1.3294470310211182,1.348677635192871,5409
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,1,0.1,inner,2000,0.8619747161865234,0.8922257423400879,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,1,0.1,inner,2000,0.9172682762145996,0.9804956912994384,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,1,0.1,dot,2000,1.1282930374145508,1.157026767730713,4865
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,1,0.1,dot,2000,1.1788511276245115,1.2206761837005615,4865
