Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
arxiv_2023_run6eu9r66k_GCN_Variant,8.77,11.36,20.84,26.93,36.05,44.17,12.06,8.77,11.36,20.84,26.93,36.05,44.17,68.1,76.44,54.87,32,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,inner,100,1.2325067520141602,1.2503643035888672,9632
arxiv_2023_run6eu9r66k_GCN_Variant,19.27,21.7,39.6,51.57,77.33,88.18,25.35,19.27,21.7,39.6,51.57,77.33,88.18,94.88,95.71,91.68,32,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,dot,100,1.3147823810577393,1.3310778141021729,15969
arxiv_2023_run6eu9r66k_GCN_Variant,19.27,30.63,38.54,53.14,77.33,88.18,17.21,19.27,30.63,38.54,53.14,77.33,88.18,94.88,95.71,91.68,32,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,inner,100,1.6278040409088137,1.6484029293060305,10688
arxiv_2023_run6eu9r66k_GCN_Variant,20.74,30.63,38.54,53.14,77.33,88.18,17.21,20.74,30.63,38.54,53.14,77.33,88.18,94.88,95.71,91.68,32,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,dot,100,1.8248870372772217,1.845008134841919,17025
arxiv_2023_run6eu9r66k_GCN_Variant,20.74,30.63,38.54,53.14,77.33,88.18,17.21,20.74,30.63,38.54,53.14,77.33,88.18,94.88,95.71,91.68,32,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,inner,100,2.124334812164306,2.146476984024048,11744
arxiv_2023_run6eu9r66k_GCN_Variant,16.08,26.06,42.44,52.99,72.01,82.86,25.43,16.08,26.06,42.44,52.99,72.01,82.86,94.88,95.71,91.68,32,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,dot,100,2.15651273727417,2.1795108318328857,18081
arxiv_2023_run6eu9r66k_GCN_Variant,16.08,26.06,42.44,52.99,72.01,82.86,25.43,16.08,26.06,42.44,52.99,72.01,82.86,94.88,95.71,91.68,32,64,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,inner,100,1.1687698364257812,1.1949338912963867,9632
arxiv_2023_run6eu9r66k_GCN_Variant,16.08,26.06,42.44,52.99,72.01,82.86,25.43,16.08,26.06,42.44,52.99,72.01,82.86,95.02,95.74,91.68,32,64,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,dot,100,1.31191086769104,1.3299357891082764,15969
arxiv_2023_run6eu9r66k_GCN_Variant,0.0,26.06,42.44,52.99,72.01,82.86,17.05,0.0,26.06,42.44,52.99,72.01,82.86,95.02,95.74,91.68,32,64,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,inner,100,2.0855014324188232,2.108161449432373,21344
arxiv_2023_run6eu9r66k_GCN_Variant,20.79,29.61,40.37,52.99,72.01,88.54,28.33,20.79,29.61,40.37,52.99,72.01,88.54,95.02,95.74,91.68,32,64,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,dot,100,2.2192916870117188,2.242882251739502,27681
arxiv_2023_run6eu9r66k_GCN_Variant,20.79,29.61,40.37,52.99,72.01,88.54,28.33,20.79,29.61,40.37,52.99,72.01,88.54,95.02,95.74,91.68,32,64,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,inner,100,3.1465468406677246,3.179605484008789,25504
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,52.99,72.01,88.54,27.12,20.03,29.61,40.37,52.99,72.01,88.54,95.02,95.74,91.68,32,64,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,dot,100,3.1610939502716064,3.197190046310425,31841
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,52.99,72.01,88.54,27.12,20.03,29.61,40.37,52.99,72.01,88.54,95.02,95.74,91.68,64,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,inner,100,1.6299338340759275,1.6491036415100098,19264
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,52.99,72.01,88.54,27.12,20.03,29.61,40.37,52.99,72.01,88.54,95.02,95.74,91.68,64,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,dot,100,1.7639391422271729,1.7856614589691162,27649
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,52.99,72.01,88.54,27.12,20.03,29.61,40.37,52.99,72.01,88.54,95.02,95.74,91.68,64,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,inner,100,2.0225090980529785,2.045841217041016,11744
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,52.99,72.01,89.81,27.12,20.03,29.61,40.37,52.99,72.01,89.81,95.02,95.46,92.44,64,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,dot,100,2.1236345767974854,2.146186351776123,20129
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,52.99,72.01,89.81,27.12,20.03,29.61,40.37,52.99,72.01,89.81,95.02,95.46,92.44,64,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,inner,100,2.334611415863037,2.359571933746338,12800
arxiv_2023_runcj52j2qj_GCN_Variant,9.63,16.84,25.76,31.69,38.08,46.6,14.4,9.63,16.84,25.76,31.69,38.08,46.6,83.69,85.38,73.28,32,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,1.2949707508087158,1.3427066802978516,9632
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,82.1,27.12,20.03,29.61,40.37,61.71,72.01,82.1,95.02,95.46,92.44,64,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,dot,100,2.5073392391204834,2.532764434814453,21185
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,82.1,27.12,20.03,29.61,40.37,61.71,72.01,82.1,95.02,95.46,92.44,64,64,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,inner,100,1.5598559379577637,1.5760715007781982,19264
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,82.1,27.12,20.03,29.61,40.37,61.71,72.01,82.1,95.02,95.46,92.44,64,64,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,dot,100,1.675590991973877,1.6942949295043943,27649
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,82.1,27.12,20.03,29.61,40.37,61.71,72.01,82.1,95.02,95.46,92.44,64,64,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,inner,100,2.213379144668579,2.23476243019104,23424
arxiv_2023_run6eu9r66k_GCN_Variant,20.03,29.61,40.37,61.71,72.01,89.81,27.12,20.03,29.61,40.37,61.71,72.01,89.81,95.02,96.19,92.44,64,64,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,dot,100,2.4891674518585205,2.512449264526367,31809
