Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
arxiv_2023_run3kpd3gnr_SAGE_Variant,4.06,18.81,46.7,68.76,95.18,98.12,14.94,4.06,18.81,46.7,68.76,95.18,98.12,97.97,98.24,96.86,128,64,0.0089,3,2,64,1,3,0.1,inner,2000,1.7090208530426023,1.771087884902954,63232
arxiv_2023_run3kpd3gnr_SAGE_Variant,12.12,47.67,73.38,84.69,97.72,98.17,41.59,12.12,47.67,73.38,84.69,97.72,98.17,99.02,99.07,97.54,128,64,0.0089,3,2,64,1,3,0.1,dot,2000,1.2477545738220217,1.3035712242126465,75713
arxiv_2023_run3kpd3gnr_SAGE_Variant,12.12,47.67,73.38,84.69,97.72,98.17,41.59,12.12,47.67,73.38,84.69,97.72,98.17,99.02,99.07,97.54,128,128,0.0089,3,2,64,1,3,0.1,inner,2000,1.7596540451049805,1.8509306907653809,142720
arxiv_2023_run3kpd3gnr_SAGE_Variant,8.92,47.67,73.38,84.69,97.72,98.17,41.59,8.92,47.67,73.38,84.69,97.72,98.17,99.02,99.07,97.54,128,128,0.0089,3,2,64,1,3,0.1,dot,2000,1.9281034469604488,1.9922125339508057,155201
arxiv_2023_run3kpd3gnr_SAGE_Variant,8.92,47.67,73.38,84.69,97.72,98.17,41.59,8.92,47.67,73.38,84.69,97.72,98.17,99.02,99.07,97.54,128,256,0.0089,3,2,64,1,3,0.1,inner,2000,2.6660361289978027,2.7252345085144043,350848
arxiv_2023_run3kpd3gnr_SAGE_Variant,8.92,47.67,73.38,84.69,97.72,98.17,41.59,8.92,47.67,73.38,84.69,97.72,98.17,99.02,99.07,97.54,128,256,0.0089,3,2,64,1,3,0.1,dot,2000,2.5141141414642334,2.586122274398804,363329
arxiv_2023_runbdfspztz_SAGE_Variant,3.25,10.8,54.21,63.49,93.91,98.48,12.02,3.25,10.8,54.21,63.49,93.91,98.48,98.14,98.42,96.43,128,64,0.0089,3,2,64,1,3,0.1,inner,2000,16.55018424987793,16.73297643661499,63232
arxiv_2023_runbdfspztz_SAGE_Variant,1.98,4.67,35.34,74.54,94.02,97.97,11.95,1.98,4.67,35.34,74.54,94.02,97.97,98.83,97.84,96.55,128,64,0.0089,3,2,64,1,3,0.1,dot,2000,19.37175226211548,19.64537739753723,75713
arxiv_2023_runbdfspztz_SAGE_Variant,1.98,4.67,46.96,64.66,94.02,97.97,11.95,1.98,4.67,46.96,64.66,94.02,97.97,98.83,97.84,96.65,128,128,0.0089,3,2,64,1,3,0.1,inner,2000,23.141406297683716,23.292149782180786,142720
Best,12.12,47.67,73.38,84.69,97.72,98.48,41.59,12.12,47.67,73.38,84.69,97.72,98.48,99.02,99.07,97.54,128,256,0.0089,3,2,64,1,3,0.1,inner,2000,23.141406297683716,23.292149782180786,363329
