Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr
cora_runrzd89h6p_GAE,45.76,73.43,90.96,95.2,99.08,99.63,64.58,45.76,73.43,90.96,95.2,99.08,99.63,99.32,99.3,88.1,160,160,8192,0.01
cora_runahfhqpxn_GAE,45.76,73.43,90.96,95.2,99.08,99.63,64.58,45.76,73.43,90.96,95.2,99.08,99.63,99.32,99.3,88.1,160,160,8192,0.04
cora_run8hdtvf5f_GAE,51.48,73.43,90.04,95.2,97.97,99.63,63.35,51.48,73.43,90.04,95.2,97.97,99.63,99.18,99.16,91.14,160,160,16384,0.01
cora_runni4sx33u_GAE,51.48,73.43,90.04,95.2,97.97,99.63,63.35,51.48,73.43,90.04,95.2,97.97,99.63,99.18,99.16,91.14,160,160,16384,0.04
cora_runcg4yohuo_GAE,51.48,73.43,90.04,95.2,97.97,99.63,63.35,51.48,73.43,90.04,95.2,97.97,99.63,99.18,99.16,91.14,160,176,8192,0.01
cora_rund2la31pt_GAE,51.48,73.43,90.04,95.2,97.97,99.63,63.35,51.48,73.43,90.04,95.2,97.97,99.63,99.18,99.16,91.14,160,176,8192,0.04
cora_runwow3krsh_GAE,46.68,73.43,90.04,95.2,97.97,99.63,63.35,46.68,73.43,90.04,95.2,97.97,99.63,99.18,99.16,91.14,160,176,16384,0.01
cora_runl749ijt1_GAE,46.68,73.43,90.04,95.2,97.97,99.63,63.35,46.68,73.43,90.04,95.2,97.97,99.63,99.18,99.16,91.14,160,176,16384,0.04
cora_rundd0hq3o6_GAE,34.13,73.43,90.77,95.2,97.97,99.26,51.92,34.13,73.43,90.77,95.2,97.97,99.26,99.18,99.16,91.14,176,160,8192,0.01
cora_runk3beg42o_GAE,34.13,73.43,90.77,95.2,97.97,99.26,51.92,34.13,73.43,90.77,95.2,97.97,99.26,99.18,99.16,91.14,176,160,8192,0.04
cora_runr4nst8uf_GAE,34.13,73.43,90.77,95.2,97.97,99.26,51.92,34.13,73.43,90.77,95.2,97.97,99.26,99.18,99.16,91.14,176,160,16384,0.01
cora_runo2j0e3tw_GAE,34.13,73.43,90.77,95.2,97.97,99.26,51.92,34.13,73.43,90.77,95.2,97.97,99.26,99.18,99.16,91.14,176,160,16384,0.04
cora_runx7f1dmnf_GAE,34.13,73.43,90.77,95.2,97.97,99.26,51.92,34.13,73.43,90.77,95.2,97.97,99.26,99.18,99.16,91.14,176,176,8192,0.01
