Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runskhm0umr_GAT_Variant_hyper2bd1sra1,28.78,43.54,70.11,76.38,91.14,96.68,41.23,28.78,43.54,70.11,76.38,91.14,96.68,96.78,96.76,80.44,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,inner,400,0.3455657958984375,0.3546419143676758,22976
cora_runrq6wkojf_GAT_Variant_hyperlhj0le2f,28.78,43.54,70.11,76.38,91.14,96.68,41.23,28.78,43.54,70.11,76.38,91.14,96.68,96.78,96.76,80.44,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,inner,400,0.3418257236480713,0.3511474132537842,22976
cora_runzevdmzyb_GAT_Variant_hyperj2ayz73d,28.78,43.54,70.11,76.38,91.14,96.68,41.23,28.78,43.54,70.11,76.38,91.14,96.68,96.78,96.76,80.44,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,inner,400,0.3556506633758545,0.3651647567749023,22976
cora_run5mpwg42n_GAT_Variant_hyper1kv8mk9q,28.78,43.54,70.11,76.38,91.14,96.68,41.23,28.78,43.54,70.11,76.38,91.14,96.68,96.78,96.76,80.44,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,inner,400,0.3535597324371338,0.3627352714538574,22976
cora_run5mpwg42n_GAT_Variant_hyperynv1yg1p,35.61,23.43,77.49,93.91,97.6,99.26,47.95,35.61,23.43,77.49,93.91,97.6,99.26,98.66,98.53,94.65,16,32,4,0.1,0,1,0.015,1,2,64,1,1,0.1,dot,400,0.4412324428558349,0.4518423080444336,22993
cora_run5mpwg42n_GAT_Variant_hyper29o8mb7j,12.73,49.82,67.71,77.68,92.07,97.23,33.64,12.73,49.82,67.71,77.68,92.07,97.23,97.19,96.98,82.93,16,32,4,0.1,0,1,0.015,1,2,64,1,2,0.1,inner,400,0.3397188186645508,0.3487145900726318,22976
cora_run5mpwg42n_GAT_Variant_hyperq9l3xnob,29.52,61.99,89.67,96.86,98.34,99.08,38.76,29.52,61.99,89.67,96.86,98.34,99.08,98.96,98.73,94.93,16,32,4,0.1,0,1,0.015,1,2,64,1,2,0.1,dot,400,0.4191157817840576,0.429311990737915,24129
cora_run5mpwg42n_GAT_Variant_hyperl41jdijy,30.07,35.61,66.61,79.34,92.07,97.23,45.04,30.07,35.61,66.61,79.34,92.07,97.23,97.03,97.06,82.56,16,32,4,0.1,0,1,0.015,1,2,64,1,3,0.1,inner,400,0.3484442234039306,0.3592231273651123,22976
cora_run5mpwg42n_GAT_Variant_hyperole7v3q0,91.33,89.67,95.94,96.49,97.6,98.71,92.36,91.33,89.67,95.94,96.49,97.6,98.71,99.42,99.5,95.66,16,32,4,0.1,0,1,0.015,1,2,64,1,3,0.1,dot,400,0.4406921863555908,0.4531209468841553,28289
cora_run5mpwg42n_GAT_Variant_hyperwvqqyjy9,37.27,52.03,66.79,78.78,93.17,97.42,46.88,37.27,52.03,66.79,78.78,93.17,97.42,97.34,97.29,83.03,16,32,4,0.1,0,1,0.015,1,2,32,1,1,0.1,inner,400,0.3530611991882324,0.3624129295349121,22976
cora_run5mpwg42n_GAT_Variant_hyperm6x8z4rt,18.08,20.48,63.84,85.42,96.86,98.52,33.33,18.08,20.48,63.84,85.42,96.86,98.52,97.98,97.68,93.54,16,32,4,0.1,0,1,0.015,1,2,32,1,1,0.1,dot,400,0.4064290523529053,0.4161956310272217,22993
cora_run5mpwg42n_GAT_Variant_hypervkmuwtcj,41.33,60.15,69.93,79.89,94.65,97.79,51.8,41.33,60.15,69.93,79.89,94.65,97.79,97.64,97.66,83.21,16,32,4,0.1,0,1,0.015,1,2,32,1,2,0.1,inner,400,0.3567898273468017,0.3658380508422851,22976
cora_run5mpwg42n_GAT_Variant_hyperokac0zm3,34.69,71.4,92.8,95.94,98.52,99.45,55.15,34.69,71.4,92.8,95.94,98.52,99.45,99.17,99.13,95.2,16,32,4,0.1,0,1,0.015,1,2,32,1,2,0.1,dot,400,0.4080128669738769,0.4183709621429443,23553
cora_run5mpwg42n_GAT_Variant_hyperv8lbbwvy,16.42,48.71,69.37,81.55,91.33,96.86,43.31,16.42,48.71,69.37,81.55,91.33,96.86,97.28,97.22,83.12,16,32,4,0.1,0,1,0.015,1,2,32,1,3,0.1,inner,400,0.3548715114593506,0.3657491207122803,22976
cora_run5mpwg42n_GAT_Variant_hyper82rp2iy5,79.34,89.11,95.2,95.94,98.15,99.45,84.98,79.34,89.11,95.2,95.94,98.15,99.45,99.33,99.42,96.49,16,32,4,0.1,0,1,0.015,1,2,32,1,3,0.1,dot,400,0.4593877792358398,0.4706273078918457,24609
cora_run5mpwg42n_GAT_Variant_hyperehgee849,21.22,56.64,75.09,82.47,91.7,97.79,45.03,21.22,56.64,75.09,82.47,91.7,97.79,97.57,97.6,84.96,16,32,4,0.1,0,1,0.015,1,2,16,1,1,0.1,inner,400,0.3688235282897949,0.3784890174865722,22976
cora_run5mpwg42n_GAT_Variant_hypern8o5eria,4.24,18.27,69.93,83.03,96.49,99.08,18.07,4.24,18.27,69.93,83.03,96.49,99.08,97.75,96.83,92.8,16,32,4,0.1,0,1,0.015,1,2,16,1,1,0.1,dot,400,0.393024206161499,0.402937650680542,22993
cora_run5mpwg42n_GAT_Variant_hyperwgx4h0n2,3.69,30.26,65.31,76.2,92.25,97.23,28.06,3.69,30.26,65.31,76.2,92.25,97.23,97.08,96.57,80.63,16,32,4,0.1,0,1,0.015,1,2,16,1,2,0.1,inner,400,0.3715519905090332,0.3811020851135254,22976
cora_run5mpwg42n_GAT_Variant_hypersthlyu6d,40.77,84.13,93.17,96.49,98.52,99.26,82.9,40.77,84.13,93.17,96.49,98.52,99.26,99.47,99.54,96.31,16,32,4,0.1,0,1,0.015,1,2,16,1,2,0.1,dot,400,0.4257020950317383,0.4361262321472168,23265
cora_run5mpwg42n_GAT_Variant_hyper6m0j3moo,19.37,29.7,70.85,77.68,91.88,98.15,31.74,19.37,29.7,70.85,77.68,91.88,98.15,97.02,96.78,85.06,16,32,4,0.1,0,1,0.015,1,2,16,1,3,0.1,inner,400,0.3464782238006592,0.3607664108276367,22976
cora_run5mpwg42n_GAT_Variant_hyperzjal21di,10.89,81.92,92.07,95.2,96.68,98.52,46.02,10.89,81.92,92.07,95.2,96.68,98.52,98.9,98.78,94.28,16,32,4,0.1,0,1,0.015,1,2,16,1,3,0.1,dot,400,0.4239883422851562,0.4345152378082275,23537
cora_run5mpwg42n_GAT_Variant_hyperhmbhyb8r,47.42,53.51,70.3,78.04,91.7,97.05,53.86,47.42,53.51,70.3,78.04,91.7,97.05,97.1,97.2,82.47,16,32,4,0.1,0,1,0.015,2,2,64,1,1,0.1,inner,400,0.3610014915466308,0.3702931404113769,22976
