Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,epochs,train_time,test_time,params
cora_runvlxcdf0f_GAT_Variant_hyperw6oxjces,28.78,43.54,70.11,76.38,91.14,96.68,41.23,28.78,43.54,70.11,76.38,91.14,96.68,96.78,96.76,80.44,0.015,400,0.3699555397033691,0.3798623085021972,22976
cora_runvlxcdf0f_GAT_Variant_hyperfr8vg0gw,44.28,53.14,72.88,81.37,90.22,97.42,52.56,44.28,53.14,72.88,81.37,90.22,97.42,97.31,97.38,82.93,0.015,400,0.3859505653381347,0.3976156711578369,22976
cora_runvlxcdf0f_GAT_Variant_hyper5cn6vve7,38.01,51.85,61.44,76.01,90.41,96.86,47.32,38.01,51.85,61.44,76.01,90.41,96.86,97.15,97.05,82.29,0.015,400,0.3763163089752197,0.3877730369567871,22976
cora_runvlxcdf0f_GAT_Variant_hyperzh9ziufd,7.93,41.33,69.56,85.06,93.36,97.79,31.71,7.93,41.33,69.56,85.06,93.36,97.79,97.49,97.24,86.07,0.015,400,0.4126002788543701,0.425088882446289,22976
cora_runvlxcdf0f_GAT_Variant_hypery5rcews5,10.52,51.11,72.69,83.76,92.62,97.42,35.23,10.52,51.11,72.69,83.76,92.62,97.42,97.57,97.37,81.46,0.015,400,0.3786807060241699,0.3901891708374023,22976
cora_run9owce69k_GAT_Variant_hyperslck0fuo,4.61,41.33,73.62,89.11,95.57,97.23,21.48,4.61,41.33,73.62,89.11,95.57,97.23,98.09,98.03,94.0,0.015,1000,0.7552056312561035,0.8375046253204346,22993
cora_runvlxcdf0f_GAT_Variant_hyperuwjqz7rl,17.9,49.26,66.97,77.86,91.14,98.15,36.39,17.9,49.26,66.97,77.86,91.14,98.15,96.88,96.86,83.86,0.015,400,0.4118859767913818,0.4240336418151855,22976
cora_run0y3bfwa9_GAT_Variant_hypertnts1qkt,4.61,33.39,74.54,89.11,95.57,97.05,21.51,4.61,33.39,74.54,89.11,95.57,97.05,97.89,97.35,93.73,0.015,800,0.66748046875,0.6749811172485352,22993
cora_runvlxcdf0f_GAT_Variant_hyperb2aboofg,16.79,51.11,71.77,85.42,94.83,98.15,34.77,16.79,51.11,71.77,85.42,94.83,98.15,97.74,97.55,81.64,0.015,400,0.383570909500122,0.3951246738433838,22976
cora_runvlxcdf0f_GAT_Variant_hyperrttd8svu,7.2,40.59,64.94,82.1,93.17,96.86,29.5,7.2,40.59,64.94,82.1,93.17,96.86,97.38,97.0,84.13,0.015,400,0.3800678253173828,0.3915541172027588,22976
