Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,batch_size,base_lr
cora_runh04wiwd3_GAT,11.81,58.86,71.4,85.98,91.33,92.62,61.05,11.81,58.86,71.4,85.98,91.33,92.62,95.86,96.6,82.75,128,32,4,0.2,0,2,1024.0,0.01
cora_runfc1hy1vz_GAT,38.01,58.86,71.4,85.98,91.33,92.62,61.05,38.01,58.86,71.4,85.98,91.33,92.62,95.86,96.6,84.96,128,32,4,0.2,0,2,1024.0,0.008
cora_runbmldlbxf_GAT,38.01,58.86,71.4,85.98,91.33,92.62,61.05,38.01,58.86,71.4,85.98,91.33,92.62,95.86,96.6,84.96,128,32,4,0.2,0,2,1024.0,0.007
cora_runb9qi577e_GAT,69.74,74.35,79.34,89.3,92.25,92.8,73.83,69.74,74.35,79.34,89.3,92.25,92.8,96.61,97.33,82.93,128,32,4,0.2,0,2,1024.0,0.015
cora_run9qcuh4yl_GAT,76.01,85.61,88.56,91.14,91.7,92.25,80.5,76.01,85.61,88.56,91.14,91.7,92.25,96.09,97.31,86.72,128,32,4,0.2,0,2,1024.0,0.1
cora_run8jmyvr5q_GAT,76.01,85.61,88.56,91.14,91.7,92.25,80.5,76.01,85.61,88.56,91.14,91.7,92.25,96.09,97.31,86.72,128,32,4,0.2,0,2,1024.0,0.001
cora_runmnw8doh1_GAT,76.01,85.61,88.56,91.14,91.7,92.25,80.5,76.01,85.61,88.56,91.14,91.7,92.25,96.09,97.31,86.72,128,32,4,0.2,0,2,2048.0,0.01
cora_runoor6war1_GAT,76.01,85.61,88.56,91.14,91.7,92.25,80.5,76.01,85.61,88.56,91.14,91.7,92.25,96.09,97.31,86.72,128,32,4,0.2,0,2,2048.0,0.008
cora_runk4bez12t_GAT,76.01,85.61,88.56,91.14,91.7,92.25,80.5,76.01,85.61,88.56,91.14,91.7,92.25,96.09,97.31,86.72,128,32,4,0.2,0,2,2048.0,0.007
cora_run5ac5ou99_GAT,76.01,85.61,88.56,91.14,91.7,92.25,80.5,76.01,85.61,88.56,91.14,91.7,92.25,96.56,97.31,86.72,128,32,4,0.2,0,2,2048.0,0.015
cora_run5g718itc_GAT,76.01,85.61,88.56,90.59,91.14,92.07,80.5,76.01,85.61,88.56,90.59,91.14,92.07,96.56,97.31,84.96,128,32,4,0.2,0,2,2048.0,0.1
cora_runrfhjsoto_GAT,76.01,85.61,88.56,90.59,91.14,92.07,80.5,76.01,85.61,88.56,90.59,91.14,92.07,96.56,97.31,84.96,128,32,4,0.2,0,2,2048.0,0.001
cora_run0y495yzt_GAT,76.01,85.61,88.56,90.59,91.14,92.07,80.5,76.01,85.61,88.56,90.59,91.14,92.07,96.56,97.31,84.96,128,32,4,0.2,0,2,8192.0,0.01
cora_runm2cgmarm_GAT,76.01,85.61,88.56,90.59,91.14,92.07,80.5,76.01,85.61,88.56,90.59,91.14,92.07,96.56,97.31,84.96,128,32,4,0.2,0,2,8192.0,0.008
cora_rund998ne86_GAT,76.01,85.61,88.56,90.59,91.14,92.07,80.5,76.01,85.61,88.56,90.59,91.14,92.07,96.56,97.31,84.96,128,32,4,0.2,0,2,8192.0,0.007
cora_runku8fpdhq_GAT,76.01,85.61,88.56,90.59,91.14,92.07,80.5,76.01,85.61,88.56,90.59,91.14,92.07,96.56,97.31,84.96,128,32,4,0.2,0,2,8192.0,0.015
cora_run7yotybcz_GAT,76.01,85.61,88.93,90.59,91.14,92.07,80.5,76.01,85.61,88.93,90.59,91.14,92.07,96.56,97.35,84.96,128,32,4,0.2,0,2,8192.0,0.1
cora_runyg3b9del_GAT,76.01,85.61,88.93,90.59,91.14,92.07,80.5,76.01,85.61,88.93,90.59,91.14,92.07,96.56,97.35,84.96,128,32,4,0.2,0,2,8192.0,0.001
cora_runkogpr4jr_GAT,76.01,85.61,88.93,90.59,91.14,92.07,80.5,76.01,85.61,88.93,90.59,91.14,92.07,96.56,97.35,84.96,128,32,4,0.2,0,2,16384.0,0.01
cora_runb4fv1ms4_GAT,76.01,85.61,88.93,90.59,91.14,92.07,80.5,76.01,85.61,88.93,90.59,91.14,92.07,96.56,97.35,84.96,128,32,4,0.2,0,2,16384.0,0.008
cora_runuy2g6oqx_GAT,76.01,85.61,88.93,90.59,91.14,92.07,80.5,76.01,85.61,88.93,90.59,91.14,92.07,96.56,97.35,84.96,128,32,4,0.2,0,2,16384.0,0.007
cora_run3umlr2ey_GAT,76.01,85.61,88.93,90.59,91.14,92.07,80.5,76.01,85.61,88.93,90.59,91.14,92.07,96.56,97.35,84.96,128,32,4,0.2,0,2,16384.0,0.015
