Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,epochs
cora_runkpn3md18_GAT,89.48,89.85,90.96,92.07,92.44,92.62,89.94,89.48,89.85,90.96,92.07,92.44,92.62,96.59,97.57,91.24,128,256,4,0.1,0,5,0.015,10000
cora_runeuzl3mw2_GAT,85.24,84.32,90.96,91.7,92.44,92.62,87.3,85.24,84.32,90.96,91.7,92.44,92.62,96.77,97.54,91.24,128,256,4,0.1,0,5,0.015,10000
cora_rune7g6hlv0_GAT,85.24,87.08,90.96,91.7,92.44,92.62,87.3,85.24,87.08,90.96,91.7,92.44,92.62,96.77,97.54,91.24,128,256,4,0.1,0,5,0.015,10000
cora_runebrtc0wq_GAT,85.24,87.08,90.96,91.7,92.44,92.44,87.3,85.24,87.08,90.96,91.7,92.44,92.44,96.61,97.54,91.24,128,256,4,0.1,0,5,0.015,10000
cora_runvhojdtds_GAT,85.24,87.08,90.96,91.7,92.44,92.44,87.3,85.24,87.08,90.96,91.7,92.44,92.44,96.61,97.54,91.24,128,256,4,0.1,0,5,0.015,10000
cora_runxg2gvf16_GAT,85.24,87.08,90.96,91.7,92.44,92.44,87.3,85.24,87.08,90.96,91.7,92.44,92.44,96.61,97.54,91.24,128,256,4,0.1,0,5,0.015,10000
cora_runxvtf52cg_GAT,85.24,87.08,90.96,91.7,92.44,92.44,87.3,85.24,87.08,90.96,91.7,92.44,92.44,96.61,97.54,91.24,128,256,4,0.1,0,5,0.015,10000
cora_runia087nsh_GAT,80.81,86.16,90.96,91.88,92.44,92.44,82.56,80.81,86.16,90.96,91.88,92.44,92.44,96.61,97.55,91.24,128,256,4,0.1,0,5,0.015,10000
cora_runxrvfa1wx_GAT,79.15,86.16,90.96,91.14,92.44,92.44,82.56,79.15,86.16,90.96,91.14,92.44,92.44,96.61,97.55,91.24,128,256,4,0.1,0,5,0.015,10000
cora_rune4mk1h6m_GAT,79.15,86.16,90.96,91.14,92.44,92.44,82.56,79.15,86.16,90.96,91.14,92.44,92.44,96.61,97.55,91.24,128,256,4,0.1,0,5,0.015,10000
cora_runu4f2weuv_GAT,79.15,86.16,90.96,91.14,92.44,92.44,82.56,79.15,86.16,90.96,91.14,92.44,92.44,96.59,97.55,91.24,128,256,4,0.1,0,5,0.015,10000
cora_runfwvy88iw_GAT,79.15,86.16,90.96,91.14,92.44,92.44,82.56,79.15,86.16,90.96,91.14,92.44,92.44,96.59,97.55,91.24,128,256,4,0.1,0,5,0.015,10000
cora_runzbxpogs3_GAT,1.11,2.95,7.75,21.77,30.81,45.94,4.59,1.11,2.95,7.75,21.77,30.81,45.94,71.49,71.66,53.32,128,256,4,0.1,0,5,0.015,10
cora_runtq7crcbd_GAT,3.69,6.09,16.24,18.63,33.39,45.94,7.81,3.69,6.09,16.24,18.63,33.39,45.94,71.49,71.66,53.32,128,256,4,0.1,0,6,0.015,10
cora_runk8ebta82_GAT,3.69,6.09,10.89,19.74,33.39,45.94,7.81,3.69,6.09,10.89,19.74,33.39,45.94,71.49,71.66,53.32,128,256,4,0.1,0,7,0.015,10
cora_rundj60eh7t_GAT,3.69,6.09,10.89,19.74,33.39,45.94,7.81,3.69,6.09,10.89,19.74,33.39,45.94,71.49,71.66,53.32,128,256,2,0.1,0,5,0.015,10
cora_runx1dubt70_GAT,3.69,6.09,10.89,19.74,33.39,45.94,7.81,3.69,6.09,10.89,19.74,33.39,45.94,71.02,73.04,53.32,128,256,2,0.1,0,6,0.015,10
cora_runnrfcn0t3_GAT,3.69,6.09,10.89,19.74,36.72,45.94,7.81,3.69,6.09,10.89,19.74,36.72,45.94,72.78,74.93,53.32,128,256,2,0.1,0,7,0.015,10
cora_runbe21e2h1_GAT,3.69,9.23,19.37,25.28,45.39,58.86,9.22,3.69,9.23,19.37,25.28,45.39,58.86,75.34,77.53,66.51,256,256,4,0.1,0,5,0.015,10
cora_run9dtdtqmk_GAT,3.69,9.23,19.37,25.28,45.39,58.86,9.22,3.69,9.23,19.37,25.28,45.39,58.86,75.34,77.53,65.5,256,256,4,0.1,0,6,0.015,10
cora_runlmtx04y9_GAT,3.69,9.23,19.37,25.28,45.39,58.86,9.22,3.69,9.23,19.37,25.28,45.39,58.86,75.34,77.53,65.22,256,256,4,0.1,0,7,0.015,10
cora_runugh2a5wz_GAT,3.69,9.59,18.27,30.44,45.39,58.86,12.44,3.69,9.59,18.27,30.44,45.39,58.86,75.34,77.53,68.54,256,256,2,0.1,0,5,0.015,10
cora_runmy771dhy_GAT,3.69,9.59,18.27,30.44,45.39,58.86,12.44,3.69,9.59,18.27,30.44,45.39,58.86,75.34,77.53,68.54,256,256,2,0.1,0,6,0.015,10
cora_runlarr4l1v_GAT,3.69,9.59,18.27,30.44,45.39,58.86,12.44,3.69,9.59,18.27,30.44,45.39,58.86,75.34,77.53,68.54,256,256,2,0.1,0,7,0.015,10
Best,89.48,89.85,90.96,92.07,92.44,92.62,89.94,89.48,89.85,90.96,92.07,92.44,92.62,96.77,97.57,91.24,256,256,4,0.1,0,7,0.015,10000
