Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runrudasdbv_GCN_Variant_hyperto92xgmr,22.88,43.91,67.16,78.04,93.36,97.79,36.9,22.88,43.91,67.16,78.04,93.36,97.79,97.4,97.17,79.89,32,32,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,400,0.1141250133514404,0.1237139701843261,45888
cora_runrudasdbv_GCN_Variant_hyper69qy33z3,11.62,28.6,49.63,67.53,90.22,95.39,25.84,11.62,28.6,49.63,67.53,90.22,95.39,95.91,95.34,90.68,32,32,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,dot,400,0.1592369079589843,0.175577163696289,45921
cora_runrudasdbv_GCN_Variant_hyperm1sx6bpe,18.82,38.19,61.25,79.34,92.62,98.15,33.46,18.82,38.19,61.25,79.34,92.62,98.15,97.24,96.93,80.26,32,32,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,inner,400,0.1121747493743896,0.1244928836822509,45888
cora_runrudasdbv_GCN_Variant_hyper3tdopdco,74.72,78.41,95.02,97.6,98.52,99.08,79.65,74.72,78.41,95.02,97.6,98.52,99.08,99.26,99.39,96.49,32,32,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,dot,400,0.1292474269866943,0.1393277645111084,48065
cora_runrudasdbv_GCN_Variant_hyperywpi03p4,24.17,40.59,69.56,80.44,92.25,97.79,38.61,24.17,40.59,69.56,80.44,92.25,97.79,97.42,97.23,80.54,32,32,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,inner,400,0.1118061542510986,0.1241414546966552,45888
cora_runrudasdbv_GCN_Variant_hyperpzzq1to8,75.09,87.27,94.28,98.34,98.89,99.45,80.87,75.09,87.27,94.28,98.34,98.89,99.45,99.45,99.52,96.31,32,32,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,dot,400,0.1347925662994384,0.1478614807128906,52225
cora_runrudasdbv_GCN_Variant_hyperi3jdgcjj,21.22,35.98,69.19,79.89,91.88,97.79,35.92,21.22,35.98,69.19,79.89,91.88,97.79,97.32,97.07,81.18,32,32,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,inner,400,0.1121063232421875,0.1246356964111328,45888
cora_runrudasdbv_GCN_Variant_hyperx5iltorm,11.44,28.97,52.58,72.32,89.85,97.05,24.4,11.44,28.97,52.58,72.32,89.85,97.05,96.28,95.69,90.59,32,32,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,dot,400,0.1174724102020263,0.1299390792846679,45921
cora_runrudasdbv_GCN_Variant_hypermjfecnka,23.62,42.44,67.71,79.52,92.8,97.97,38.1,23.62,42.44,67.71,79.52,92.8,97.97,97.38,97.18,80.07,32,32,1024,0.1,1,0.1,0.015,1,2,32,1,2,0.1,inner,400,0.1135575771331787,0.1260042190551757,45888
cora_runrudasdbv_GCN_Variant_hyper0rpletjd,45.76,54.43,91.51,97.6,98.52,99.45,58.25,45.76,54.43,91.51,97.6,98.52,99.45,99.06,99.07,96.49,32,32,1024,0.1,1,0.1,0.015,1,2,32,1,2,0.1,dot,400,0.1263959407806396,0.1386511325836181,46977
cora_runrudasdbv_GCN_Variant_hyperdxalrucs,21.4,39.3,69.0,82.47,92.62,97.97,36.43,21.4,39.3,69.0,82.47,92.62,97.97,97.43,97.17,80.9,32,32,1024,0.1,1,0.1,0.015,1,2,32,1,3,0.1,inner,400,0.1142981052398681,0.126828908920288,45888
cora_runrudasdbv_GCN_Variant_hyper0j55crn4,44.46,42.07,93.36,97.79,99.45,99.63,64.07,44.46,42.07,93.36,97.79,99.45,99.63,99.39,99.4,96.86,32,32,1024,0.1,1,0.1,0.015,1,2,32,1,3,0.1,dot,400,0.1323709487915039,0.1454901695251464,48033
cora_runrudasdbv_GCN_Variant_hyperfmuk1f1f,21.22,41.7,66.97,80.44,93.54,97.6,35.01,21.22,41.7,66.97,80.44,93.54,97.6,97.38,97.1,80.72,32,32,1024,0.1,1,0.1,0.015,1,2,16,1,1,0.1,inner,400,0.1126365661621093,0.1250474452972412,45888
cora_runrudasdbv_GCN_Variant_hypergms7dmbs,14.76,22.14,48.71,65.31,87.64,95.39,23.68,14.76,22.14,48.71,65.31,87.64,95.39,95.29,94.7,88.93,32,32,1024,0.1,1,0.1,0.015,1,2,16,1,1,0.1,dot,400,0.1207532882690429,0.1335999965667724,45921
cora_runrudasdbv_GCN_Variant_hyperncsh947a,23.06,39.85,63.84,79.7,92.99,98.52,36.19,23.06,39.85,63.84,79.7,92.99,98.52,97.35,97.09,80.9,32,32,1024,0.1,1,0.1,0.015,1,2,16,1,2,0.1,inner,400,0.1131188869476318,0.1255252361297607,45888
cora_runrudasdbv_GCN_Variant_hyperaoyavwjg,24.91,50.74,83.76,94.1,98.15,99.26,47.83,24.91,50.74,83.76,94.1,98.15,99.26,98.72,98.63,95.94,32,32,1024,0.1,1,0.1,0.015,1,2,16,1,2,0.1,dot,400,0.1286499500274658,0.1416642665863037,46433
cora_runrudasdbv_GCN_Variant_hyperaean1j5h,20.3,45.57,66.42,79.34,92.99,98.34,35.32,20.3,45.57,66.42,79.34,92.99,98.34,97.33,97.07,81.0,32,32,1024,0.1,1,0.1,0.015,1,2,16,1,3,0.1,inner,400,0.1135635375976562,0.1247289180755615,45888
cora_runrudasdbv_GCN_Variant_hyper14l59cgu,45.39,81.0,93.36,97.6,99.08,99.63,64.98,45.39,81.0,93.36,97.6,99.08,99.63,99.34,99.39,97.05,32,32,1024,0.1,1,0.1,0.015,1,2,16,1,3,0.1,dot,400,0.1302881240844726,0.1435000896453857,46705
cora_runrudasdbv_GCN_Variant_hyper6r67z5d6,23.8,43.91,65.87,78.97,92.99,97.23,38.35,23.8,43.91,65.87,78.97,92.99,97.23,97.36,97.16,79.24,32,32,1024,0.1,1,0.1,0.015,2,2,64,1,1,0.1,inner,400,0.1136705875396728,0.1257712841033935,45888
cora_runrudasdbv_GCN_Variant_hypernshutgt0,14.02,24.72,44.1,67.16,89.67,95.39,23.79,14.02,24.72,44.1,67.16,89.67,95.39,95.48,94.86,89.94,32,32,1024,0.1,1,0.1,0.015,2,2,64,1,1,0.1,dot,400,0.1187415122985839,0.1304891109466552,45921
cora_runrudasdbv_GCN_Variant_hyper63gjk4na,21.4,37.45,66.79,79.89,92.44,97.79,34.43,21.4,37.45,66.79,79.89,92.44,97.79,97.35,97.07,80.44,32,32,1024,0.1,1,0.1,0.015,2,2,64,1,2,0.1,inner,400,0.1132757663726806,0.1255805492401123,45888
cora_runrudasdbv_GCN_Variant_hyper4rfxsyqs,33.39,74.17,93.54,97.79,98.71,99.08,56.38,33.39,74.17,93.54,97.79,98.71,99.08,99.16,99.18,96.96,32,32,1024,0.1,1,0.1,0.015,2,2,64,1,2,0.1,dot,400,0.1255965232849121,0.1376388072967529,48065
cora_runrudasdbv_GCN_Variant_hyperutqcng3k,20.11,44.65,68.27,81.92,92.62,98.15,35.63,20.11,44.65,68.27,81.92,92.62,98.15,97.42,97.16,81.36,32,32,1024,0.1,1,0.1,0.015,2,2,64,1,3,0.1,inner,400,0.115088939666748,0.1260385513305664,45888
cora_runcymbo6rs_GCN_Variant_hypern6cjd6np,37.08,53.87,75.65,87.82,96.31,98.89,49.65,37.08,53.87,75.65,87.82,96.31,98.89,98.25,98.13,83.49,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,1000,0.3322017192840576,0.3417174816131592,22944
cora_runrudasdbv_GCN_Variant_hyperwfebvtc3,82.1,85.61,94.65,97.23,98.89,98.89,85.44,82.1,85.61,94.65,97.23,98.89,98.89,99.36,99.47,96.77,32,32,1024,0.1,1,0.1,0.015,2,2,64,1,3,0.1,dot,400,0.1354095935821533,0.148850679397583,52225
cora_runrudasdbv_GCN_Variant_hyperubqev8sj,19.37,39.3,65.5,79.15,91.33,98.52,34.97,19.37,39.3,65.5,79.15,91.33,98.52,97.33,97.06,80.63,32,32,1024,0.1,1,0.1,0.015,2,2,32,1,1,0.1,inner,400,0.1131618022918701,0.125840425491333,45888
cora_runrudasdbv_GCN_Variant_hyper37w3afd0,11.62,38.01,63.84,81.55,93.73,97.97,32.12,11.62,38.01,63.84,81.55,93.73,97.97,97.38,97.07,91.61,32,32,1024,0.1,1,0.1,0.015,2,2,32,1,1,0.1,dot,400,0.1183958053588867,0.1308128833770752,45921
cora_runrudasdbv_GCN_Variant_hypero4ru6m6r,19.93,46.68,69.37,80.63,92.8,97.79,36.91,19.93,46.68,69.37,80.63,92.8,97.79,97.42,97.22,80.07,32,32,1024,0.1,1,0.1,0.015,2,2,32,1,2,0.1,inner,400,0.1134161949157714,0.1259694099426269,45888
cora_runrudasdbv_GCN_Variant_hyper9p1nuvrg,64.58,73.25,94.46,97.05,98.71,99.63,71.73,64.58,73.25,94.46,97.05,98.71,99.63,99.26,99.37,97.14,32,32,1024,0.1,1,0.1,0.015,2,2,32,1,2,0.1,dot,400,0.1288299560546875,0.1419577598571777,46977
cora_runcymbo6rs_GCN_Variant_hypergo1jmsi8,35.24,58.86,87.64,92.07,98.15,98.71,49.27,35.24,58.86,87.64,92.07,98.15,98.71,98.51,98.6,95.48,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,dot,1000,0.2577204704284668,0.3313636779785156,22961
cora_runrudasdbv_GCN_Variant_hypersq2aalx1,20.11,36.9,64.39,78.78,93.36,98.34,35.01,20.11,36.9,64.39,78.78,93.36,98.34,97.34,97.06,80.26,32,32,1024,0.1,1,0.1,0.015,2,2,32,1,3,0.1,inner,400,0.1191115379333496,0.1318848133087158,45888
cora_runrudasdbv_GCN_Variant_hyperknvfucbi,45.57,87.45,95.57,97.42,98.52,99.45,74.16,45.57,87.45,95.57,97.42,98.52,99.45,99.37,99.44,96.68,32,32,1024,0.1,1,0.1,0.015,2,2,32,1,3,0.1,dot,400,0.1326665878295898,0.1460764408111572,48033
cora_runrudasdbv_GCN_Variant_hyperzku251hp,21.96,41.33,62.55,76.94,92.8,97.79,36.67,21.96,41.33,62.55,76.94,92.8,97.79,97.25,97.03,80.72,32,32,1024,0.1,1,0.1,0.015,2,2,16,1,1,0.1,inner,400,0.1161322593688964,0.1285455226898193,45888
cora_runrudasdbv_GCN_Variant_hyper578bmhvy,13.84,34.69,61.44,77.12,91.51,97.42,27.31,13.84,34.69,61.44,77.12,91.51,97.42,96.64,96.24,90.87,32,32,1024,0.1,1,0.1,0.015,2,2,16,1,1,0.1,dot,400,0.1191658973693847,0.1318182945251464,45921
cora_runrudasdbv_GCN_Variant_hyper4k3b0v5t,25.28,44.83,66.05,82.29,94.1,98.34,39.61,25.28,44.83,66.05,82.29,94.1,98.34,97.52,97.32,80.63,32,32,1024,0.1,1,0.1,0.015,2,2,16,1,2,0.1,inner,400,0.1152081489562988,0.1279296875,45888
cora_runcymbo6rs_GCN_Variant_hyper5oe4kr3r,24.72,54.43,74.35,86.35,96.86,99.08,48.91,24.72,54.43,74.35,86.35,96.86,99.08,98.19,98.07,81.92,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,inner,1000,0.2587852478027344,0.2666428089141845,22944
cora_runrudasdbv_GCN_Variant_hyperusvafuej,48.34,62.55,86.35,95.76,97.6,99.45,58.8,48.34,62.55,86.35,95.76,97.6,99.45,98.95,98.95,96.4,32,32,1024,0.1,1,0.1,0.015,2,2,16,1,2,0.1,dot,400,0.1241021156311035,0.1370797157287597,46433
cora_runrudasdbv_GCN_Variant_hyperbhhev3bm,20.85,38.56,67.34,78.6,92.99,98.15,34.89,20.85,38.56,67.34,78.6,92.99,98.15,97.38,97.09,80.54,32,32,1024,0.1,1,0.1,0.015,2,2,16,1,3,0.1,inner,400,0.1145367622375488,0.1273131370544433,45888
cora_runrudasdbv_GCN_Variant_hyperktjmcmkb,45.02,76.94,92.07,97.6,99.26,99.63,55.62,45.02,76.94,92.07,97.6,99.26,99.63,99.27,99.29,96.77,32,32,1024,0.1,1,0.1,0.015,2,2,16,1,3,0.1,dot,400,0.1335601806640625,0.1470932960510254,46705
cora_runrudasdbv_GCN_Variant_hyperv0abxg6k,24.17,40.22,65.87,78.6,92.99,98.15,36.98,24.17,40.22,65.87,78.6,92.99,98.15,97.38,97.13,80.63,32,32,1024,0.1,1,0.1,0.015,3,2,64,1,1,0.1,inner,400,0.1144988536834716,0.1273515224456787,45888
cora_runrudasdbv_GCN_Variant_hyperztjmwwz0,4.98,25.65,53.69,67.16,89.48,95.39,25.59,4.98,25.65,53.69,67.16,89.48,95.39,95.71,95.21,90.04,32,32,1024,0.1,1,0.1,0.015,3,2,64,1,1,0.1,dot,400,0.1220016479492187,0.1352770328521728,45921
cora_runrudasdbv_GCN_Variant_hyperg37i7bro,23.25,41.14,68.27,80.26,92.62,98.15,37.68,23.25,41.14,68.27,80.26,92.62,98.15,97.4,97.18,80.35,32,32,1024,0.1,1,0.1,0.015,3,2,64,1,2,0.1,inner,400,0.1237270832061767,0.1330397129058838,45888
cora_runcymbo6rs_GCN_Variant_hyper65kkfvof,33.03,78.6,96.13,97.23,98.52,98.89,52.04,33.03,78.6,96.13,97.23,98.52,98.89,98.97,99.24,97.14,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,dot,1000,0.2791907787322998,0.3299345970153808,24097
cora_runrudasdbv_GCN_Variant_hypervfx4sjs6,57.01,74.91,85.79,97.42,98.71,99.63,68.04,57.01,74.91,85.79,97.42,98.71,99.63,99.13,99.16,96.77,32,32,1024,0.1,1,0.1,0.015,3,2,64,1,2,0.1,dot,400,0.1666252613067627,0.1840796470642089,48065
cora_run9e0gcjvh_GCN_Variant_hyperrx34ggs9,17.34,37.64,59.04,73.8,85.24,94.83,29.97,17.34,37.64,59.04,73.8,85.24,94.83,95.96,95.64,79.34,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,400,0.1100218296051025,0.1221659183502197,22944
cora_run9e0gcjvh_GCN_Variant_hyper5aj1jrg0,10.7,14.76,31.73,43.36,71.22,86.53,17.09,10.7,14.76,31.73,43.36,71.22,86.53,91.12,90.21,84.13,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,dot,400,0.1169838905334472,0.1279983520507812,22961
cora_run9e0gcjvh_GCN_Variant_hyper94gpt0nl,15.13,38.19,59.41,70.85,87.45,95.57,29.35,15.13,38.19,59.41,70.85,87.45,95.57,96.33,95.93,80.44,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,inner,400,0.110870361328125,0.123201847076416,22944
cora_runcymbo6rs_GCN_Variant_hyper75pxmnp8,18.45,52.58,76.57,89.85,96.13,99.08,52.85,18.45,52.58,76.57,89.85,96.13,99.08,98.36,98.25,82.01,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,inner,1000,0.3856289386749267,0.4441275596618652,22944
cora_run9e0gcjvh_GCN_Variant_hyperiffx44fv,32.66,35.98,79.34,93.54,97.79,99.26,43.98,32.66,35.98,79.34,93.54,97.79,99.26,98.5,98.37,95.57,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,dot,400,0.1294045448303222,0.1419405937194824,24097
cora_run9e0gcjvh_GCN_Variant_hyperxnfe2ft3,14.76,41.88,59.41,75.83,88.19,95.94,29.7,14.76,41.88,59.41,75.83,88.19,95.94,96.47,96.16,80.72,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,inner,400,0.1149344444274902,0.1275520324707031,22944
cora_run9e0gcjvh_GCN_Variant_hyperjddwuja7,51.11,65.87,91.7,97.05,98.71,99.63,62.87,51.11,65.87,91.7,97.05,98.71,99.63,99.21,99.2,96.86,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,dot,400,0.172896146774292,0.1896834373474121,28257
cora_run9e0gcjvh_GCN_Variant_hyperom0hz46m,15.13,38.75,56.64,73.8,86.9,95.2,29.29,15.13,38.75,56.64,73.8,86.9,95.2,96.23,95.88,79.61,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,inner,400,0.1484942436218261,0.1632535457611084,22944
cora_run9e0gcjvh_GCN_Variant_hyperwpoyub6k,6.27,11.44,25.83,37.64,64.02,80.07,13.02,6.27,11.44,25.83,37.64,64.02,80.07,88.54,87.57,80.26,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,dot,400,0.1533854007720947,0.168440580368042,22961
cora_run9e0gcjvh_GCN_Variant_hyper9v23axsj,14.58,45.39,59.41,72.32,85.98,94.1,28.82,14.58,45.39,59.41,72.32,85.98,94.1,96.02,95.71,80.72,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,2,0.1,inner,400,0.1137254238128662,0.1264760494232177,22944
cora_runcymbo6rs_GCN_Variant_hyper8uoxyo4m,79.15,89.67,95.2,96.31,98.71,98.89,85.34,79.15,89.67,95.2,96.31,98.71,98.89,99.09,99.37,96.59,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,dot,1000,0.388582706451416,0.47505784034729,28257
cora_run9e0gcjvh_GCN_Variant_hypera668jd9e,39.3,43.91,91.7,96.68,99.08,99.26,55.39,39.3,43.91,91.7,96.68,99.08,99.26,99.02,99.05,96.68,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,2,0.1,dot,400,0.1627609729766845,0.1796522140502929,23521
cora_run9e0gcjvh_GCN_Variant_hyperuquhvd2f,14.76,37.45,51.85,74.72,89.3,95.57,30.18,14.76,37.45,51.85,74.72,89.3,95.57,96.34,96.03,80.63,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,3,0.1,inner,400,0.1160361766815185,0.1287477016448974,22944
cora_run9e0gcjvh_GCN_Variant_hyperfie87k75,33.39,34.13,85.06,92.07,97.6,99.26,45.77,33.39,34.13,85.06,92.07,97.6,99.26,98.68,98.48,94.83,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,3,0.1,dot,400,0.1656186580657959,0.1826941967010498,24577
cora_run9e0gcjvh_GCN_Variant_hyper58nie34z,16.42,40.22,61.62,71.22,85.98,95.39,31.06,16.42,40.22,61.62,71.22,85.98,95.39,96.17,95.88,81.09,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,1,0.1,inner,400,0.1498599052429199,0.1622982025146484,22944
cora_run9e0gcjvh_GCN_Variant_hypernelns54b,2.77,9.78,18.82,33.03,45.57,68.45,9.57,2.77,9.78,18.82,33.03,45.57,68.45,82.46,82.28,75.09,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,1,0.1,dot,400,0.1490323543548584,0.1644651889801025,22961
cora_runcymbo6rs_GCN_Variant_hyper8gejo13b,30.81,50.55,76.2,85.24,96.13,98.89,50.37,30.81,50.55,76.2,85.24,96.13,98.89,98.25,98.15,81.18,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,inner,1000,0.226062536239624,0.2327730655670166,22944
cora_run9e0gcjvh_GCN_Variant_hyperevkedrri,17.16,40.04,58.86,74.54,87.08,95.2,30.6,17.16,40.04,58.86,74.54,87.08,95.2,96.33,95.98,79.43,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,2,0.1,inner,400,0.1163330078125,0.1289205551147461,22944
cora_run9e0gcjvh_GCN_Variant_hyperzus0e2h2,29.15,42.8,74.35,85.98,97.05,98.89,41.3,29.15,42.8,74.35,85.98,97.05,98.89,98.01,97.83,93.45,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,2,0.1,dot,400,0.1601676940917968,0.1765830516815185,23233
cora_run9e0gcjvh_GCN_Variant_hypergc6zn8h5,15.31,23.06,62.36,69.93,87.27,95.02,30.04,15.31,23.06,62.36,69.93,87.27,95.02,96.16,95.84,80.26,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,3,0.1,inner,400,0.1474204063415527,0.1622567176818847,22944
cora_run9e0gcjvh_GCN_Variant_hyperph0ks2h3,3.87,33.03,62.18,84.87,95.57,98.71,38.85,3.87,33.03,62.18,84.87,95.57,98.71,97.53,97.2,92.9,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,3,0.1,dot,400,0.1347746849060058,0.147998571395874,23505
cora_run9e0gcjvh_GCN_Variant_hyper4ijw5x3y,16.24,43.73,62.18,71.4,86.72,94.83,30.57,16.24,43.73,62.18,71.4,86.72,94.83,96.11,95.85,79.71,16,16,1024,0.1,1,0.1,0.015,2,2,64,1,1,0.1,inner,400,0.14626145362854,0.1625337600708007,22944
cora_runcymbo6rs_GCN_Variant_hyper43vp3vhv,13.1,38.56,83.76,92.25,97.23,98.52,40.28,13.1,38.56,83.76,92.25,97.23,98.52,98.15,98.14,95.11,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,dot,1000,0.2160975933074951,0.2232630252838134,22961
