Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels
cora_runenx5hv9c_GraphSage,47.97,55.17,85.42,91.33,96.49,98.34,57.39,47.97,55.17,85.42,91.33,96.49,98.34,98.55,98.54,90.13,64,64
cora_runl1xh2pgh_GraphSage,43.54,55.17,85.42,91.51,96.49,98.71,53.53,43.54,55.17,85.42,91.51,96.49,98.71,98.55,98.54,91.51,64,64
cora_runqy4n37b8_GraphSage,43.54,55.17,85.42,93.54,96.49,98.71,58.4,43.54,55.17,85.42,93.54,96.49,98.71,98.55,98.54,91.51,64,64
cora_rundias7q1y_GraphSage,43.54,55.17,85.42,92.99,96.49,98.71,59.15,43.54,55.17,85.42,92.99,96.49,98.71,98.55,98.54,91.51,64,64
cora_runrgha0r34_GraphSage,43.54,55.17,85.42,91.7,96.49,98.52,59.15,43.54,55.17,85.42,91.7,96.49,98.52,98.58,98.51,91.61,64,64
cora_runngdnd8w1_GraphSage,43.54,55.17,83.39,91.7,96.49,98.52,55.96,43.54,55.17,83.39,91.7,96.49,98.52,98.58,98.51,91.61,64,64
cora_runhlfk0t7x_GraphSage,31.73,55.17,83.39,91.7,96.49,98.52,52.63,31.73,55.17,83.39,91.7,96.49,98.52,98.58,98.51,91.61,64,64
cora_runmq1ralm8_GraphSage,31.73,55.17,83.39,91.7,96.49,98.52,52.63,31.73,55.17,83.39,91.7,96.49,98.52,98.58,98.51,91.61,64,64
cora_runm2wms98u_GraphSage,31.73,55.17,83.39,91.7,96.49,98.52,52.63,31.73,55.17,83.39,91.7,96.49,98.52,98.58,98.51,91.61,64,64
cora_runtqr3oe88_GraphSage,31.73,55.17,83.39,91.7,96.49,98.52,52.63,31.73,55.17,83.39,91.7,96.49,98.52,98.58,98.51,91.61,64,64
cora_runrnopyqid_GraphSage,48.52,55.17,83.39,91.7,96.49,98.52,62.09,48.52,55.17,83.39,91.7,96.49,98.52,98.58,98.51,91.61,64,64
cora_runj9y5tsah_GraphSage,48.52,55.17,83.39,91.7,96.49,98.52,62.09,48.52,55.17,83.39,91.7,96.49,98.52,98.58,98.51,91.61,64,64
cora_runz8wvj8u9_GraphSage,48.52,55.17,83.39,91.7,96.49,98.52,62.09,48.52,55.17,83.39,91.7,96.49,98.52,98.58,98.51,91.61,64,64
cora_run1ljlmtu6_GraphSage,45.94,55.17,83.39,91.7,96.31,98.52,54.85,45.94,55.17,83.39,91.7,96.31,98.52,98.58,98.54,91.61,64,64
cora_rund0vd9jnc_GraphSage,45.94,55.17,83.39,91.7,96.31,98.52,55.44,45.94,55.17,83.39,91.7,96.31,98.52,98.58,98.54,90.96,64,64
cora_runp3o58u99_GraphSage,45.94,55.17,83.39,91.7,96.31,98.52,55.44,45.94,55.17,83.39,91.7,96.31,98.52,98.58,98.54,90.96,64,64
cora_runoimbhkun_GraphSage,48.15,64.94,87.08,94.46,97.23,98.15,57.59,48.15,64.94,87.08,94.46,97.23,98.15,98.91,98.74,92.25,64,64
cora_runnzzw16fq_GraphSage,49.82,65.13,87.08,94.46,97.42,98.15,57.59,49.82,65.13,87.08,94.46,97.42,98.15,98.91,98.74,94.1,64,64
cora_runnpbucl9l_GraphSage,31.37,65.13,87.08,94.65,97.42,98.15,53.1,31.37,65.13,87.08,94.65,97.42,98.15,98.91,98.67,94.1,64,64
cora_run9shwkxj5_GraphSage,56.09,67.53,87.08,94.83,97.42,98.15,64.18,56.09,67.53,87.08,94.83,97.42,98.15,98.91,98.67,94.1,64,64
cora_runs0lntr4l_GraphSage,56.09,67.53,87.08,94.83,97.42,98.15,64.18,56.09,67.53,87.08,94.83,97.42,98.15,98.91,98.67,94.1,64,64
cora_runzewyqyjo_GraphSage,56.09,64.21,87.08,94.83,97.42,98.15,64.18,56.09,64.21,87.08,94.83,97.42,98.15,98.91,98.67,93.54,64,64
cora_runt764sp9v_GraphSage,56.09,64.21,87.08,94.83,97.42,98.15,64.18,56.09,64.21,87.08,94.83,97.42,98.15,98.91,98.67,93.36,64,64
cora_run5rp5v2qm_GraphSage,56.09,64.21,87.08,94.83,97.42,98.15,64.18,56.09,64.21,87.08,94.83,97.42,98.15,98.91,98.67,93.36,64,64
cora_runo359pus7_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,93.36,64,64
cora_run99jhbpyk_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,94.37,64,64
cora_runk57mxz28_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,94.37,64,64
cora_run7pail2e8_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,94.37,64,64
cora_runbp8p23f9_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,94.37,64,64
cora_runj8xcmiix_GraphSage,48.15,64.94,87.08,94.46,97.23,98.15,57.59,48.15,64.94,87.08,94.46,97.23,98.15,98.91,98.74,92.25,64,64
cora_run98v79bn4_GraphSage,49.82,65.13,87.08,94.46,97.42,98.15,57.59,49.82,65.13,87.08,94.46,97.42,98.15,98.91,98.74,94.1,64,64
cora_runq6jxqc1e_GraphSage,31.37,65.13,87.08,94.65,97.42,98.15,53.1,31.37,65.13,87.08,94.65,97.42,98.15,98.91,98.67,94.1,64,64
cora_run3ulk4zb7_GraphSage,56.09,67.53,87.08,94.83,97.42,98.15,64.18,56.09,67.53,87.08,94.83,97.42,98.15,98.91,98.67,94.1,64,64
cora_runew8m9ad8_GraphSage,56.09,67.53,87.08,94.83,97.42,98.15,64.18,56.09,67.53,87.08,94.83,97.42,98.15,98.91,98.67,94.1,64,64
cora_runox0s99dm_GraphSage,56.09,64.21,87.08,94.83,97.42,98.15,64.18,56.09,64.21,87.08,94.83,97.42,98.15,98.91,98.67,93.54,64,64
cora_runzsy6fd5c_GraphSage,56.09,64.21,87.08,94.83,97.42,98.15,64.18,56.09,64.21,87.08,94.83,97.42,98.15,98.91,98.67,93.36,64,64
cora_runwu31ukrk_GraphSage,56.09,64.21,87.08,94.83,97.42,98.15,64.18,56.09,64.21,87.08,94.83,97.42,98.15,98.91,98.67,93.36,64,64
cora_runo2ukvyjl_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,93.36,64,64
cora_runlaxuaycv_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,94.37,64,64
cora_runre74v59d_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,94.37,64,64
cora_runx1t49l1b_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,94.37,64,64
cora_run0kji3tlj_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,94.37,64,64
cora_runfik9s1n2_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,94.37,64,64
cora_runpq8rt8x0_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.91,98.67,94.37,64,64
cora_run6t3buxol_GraphSage,56.09,62.73,87.08,94.83,97.42,98.15,64.18,56.09,62.73,87.08,94.83,97.42,98.15,98.56,98.67,94.37,64,64
cora_rungf2b40uc_GraphSage,60.52,65.68,86.9,94.46,97.6,98.15,57.89,60.52,65.68,86.9,94.46,97.6,98.15,98.84,98.74,92.16,512,512
cora_runkvlapiar_GraphSage,60.52,66.24,86.9,94.46,97.6,98.15,57.89,60.52,66.24,86.9,94.46,97.6,98.15,98.84,98.74,94.0,512,512
cora_run8jtmj0b1_GraphSage,31.73,66.42,86.9,94.46,97.6,98.34,53.63,31.73,66.42,86.9,94.46,97.6,98.34,98.67,98.7,94.0,512,512
cora_runfhx3r5oe_GraphSage,55.9,66.42,86.9,94.46,97.6,98.34,64.05,55.9,66.42,86.9,94.46,97.6,98.34,98.67,98.7,94.0,512,512
cora_runfjxikpwi_GraphSage,55.9,65.87,86.9,94.46,97.6,98.34,64.05,55.9,65.87,86.9,94.46,97.6,98.34,98.67,98.7,94.0,512,512
cora_run850vthdj_GraphSage,55.9,65.5,86.9,94.46,97.6,98.34,64.05,55.9,65.5,86.9,94.46,97.6,98.34,98.67,98.7,93.27,512,512
cora_runuvkrwrv6_GraphSage,45.94,65.5,86.9,94.46,97.6,98.34,58.53,45.94,65.5,86.9,94.46,97.6,98.34,98.67,98.7,93.54,512,512
cora_run1psqtkeb_GraphSage,45.94,65.5,86.9,94.46,97.6,98.34,58.53,45.94,65.5,86.9,94.46,97.6,98.34,98.67,98.7,93.54,512,512
cora_runmfyr1g1d_GraphSage,45.94,65.5,86.9,94.46,97.6,98.34,58.53,45.94,65.5,86.9,94.46,97.6,98.34,98.67,98.7,93.54,512,512
cora_runcjtvoihy_GraphSage,45.94,65.5,86.9,94.46,97.6,98.34,58.53,45.94,65.5,86.9,94.46,97.6,98.34,98.67,98.72,93.54,512,512
cora_runb12k2e6m_GraphSage,45.94,65.5,86.9,94.46,97.6,98.34,58.53,45.94,65.5,86.9,94.46,97.6,98.34,98.67,98.72,93.54,512,512
cora_runli0utjys_GraphSage,48.15,65.5,86.9,94.46,97.6,98.34,59.19,48.15,65.5,86.9,94.46,97.6,98.34,98.67,98.72,93.54,512,512
cora_run6lqw3ucc_GraphSage,48.15,67.71,86.9,94.46,97.6,98.34,59.19,48.15,67.71,86.9,94.46,97.6,98.34,98.67,98.72,93.54,512,512
cora_run4fa46skw_GraphSage,48.15,67.71,86.9,94.46,97.6,98.34,59.19,48.15,67.71,86.9,94.46,97.6,98.34,98.67,98.72,93.54,512,512
cora_run1mjoh85s_GraphSage,48.15,67.71,86.9,94.46,97.6,98.34,59.19,48.15,67.71,86.9,94.46,97.6,98.34,98.67,98.72,93.54,512,512
cora_runtvjpynma_GraphSage,48.15,67.71,86.9,94.46,97.6,98.34,59.19,48.15,67.71,86.9,94.46,97.6,98.34,98.67,98.72,93.54,512,512
cora_runjaxbs4r9_GraphSage,60.52,65.68,84.32,94.46,97.23,98.34,57.89,60.52,65.68,84.32,94.46,97.23,98.34,98.84,98.65,94.19,512,512
Best,60.52,67.71,87.08,94.83,97.6,98.71,64.18,60.52,67.71,87.08,94.83,97.6,98.71,98.91,98.74,94.37,512,512
