Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs,train_time,test_time,params
cora_runlr3ll7l3_GraphSage,45.76,63.28,86.35,89.67,96.31,98.89,57.35,45.76,63.28,86.35,89.67,96.31,98.89,98.68,98.72,90.59,0.015,1024,32,32,10000,0.0981435775756836,0.1043546199798584,91776
cora_runpg55a74n_GraphSage,45.76,63.28,86.35,89.67,96.31,98.89,57.35,45.76,63.28,86.35,89.67,96.31,98.89,98.72,98.73,91.24,0.015,1024,32,64,10000,0.1279537677764892,0.1349935531616211,91776
cora_run9bgith5x_GraphSage,45.76,63.28,86.35,89.67,96.13,98.89,57.35,45.76,63.28,86.35,89.67,96.13,98.89,98.72,98.73,91.24,0.015,1024,32,128,10000,0.0843772888183593,0.0911982059478759,91776
cora_rundcayqgwo_GraphSage,46.13,63.28,86.35,90.41,96.13,98.89,57.35,46.13,63.28,86.35,90.41,96.13,98.89,98.72,98.73,91.24,0.015,1024,32,256,10000,0.1034600734710693,0.1099786758422851,91776
cora_run6k6uvkga_GraphSage,46.13,66.24,86.35,90.41,96.13,99.45,60.17,46.13,66.24,86.35,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,64,32,10000,0.0696625709533691,0.0762646198272705,183552
cora_rungs58aoxp_GraphSage,46.68,66.24,86.35,90.41,96.13,99.45,60.17,46.68,66.24,86.35,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,64,64,10000,0.0921638011932373,0.0988016128540039,183552
cora_runv7ysxk2e_GraphSage,46.68,66.24,86.35,90.41,96.13,99.45,60.17,46.68,66.24,86.35,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,64,128,10000,0.1177668571472168,0.1240234375,183552
cora_rungq6izuiq_GraphSage,45.76,63.28,86.35,89.67,96.31,98.89,57.35,45.76,63.28,86.35,89.67,96.31,98.89,98.68,98.72,90.59,0.015,1024,32,32,10000,0.0728552341461181,0.0794217586517334,91776
cora_runndaxkidj_GraphSage,46.68,66.24,86.35,90.41,96.13,99.45,60.17,46.68,66.24,86.35,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,64,256,10000,0.1272447109222412,0.1339249610900879,183552
cora_runuhly7svt_GraphSage,45.76,63.28,86.35,89.67,96.31,98.89,57.35,45.76,63.28,86.35,89.67,96.31,98.89,98.72,98.73,91.24,0.015,1024,32,64,10000,0.1043002605438232,0.1106224060058593,91776
cora_run75qf4xqh_GraphSage,46.68,66.24,86.16,90.41,96.13,99.45,60.17,46.68,66.24,86.16,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,128,32,10000,0.1212904453277587,0.1277728080749511,367104
cora_runxf346iqj_GraphSage,45.76,63.28,86.35,89.67,96.13,98.89,57.35,45.76,63.28,86.35,89.67,96.13,98.89,98.72,98.73,91.24,0.015,1024,32,128,10000,0.0874519348144531,0.0988404750823974,91776
cora_runmp8ogv5f_GraphSage,46.68,66.24,86.16,90.41,96.13,99.45,60.17,46.68,66.24,86.16,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,128,64,10000,0.099825382232666,0.1060500144958496,367104
cora_runlof7fukr_GraphSage,46.13,63.28,86.35,90.41,96.13,98.89,57.35,46.13,63.28,86.35,90.41,96.13,98.89,98.72,98.73,91.24,0.015,1024,32,256,10000,0.0841686725616455,0.0906236171722412,91776
cora_runwgsclz5h_GraphSage,46.68,66.24,86.16,90.41,96.13,99.45,60.17,46.68,66.24,86.16,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,128,128,10000,0.0678513050079345,0.0744462013244628,367104
cora_run7epar93j_GraphSage,46.13,66.24,86.35,90.41,96.13,99.45,60.17,46.13,66.24,86.35,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,64,32,10000,0.0845532417297363,0.0915033817291259,183552
cora_run2plu8nhn_GraphSage,46.68,66.24,86.16,90.41,96.13,99.45,60.17,46.68,66.24,86.16,90.41,96.13,99.45,98.72,98.75,90.78,0.015,1024,128,256,10000,0.1076025962829589,0.1139783859252929,367104
cora_runupcax6ck_GraphSage,46.68,66.24,86.35,90.41,96.13,99.45,60.17,46.68,66.24,86.35,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,64,64,10000,0.1141369342803955,0.1209630966186523,183552
cora_run9021gk6b_GraphSage,46.68,66.24,86.16,90.41,96.13,99.45,60.17,46.68,66.24,86.16,90.41,96.13,99.45,98.8,98.8,90.78,0.015,1024,256,32,10000,0.0860941410064697,0.0925900936126709,734208
cora_runcno0o73e_GraphSage,46.68,66.24,86.35,90.41,96.13,99.45,60.17,46.68,66.24,86.35,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,64,128,10000,0.0958342552185058,0.1024978160858154,183552
cora_rune7cllq0n_GraphSage,46.68,66.24,86.16,90.41,96.13,98.52,60.17,46.68,66.24,86.16,90.41,96.13,98.52,98.8,98.8,90.78,0.015,1024,256,64,10000,0.0850636959075927,0.0918114185333252,734208
cora_runh217lmth_GraphSage,46.68,66.24,86.35,90.41,96.13,99.45,60.17,46.68,66.24,86.35,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,64,256,10000,0.1028363704681396,0.1100702285766601,183552
cora_run6d50y0u5_GraphSage,51.29,66.24,86.16,90.41,96.13,98.52,61.29,51.29,66.24,86.16,90.41,96.13,98.52,98.8,98.8,90.78,0.015,1024,256,128,10000,0.1142413616180419,0.1207492351531982,734208
cora_rund24sfrxq_GraphSage,46.68,66.24,86.16,90.41,96.13,99.45,60.17,46.68,66.24,86.16,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,128,32,10000,0.0655517578125,0.0755693912506103,367104
cora_runpvzwq73o_GraphSage,51.29,66.24,86.16,90.41,96.13,98.52,61.29,51.29,66.24,86.16,90.41,96.13,98.52,98.8,98.8,90.78,0.015,1024,256,256,10000,0.1033389568328857,0.1098859310150146,734208
cora_runaubouy4a_GraphSage,46.68,66.24,86.16,90.41,96.13,99.45,60.17,46.68,66.24,86.16,90.41,96.13,99.45,98.72,98.75,91.24,0.015,1024,128,64,10000,0.1000170707702636,0.1069543361663818,367104
cora_runfgvcaejm_GraphSage,51.29,66.24,86.16,90.41,96.13,98.52,61.29,51.29,66.24,86.16,90.41,96.13,98.52,98.8,98.8,90.78,0.01,1024,32,32,10000,0.1281630992889404,0.1347784996032714,91776
