Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,epochs,train_time,test_time,params
cora_runf4c2ndu6_SAGE_Variant_hyperxej9koub,44.46,64.76,80.44,89.11,96.31,98.15,57.76,44.46,64.76,80.44,89.11,96.31,98.15,98.14,98.24,93.36,256,256,400,0.2539567947387695,0.2690098285675049,996608
cora_runf4c2ndu6_SAGE_Variant_hyperbgr0kyr6,49.08,69.0,63.1,89.67,96.49,98.71,59.7,49.08,69.0,63.1,89.67,96.49,98.71,98.12,98.27,91.97,256,512,400,0.3393054008483886,0.3578629493713379,2255104
cora_runf4c2ndu6_SAGE_Variant_hyperlwj80qfi,35.61,76.38,78.78,92.99,95.94,97.05,53.03,35.61,76.38,78.78,92.99,95.94,97.05,97.56,98.09,93.27,512,256,400,0.2719635963439941,0.2873756885528564,1127936
cora_runsgobqx95_SAGE_Variant_hypery2jwszyb,30.07,41.51,88.01,92.8,95.94,97.79,42.7,30.07,41.51,88.01,92.8,95.94,97.79,97.8,98.39,93.73,256,256,1000,0.3854763507843017,0.393641710281372,996608
cora_runf4c2ndu6_SAGE_Variant_hyperlb4xzaxn,54.06,66.42,84.69,92.99,96.68,97.79,67.63,54.06,66.42,84.69,92.99,96.68,97.79,98.4,98.7,94.37,512,512,400,0.3523590564727783,0.3714678287506103,2517504
cora_runsgobqx95_SAGE_Variant_hypergocue4ei,52.95,49.63,88.75,92.99,96.31,97.23,61.8,52.95,49.63,88.75,92.99,96.31,97.23,97.87,98.53,94.74,256,512,1000,0.4915812015533447,0.504331111907959,2255104
cora_runqjzjikyp_SAGE_Variant_hyperxna0clw9,27.12,67.16,89.11,90.96,96.68,97.6,47.83,27.12,67.16,89.11,90.96,96.68,97.6,97.85,98.14,94.74,256,256,1000,0.5972929000854492,0.6063737869262695,996608
cora_runsgobqx95_SAGE_Variant_hyperw063rkl8,17.9,61.25,90.22,93.73,96.49,97.97,45.9,17.9,61.25,90.22,93.73,96.49,97.97,97.96,98.37,94.65,512,256,1000,0.838503360748291,0.8879697322845459,1127936
cora_runqjzjikyp_SAGE_Variant_hypernexqwygm,27.31,49.45,83.39,94.46,96.86,97.6,46.97,27.31,49.45,83.39,94.46,96.86,97.6,97.99,98.44,94.37,256,512,1000,0.5889952182769775,0.6124558448791504,2255104
cora_runsgobqx95_SAGE_Variant_hyper55h16oqu,31.73,77.49,91.51,92.62,96.31,97.79,57.61,31.73,77.49,91.51,92.62,96.31,97.79,98.09,98.55,93.82,512,512,1000,0.7950565814971924,0.8030087947845459,2517504
cora_runqjzjikyp_SAGE_Variant_hyperwizl65xy,68.63,78.04,91.7,92.99,96.13,97.97,75.18,68.63,78.04,91.7,92.99,96.13,97.97,98.02,98.59,94.93,512,256,1000,1.0662736892700195,1.074143886566162,1127936
cora_runqjzjikyp_SAGE_Variant_hyperzu1ngix6,45.94,63.1,87.45,93.73,96.68,97.42,59.42,45.94,63.1,87.45,93.73,96.68,97.42,98.11,98.51,94.93,512,512,1000,0.6833858489990234,0.8470034599304199,2517504
Best,68.63,78.04,91.7,94.46,96.86,98.71,75.18,68.63,78.04,91.7,94.46,96.86,98.71,98.4,98.7,94.93,512,512,1000,1.0662736892700195,1.074143886566162,2517504
