Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr
cora_runxz8zdsfm_VGAE,20.85,62.73,77.12,87.27,96.49,99.26,57.78,20.85,62.73,77.12,87.27,96.49,99.26,98.55,98.48,85.52,160,160,1024,0.01
cora_runzgzfu2hf_VGAE,20.85,63.28,77.12,86.9,96.49,99.26,57.81,20.85,63.28,77.12,86.9,96.49,99.26,98.55,98.48,85.61,160,160,1024,0.01
cora_run6ozbrw88_VGAE,43.91,56.27,85.61,91.14,97.05,99.08,56.85,43.91,56.27,85.61,91.14,97.05,99.08,98.68,98.71,88.84,160,160,1024,0.02
cora_runco2uxsug_VGAE,38.56,56.27,85.61,91.14,97.05,99.08,56.85,38.56,56.27,85.61,91.14,97.05,99.08,98.68,98.71,88.84,160,160,1024,0.04
cora_runhe99sqxw_VGAE,38.56,56.27,85.61,91.14,97.05,99.08,56.85,38.56,56.27,85.61,91.14,97.05,99.08,98.68,98.71,88.84,160,160,1024,0.1
cora_runh46bsw9v_VGAE,38.56,56.27,85.61,91.14,97.05,99.08,56.85,38.56,56.27,85.61,91.14,97.05,99.08,98.68,98.71,88.84,160,160,2048,0.01
cora_runrzg07wtb_VGAE,32.84,56.27,85.61,91.14,97.05,99.08,49.06,32.84,56.27,85.61,91.14,97.05,99.08,98.68,98.71,88.84,160,160,2048,0.02
cora_runiu4gufw6_VGAE,32.84,56.27,85.61,91.14,97.05,99.08,49.06,32.84,56.27,85.61,91.14,97.05,99.08,98.68,98.71,88.84,160,160,2048,0.04
cora_run5ginzlop_VGAE,32.84,56.27,85.61,91.14,97.05,99.08,49.06,32.84,56.27,85.61,91.14,97.05,99.08,98.68,98.71,88.84,160,160,2048,0.1
cora_runc9uxglya_VGAE,32.84,61.99,85.61,91.14,97.05,99.08,49.06,32.84,61.99,85.61,91.14,97.05,99.08,98.68,98.71,88.84,160,160,4096,0.01
cora_runzfk3kmdc_VGAE,32.84,63.65,85.61,89.48,97.97,99.26,49.06,32.84,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,4096,0.02
cora_runfa8zouvi_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,4096,0.04
cora_runewqb45u2_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,4096,0.1
cora_runw2zm5xyd_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,8192,0.01
cora_runl7p9vu7a_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,8192,0.02
cora_run1qgibwxe_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,8192,0.04
cora_run3bgqk69i_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,8192,0.1
cora_runv0aqpdil_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,16384,0.01
cora_runwy6s1029_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,16384,0.02
cora_run7xgzob00_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,16384,0.04
cora_run7wxitl2d_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,160,16384,0.1
cora_runbw9p0mhf_VGAE,46.31,63.65,85.61,89.48,97.97,99.26,57.34,46.31,63.65,85.61,89.48,97.97,99.26,98.6,98.61,88.84,160,176,1024,0.01
