Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
gae,0.1597,0.3118,0.4715,0.9163,0.2751,0.1597,0.3118,0.4715,0.9163,0.8765,0.8893,0.81369
cora_i1s63dth_gae,0.1369,0.1863,0.4068,0.9202,0.2274,0.1369,0.1863,0.4068,0.9202,0.881,0.8859,0.82129
cora_8icexiee_gae,0.1179,0.251,0.4943,0.9202,0.243,0.1179,0.251,0.4943,0.9202,0.8862,0.8955,0.8251
cora_41yr056j_gae,0.0646,0.289,0.3916,0.9125,0.2134,0.0646,0.289,0.3916,0.9125,0.8795,0.884,0.80989
cora_t54zyjcp_gae,0.1369,0.1521,0.251,0.8935,0.1907,0.1369,0.1521,0.251,0.8935,0.8499,0.8524,0.80798
cora_q34rxvck_gae,0.0989,0.2243,0.5095,0.8935,0.2186,0.0989,0.2243,0.5095,0.8935,0.8455,0.8669,0.78517
cora_85vdnpj3_gae,0.2776,0.346,0.5856,0.9202,0.3574,0.2776,0.346,0.5856,0.9202,0.8928,0.9094,0.8289
cora_xpsnwv58_gae,0.0684,0.1901,0.3992,0.924,0.1876,0.0684,0.1901,0.3992,0.924,0.8819,0.8825,0.79848
cora_ybncmvtn_gae,0.0152,0.1255,0.5475,0.8935,0.158,0.0152,0.1255,0.5475,0.8935,0.8769,0.8807,0.8289
cora_gf88mj3q_gae,0.3612,0.4525,0.6502,0.9202,0.4432,0.3612,0.4525,0.6502,0.9202,0.9165,0.9276,0.78327
cora_46b0njye_gae,0.2205,0.327,0.5361,0.9049,0.3176,0.2205,0.327,0.5361,0.9049,0.8736,0.8946,0.78897
cora_bqmebtqx_gae,0.0798,0.2471,0.4183,0.8935,0.2048,0.0798,0.2471,0.4183,0.8935,0.8696,0.8773,0.79087
cora_ppx6lzfo_gae,0.2167,0.4487,0.6426,0.9087,0.37,0.2167,0.4487,0.6426,0.9087,0.9057,0.92,0.74715
cora_1wn1knqs_gae,0.2433,0.384,0.5551,0.9163,0.3504,0.2433,0.384,0.5551,0.9163,0.8892,0.9097,0.81939
cora_8j0a5czr_gae,0.0951,0.1445,0.4183,0.8973,0.1887,0.0951,0.1445,0.4183,0.8973,0.8553,0.8657,0.81179
cora_lhcm2cfn_gae,0.1445,0.3118,0.5513,0.9163,0.2645,0.1445,0.3118,0.5513,0.9163,0.8937,0.9036,0.79658
cora_b8t9y5xk_gae,0.1065,0.2662,0.3308,0.8707,0.1994,0.1065,0.2662,0.3308,0.8707,0.8407,0.8578,0.76996
cora_eusntrww_gae,0.4449,0.4943,0.7186,0.9316,0.5032,0.4449,0.4943,0.7186,0.9316,0.9121,0.9282,0.76996
cora_3jkuxad5_gae,0.1369,0.1673,0.4525,0.8783,0.2095,0.1369,0.1673,0.4525,0.8783,0.8511,0.8686,0.80989
cora_bp9gp1lm_gae,0.1825,0.2319,0.5932,0.9163,0.2837,0.1825,0.2319,0.5932,0.9163,0.9045,0.9093,0.75285
cora_8lsi92o5_gae,0.2814,0.3612,0.5779,0.8935,0.3565,0.2814,0.3612,0.5779,0.8935,0.8848,0.9045,0.80228
cora_8sjwd9fp_gae,0.1597,0.2357,0.4639,0.8935,0.2473,0.1597,0.2357,0.4639,0.8935,0.8632,0.8804,0.81369
cora_4uxxluf5_gae,0.0951,0.4259,0.5057,0.9087,0.2566,0.0951,0.4259,0.5057,0.9087,0.8941,0.9034,0.80608
cora_qmx98ax3_gae,0.1635,0.1787,0.4183,0.8935,0.2357,0.1635,0.1787,0.4183,0.8935,0.8834,0.8854,0.73954
cora_q9bcyuyx_gae,0.0646,0.2471,0.5247,0.9163,0.2181,0.0646,0.2471,0.5247,0.9163,0.8921,0.9006,0.79658
cora_629dfdrd_gae,0.2433,0.2776,0.4487,0.9011,0.3046,0.2433,0.2776,0.4487,0.9011,0.8625,0.8824,0.81369
cora_aqyqj0rc_gae,0.1711,0.5209,0.635,0.8973,0.3757,0.1711,0.5209,0.635,0.8973,0.8974,0.9154,0.75856
cora_yntgktfx_gae,0.1407,0.2053,0.3992,0.924,0.2231,0.1407,0.2053,0.3992,0.924,0.8834,0.883,0.77947
cora_raho5xn0_gae,0.1711,0.5209,0.6236,0.9163,0.3564,0.1711,0.5209,0.6236,0.9163,0.9118,0.9223,0.77757
cora_w75g7m53_gae,0.1863,0.4183,0.5741,0.9049,0.336,0.1863,0.4183,0.5741,0.9049,0.8986,0.9121,0.74715
cora_xb2ghxh4_gae,0.1597,0.2091,0.4221,0.9278,0.2341,0.1597,0.2091,0.4221,0.9278,0.8843,0.8834,0.78897
cora_bo9wz3io_gae,0.2167,0.4867,0.616,0.9125,0.3724,0.2167,0.4867,0.616,0.9125,0.9104,0.9202,0.75285
cora_xm1x1fqb_gae,0.0913,0.1673,0.3802,0.8935,0.1848,0.0913,0.1673,0.3802,0.8935,0.865,0.8724,0.827
