Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runnxpxrsen_GAT_Variant,28.97,45.2,76.94,90.59,97.42,98.52,56.28,28.97,45.2,76.94,90.59,97.42,98.52,98.49,98.44,87.36,32,32,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,inner,2000,0.09722900390625,0.1726398468017578,45952
cora_runnxpxrsen_GAT_Variant,93.91,95.39,97.05,98.15,98.52,99.26,94.59,93.91,95.39,97.05,98.15,98.52,99.26,99.33,99.55,97.14,32,32,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,dot,2000,0.164797306060791,0.200425386428833,52289
cora_runnxpxrsen_GAT_Variant,93.91,95.39,97.05,98.15,98.52,99.26,94.59,93.91,95.39,97.05,98.15,98.52,99.26,99.33,99.55,97.14,32,32,4,0.1,0.0,2,0.015,3,2,64,1,3,0.1,inner,2000,0.1052007675170898,0.193328857421875,47072
cora_runnxpxrsen_GAT_Variant,93.91,95.39,97.05,98.15,98.52,99.26,94.59,93.91,95.39,97.05,98.15,98.52,99.26,99.33,99.55,97.14,32,32,4,0.1,0.0,2,0.015,3,2,64,1,3,0.1,dot,2000,0.1253068447113037,0.1438090801239013,53409
cora_runnxpxrsen_GAT_Variant,93.91,95.39,97.05,98.15,98.52,99.26,94.59,93.91,95.39,97.05,98.15,98.52,99.26,99.33,99.55,97.14,32,32,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,inner,2000,0.1375727653503418,0.2208781242370605,48192
cora_runnxpxrsen_GAT_Variant,93.91,95.39,97.05,98.15,98.52,99.26,94.59,93.91,95.39,97.05,98.15,98.52,99.26,99.33,99.55,97.14,32,32,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,2000,0.1901705265045166,0.2089917659759521,54529
cora_runnxpxrsen_GAT_Variant,93.91,95.39,97.05,98.15,98.52,99.26,94.59,93.91,95.39,97.05,98.15,98.52,99.26,99.33,99.55,97.14,32,32,4,0.1,0.1,1,0.015,3,2,64,1,3,0.1,inner,2000,0.0927906036376953,0.147301435470581,45952
cora_runnxpxrsen_GAT_Variant,95.02,95.39,97.05,98.15,98.52,99.45,95.38,95.02,95.39,97.05,98.15,98.52,99.45,99.33,99.55,97.14,32,32,4,0.1,0.1,1,0.015,3,2,64,1,3,0.1,dot,2000,0.1341586112976074,0.1434860229492187,52289
cora_runnxpxrsen_GAT_Variant,95.02,95.39,97.05,98.15,98.52,99.45,95.38,95.02,95.39,97.05,98.15,98.52,99.45,99.33,99.55,97.14,32,32,4,0.1,0.1,2,0.015,3,2,64,1,3,0.1,inner,2000,0.155574083328247,0.1681690216064453,47072
cora_runnxpxrsen_GAT_Variant,95.02,95.39,97.05,98.15,98.52,99.45,95.38,95.02,95.39,97.05,98.15,98.52,99.45,99.33,99.55,97.14,32,32,4,0.1,0.1,2,0.015,3,2,64,1,3,0.1,dot,2000,0.1535778045654297,0.2068009376525879,53409
cora_runnxpxrsen_GAT_Variant,95.02,95.39,97.05,98.15,98.52,99.45,95.38,95.02,95.39,97.05,98.15,98.52,99.45,99.33,99.55,97.14,32,32,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,0.1252548694610595,0.1665747165679931,48192
cora_runjjq8or1x_GAT_Variant,28.97,45.2,77.68,89.48,97.42,98.52,56.17,28.97,45.2,77.68,89.48,97.42,98.52,98.48,98.43,87.36,32,32,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,inner,2000,0.1917562484741211,0.2136728763580322,45952
cora_runnxpxrsen_GAT_Variant,95.02,95.39,97.05,98.15,98.52,99.45,95.38,95.02,95.39,97.05,98.15,98.52,99.45,99.33,99.55,97.14,32,32,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,dot,2000,0.1156203746795654,0.1336896419525146,54529
cora_runjjq8or1x_GAT_Variant,93.91,95.39,96.49,98.15,98.52,99.26,94.59,93.91,95.39,96.49,98.15,98.52,99.26,99.34,99.55,97.14,32,32,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,dot,2000,0.174483060836792,0.186845064163208,52289
