Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runqdkef9m6_GCN_Variant_hyperu1siq52h,37.08,53.87,75.65,87.82,96.31,98.89,49.65,37.08,53.87,75.65,87.82,96.31,98.89,98.25,98.13,83.49,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,1000,0.585669994354248,0.605614185333252,22944
cora_runqdkef9m6_GCN_Variant_hyperl3otcx5d,37.08,53.87,83.03,92.99,97.79,98.52,49.65,37.08,53.87,83.03,92.99,97.79,98.52,98.34,98.38,95.76,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,dot,1000,0.3692402839660644,0.3765957355499267,22961
cora_runqdkef9m6_GCN_Variant_hyperurhnxuzw,37.08,53.87,83.03,92.99,97.79,98.52,49.65,37.08,53.87,83.03,92.99,97.79,98.52,98.34,98.38,95.76,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,inner,1000,0.4569730758666992,0.4649014472961426,22944
cora_runqdkef9m6_GCN_Variant_hypera9u7dbb3,37.08,40.96,90.41,95.76,97.79,98.71,49.65,37.08,40.96,90.41,95.76,97.79,98.71,98.74,98.83,96.22,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,dot,1000,0.2290124893188476,0.3416621685028076,24097
cora_runqdkef9m6_GCN_Variant_hyperf6eeb53s,37.08,40.96,90.41,95.76,97.79,98.71,49.5,37.08,40.96,90.41,95.76,97.79,98.71,98.74,98.83,96.22,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,inner,1000,0.4947848320007324,0.5020265579223633,22944
cora_runqdkef9m6_GCN_Variant_hyper17jdfi2l,20.3,61.99,90.41,95.76,97.79,98.89,42.95,20.3,61.99,90.41,95.76,97.79,98.89,98.74,98.83,96.59,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,dot,1000,0.4778981208801269,0.4857771396636963,28257
cora_runqdkef9m6_GCN_Variant_hypert5qip0pi,20.3,61.99,90.41,95.76,97.79,98.89,42.95,20.3,61.99,90.41,95.76,97.79,98.89,98.74,98.83,96.59,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,inner,1000,0.5686523914337158,0.5761785507202148,22944
cora_runqdkef9m6_GCN_Variant_hyperfvk7l28g,20.3,61.99,90.41,95.76,97.79,98.89,42.95,20.3,61.99,90.41,95.76,97.79,98.89,98.74,98.83,96.59,16,16,1024,0.1,1,0.1,0.015,1,2,32,1,1,0.1,dot,1000,0.7165670394897461,0.7241756916046143,22961
Tune,38.38,82.66,92.44,95.94,97.23,98.34,69.26,38.38,82.66,92.44,95.94,97.23,98.34,99.12,99.18,85.89,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,2000,0.1095848083496093,0.1164124011993408,22944
Tune,90.96,92.99,95.2,96.86,97.97,98.71,92.23,90.96,92.99,95.2,96.86,97.97,98.71,98.99,99.25,96.96,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,dot,2000,0.1154005527496337,0.1227514743804931,22961
Tune,90.96,92.99,95.2,96.86,97.97,98.71,92.23,90.96,92.99,95.2,96.86,97.97,98.71,98.99,99.25,96.96,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,inner,2000,0.096682071685791,0.1035120487213134,22944
Tune,38.38,82.66,92.44,95.94,97.23,98.34,69.26,38.38,82.66,92.44,95.94,97.23,98.34,99.12,99.18,85.89,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,2000,0.1012346744537353,0.1082081794738769,22944
Tune,90.96,92.99,95.2,96.86,97.97,98.71,92.23,90.96,92.99,95.2,96.86,97.97,98.71,98.99,99.25,96.96,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,dot,2000,0.1077721118927002,0.1151196956634521,24097
Tune,90.96,92.99,95.2,96.86,97.97,98.71,92.23,90.96,92.99,95.2,96.86,97.97,98.71,98.99,99.25,96.96,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,dot,2000,0.12650728225708,0.1338565349578857,22961
Tune,90.96,92.99,95.2,96.86,97.97,98.71,92.23,90.96,92.99,95.2,96.86,97.97,98.71,98.99,99.25,96.96,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,inner,2000,0.1183187961578369,0.1254489421844482,22944
