Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runegktlzg0_GIN_Variant,66.97,85.42,93.54,95.76,97.23,99.26,77.91,66.97,85.42,93.54,95.76,97.23,99.26,99.24,99.31,95.94,64,64,1,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.059359073638916,0.092034101486206,91776
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,1,0.0089,1,3,2,64,1,3,0.1,dot,2000,0.3291103839874267,0.4106373786926269,100161
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,1,0.0089,2,3,2,64,1,3,0.1,inner,2000,0.1289043426513672,0.2277834415435791,95936
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,1,0.0089,2,3,2,64,1,3,0.1,dot,2000,0.0917088985443115,0.1207554340362548,104321
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,1,0.0089,3,3,2,64,1,3,0.1,inner,2000,0.1342239379882812,0.1489534378051757,100096
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,1,0.0089,3,3,2,64,1,3,0.1,dot,2000,0.126706838607788,0.1481218338012695,108481
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,2,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.1121525764465332,0.1521697044372558,95936
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,2,0.0089,1,3,2,64,1,3,0.1,dot,2000,0.1488292217254638,0.1700239181518554,104321
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,2,0.0089,2,3,2,64,1,3,0.1,inner,2000,0.1311743259429931,0.176112413406372,104256
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,2,0.0089,2,3,2,64,1,3,0.1,dot,2000,0.2731087207794189,0.2865147590637207,112641
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,2,0.0089,3,3,2,64,1,3,0.1,inner,2000,0.0831813812255859,0.1431782245635986,112576
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,2,0.0089,3,3,2,64,1,3,0.1,dot,2000,0.1484942436218261,0.3160760402679443,120961
cora_runegktlzg0_GIN_Variant,93.54,94.46,96.13,97.42,98.15,98.71,94.69,93.54,94.46,96.13,97.42,98.15,98.71,99.39,99.52,97.14,64,64,3,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.1755003929138183,0.2543065547943115,100096
