Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_run0vpgrf2s_SAGE_Variant,20.66,75.46,83.95,89.67,94.65,97.05,62.74,20.66,75.46,83.95,89.67,94.65,97.05,97.42,98.02,90.41,128,64,0.0089,3,2,64,1,3,0.1,inner,2000,0.0934705734252929,0.1467037200927734,208256
cora_run0vpgrf2s_SAGE_Variant,20.11,85.24,93.54,95.76,98.52,98.89,52.91,20.11,85.24,93.54,95.76,98.52,98.89,99.12,99.04,93.08,128,64,0.0089,3,2,64,1,3,0.1,dot,2000,0.1349961757659912,0.1536641120910644,220737
cora_run0vpgrf2s_SAGE_Variant,20.11,85.24,93.54,95.76,98.52,98.89,52.91,20.11,85.24,93.54,95.76,98.52,98.89,99.12,99.04,93.08,128,128,0.0089,3,2,64,1,3,0.1,inner,2000,0.128659963607788,0.1495223045349121,432768
cora_run0vpgrf2s_SAGE_Variant,20.11,85.24,90.41,95.76,98.52,98.89,52.91,20.11,85.24,90.41,95.76,98.52,98.89,99.12,99.04,93.08,128,128,0.0089,3,2,64,1,3,0.1,dot,2000,0.1586966514587402,0.188854694366455,445249
cora_run0vpgrf2s_SAGE_Variant,20.11,85.24,90.41,95.76,98.52,98.89,52.91,20.11,85.24,90.41,95.76,98.52,98.89,99.12,99.04,94.0,128,256,0.0089,3,2,64,1,3,0.1,inner,2000,0.1301696300506591,0.186671495437622,930944
cora_run0vpgrf2s_SAGE_Variant,20.11,84.5,90.41,94.65,97.05,98.89,87.64,20.11,84.5,90.41,94.65,97.05,98.89,99.12,99.04,94.0,128,256,0.0089,3,2,64,1,3,0.1,dot,2000,0.1958239078521728,0.2176649570465088,943425
cora_run0vpgrf2s_SAGE_Variant,20.11,84.5,90.41,94.65,97.05,98.89,87.64,20.11,84.5,90.41,94.65,97.05,98.89,99.12,99.04,94.0,256,64,0.0089,3,2,64,1,3,0.1,inner,2000,0.0931084156036377,0.1783318519592285,224768
cora_run0vpgrf2s_SAGE_Variant,20.11,89.48,90.41,94.65,97.05,98.89,87.64,20.11,89.48,90.41,94.65,97.05,98.89,99.12,99.04,94.0,256,64,0.0089,3,2,64,1,3,0.1,dot,2000,0.1299514770507812,0.1917841434478759,245441
cora_run0vpgrf2s_SAGE_Variant,20.11,89.48,90.41,94.65,97.05,98.89,87.64,20.11,89.48,90.41,94.65,97.05,98.89,99.12,99.04,94.19,256,128,0.0089,3,2,64,1,3,0.1,inner,2000,0.1192395687103271,0.188676118850708,465664
cora_run0vpgrf2s_SAGE_Variant,20.11,86.53,90.41,94.65,95.76,98.15,82.77,20.11,86.53,90.41,94.65,95.76,98.15,98.7,98.79,94.19,256,128,0.0089,3,2,64,1,3,0.1,dot,2000,0.1944115161895752,0.2338433265686035,486337
cora_run0vpgrf2s_SAGE_Variant,20.11,86.53,90.41,94.65,95.76,98.15,82.77,20.11,86.53,90.41,94.65,95.76,98.15,98.7,98.79,95.29,256,256,0.0089,3,2,64,1,3,0.1,inner,2000,0.1382427215576172,0.1751384735107422,996608
cora_run0vpgrf2s_SAGE_Variant,66.05,84.69,92.99,94.65,95.76,98.15,70.01,66.05,84.69,92.99,94.65,95.76,98.15,98.7,98.79,95.29,256,256,0.0089,3,2,64,1,3,0.1,dot,2000,0.1491024494171142,0.1708054542541504,1017281
cora_run5uzlyijt_SAGE_Variant,36.16,70.3,89.11,92.44,95.02,97.23,50.77,36.16,70.3,89.11,92.44,95.02,97.23,97.7,98.1,92.99,128,64,0.0089,3,2,64,1,3,0.1,inner,2000,0.1329402923583984,0.1837897300720214,208256
cora_run5uzlyijt_SAGE_Variant,80.26,83.76,93.17,95.39,97.97,98.52,84.39,80.26,83.76,93.17,95.39,97.97,98.52,99.24,99.33,94.56,128,64,0.0089,3,2,64,1,3,0.1,dot,2000,0.1000878810882568,0.1575386524200439,220737
cora_run5uzlyijt_SAGE_Variant,80.26,83.76,93.17,95.39,97.97,98.52,84.39,80.26,83.76,93.17,95.39,97.97,98.52,99.24,99.33,94.56,128,128,0.0089,3,2,64,1,3,0.1,inner,2000,0.1461341381072998,0.1564600467681884,432768
cora_run5uzlyijt_SAGE_Variant,78.23,83.76,93.54,95.39,97.97,98.52,84.39,78.23,83.76,93.54,95.39,97.97,98.52,99.24,99.33,94.56,128,128,0.0089,3,2,64,1,3,0.1,dot,2000,0.1265919208526611,0.1645858287811279,445249
cora_run5uzlyijt_SAGE_Variant,78.23,83.76,93.54,95.39,97.97,98.52,84.39,78.23,83.76,93.54,95.39,97.97,98.52,99.24,99.33,94.56,128,256,0.0089,3,2,64,1,3,0.1,inner,2000,0.123772382736206,0.1475450992584228,930944
cora_run5uzlyijt_SAGE_Variant,88.56,91.33,92.8,95.02,97.05,98.89,90.13,88.56,91.33,92.8,95.02,97.05,98.89,98.71,98.98,94.56,128,256,0.0089,3,2,64,1,3,0.1,dot,2000,0.2331838607788086,0.2496435642242431,943425
cora_run5uzlyijt_SAGE_Variant,88.56,91.33,92.8,95.02,97.05,98.89,90.13,88.56,91.33,92.8,95.02,97.05,98.89,98.71,98.98,94.56,256,64,0.0089,3,2,64,1,3,0.1,inner,2000,0.1312038898468017,0.1437547206878662,224768
cora_run5uzlyijt_SAGE_Variant,88.56,91.33,92.8,95.02,97.05,98.89,90.13,88.56,91.33,92.8,95.02,97.05,98.89,98.71,98.98,94.56,256,64,0.0089,3,2,64,1,3,0.1,dot,2000,0.1043603420257568,0.1424622535705566,245441
cora_run5uzlyijt_SAGE_Variant,88.56,91.33,92.8,95.02,97.05,98.89,90.13,88.56,91.33,92.8,95.02,97.05,98.89,98.71,98.98,93.82,256,128,0.0089,3,2,64,1,3,0.1,inner,2000,0.1484823226928711,0.1904582977294922,465664
cora_run5uzlyijt_SAGE_Variant,58.67,91.33,92.8,94.83,97.05,98.89,74.13,58.67,91.33,92.8,94.83,97.05,98.89,98.82,98.92,93.27,256,128,0.0089,3,2,64,1,3,0.1,dot,2000,0.1163465976715087,0.1826610565185547,486337
cora_run5uzlyijt_SAGE_Variant,58.67,91.33,92.8,94.83,97.05,98.89,74.13,58.67,91.33,92.8,94.83,97.05,98.89,98.82,98.92,95.66,256,256,0.0089,3,2,64,1,3,0.1,inner,2000,0.09859299659729,0.1239666938781738,996608
cora_run5uzlyijt_SAGE_Variant,72.88,85.24,93.17,95.02,97.05,98.89,79.98,72.88,85.24,93.17,95.02,97.05,98.89,98.82,98.92,95.66,256,256,0.0089,3,2,64,1,3,0.1,dot,2000,0.1061909198760986,0.1311206817626953,1017281
cora_runyo2iif27_SAGE_Variant,33.21,67.9,89.48,92.07,95.57,96.49,49.94,33.21,67.9,89.48,92.07,95.57,96.49,97.44,98.11,93.36,128,64,0.0089,3,2,64,1,3,0.1,inner,2000,0.1232168674468994,0.1344177722930908,208256
cora_runyo2iif27_SAGE_Variant,80.81,86.35,92.99,94.1,97.79,98.34,83.75,80.81,86.35,92.99,94.1,97.79,98.34,98.84,99.15,93.08,128,64,0.0089,3,2,64,1,3,0.1,dot,2000,0.1217193603515625,0.1428375244140625,220737
