Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ncn-cora,27.38 ± 23.42,62.58 ± 15.47,78.08 ± 8.60,87.01 ± 3.80,96.16 ± 1.62,98.74 ± 0.96,45.76 ± 16.39,27.38 ± 23.42,62.58 ± 15.47,78.08 ± 8.60,87.01 ± 3.80,96.16 ± 1.62,98.74 ± 0.96,96.66 ± 1.14,96.68 ± 1.23,90.81 ± 2.01
ncnc-cora,32.77 ± 25.31,53.14 ± 23.85,79.48 ± 6.58,87.45 ± 4.05,95.42 ± 2.41,98.67 ± 0.76,48.68 ± 18.60,32.77 ± 25.31,53.14 ± 23.85,79.48 ± 6.58,87.45 ± 4.05,95.42 ± 2.41,98.67 ± 0.76,96.56 ± 1.04,96.30 ± 1.38,90.67 ± 1.84
seal-cora,20.81 ± 12.91,38.19 ± 11.51,60.55 ± 9.37,69.56 ± 7.41,87.38 ± 3.06,92.03 ± 2.96,37.81 ± 9.93,20.81 ± 12.91,38.19 ± 11.51,60.55 ± 9.37,69.56 ± 7.41,87.38 ± 3.06,92.03 ± 2.96,95.11 ± 1.07,95.68 ± 0.97,75.44 ± 7.49
buddy-cora,16.68 ± 3.91,35.28 ± 13.81,61.70 ± 8.82,73.73 ± 6.92,87.82 ± 3.41,95.42 ± 2.26,30.78 ± 5.55,16.68 ± 3.91,35.28 ± 13.81,61.70 ± 8.82,73.73 ± 6.92,87.82 ± 3.41,95.42 ± 2.26,93.35 ± 1.41,93.02 ± 1.47,68.19 ± 14.49
minilm-cora-origin,24.87 ± 3.61,39.71 ± 9.91,61.11 ± 0.20,65.68 ± 1.08,83.39 ± 0.00,92.99 ± 0.00,34.29 ± 4.10,24.87 ± 3.61,39.71 ± 9.91,61.11 ± 0.20,65.68 ± 1.08,83.39 ± 0.00,92.99 ± 0.00,91.22 ± 0.04,91.90 ± 0.03,82.51 ± 0.16
e5-large-cora-origin,14.98 ± 5.38,20.15 ± 2.46,34.61 ± 6.78,49.15 ± 1.68,64.35 ± 1.56,83.10 ± 0.80,24.40 ± 2.48,14.98 ± 5.38,17.93 ± 2.58,32.33 ± 3.18,38.23 ± 1.00,55.57 ± 0.20,77.12 ± 5.79,83.87 ± 0.23,84.60 ± 0.23,74.24 ± 3.56
buddy-cora,20.15 ± 6.30,35.28 ± 13.81,61.70 ± 8.82,75.57 ± 5.43,87.82 ± 3.41,95.42 ± 2.26,33.19 ± 4.80,20.15 ± 6.30,35.28 ± 13.81,61.70 ± 8.82,75.57 ± 5.43,87.82 ± 3.41,95.42 ± 2.26,93.35 ± 1.41,93.02 ± 1.47,68.19 ± 14.49
elph-cora,23.54 ± 16.98,49.37 ± 5.68,62.21 ± 6.02,71.81 ± 4.50,87.30 ± 4.94,94.91 ± 2.17,39.86 ± 10.20,23.54 ± 16.98,49.37 ± 5.68,62.21 ± 6.02,71.81 ± 4.50,87.30 ± 4.94,94.91 ± 2.17,92.63 ± 1.90,93.23 ± 1.44,68.41 ± 9.08
bert-cora-origin,0.30 ± 0.31,1.62 ± 0.85,14.76 ± 2.54,20.59 ± 3.83,35.79 ± 2.50,56.90 ± 3.26,3.42 ± 0.47,0.30 ± 0.31,1.62 ± 0.85,14.76 ± 2.54,20.59 ± 3.83,35.79 ± 2.50,55.79 ± 2.48,65.09 ± 1.41,63.26 ± 1.26,61.47 ± 0.86
neognn-cora,24.58 ± 11.65,50.41 ± 5.33,67.38 ± 6.03,75.06 ± 5.23,81.03 ± 3.11,90.04 ± 2.02,41.48 ± 5.11,24.58 ± 11.65,50.41 ± 5.33,67.38 ± 6.03,75.06 ± 5.23,81.03 ± 3.11,90.04 ± 2.02,91.02 ± 1.08,92.67 ± 1.35,82.55 ± 2.57
llama-cora-origin,12.25 ± 4.85,42.21 ± 3.64,56.31 ± 6.82,71.36 ± 2.26,89.15 ± 0.72,95.64 ± 0.41,31.19 ± 3.49,12.25 ± 4.85,42.21 ± 3.64,56.31 ± 6.82,71.36 ± 2.26,89.15 ± 0.72,95.64 ± 0.41,92.60 ± 0.12,91.92 ± 0.50,85.42 ± 0.69
Best,32.77,62.58,79.48,87.45,96.16,98.74,48.68,32.77,62.58,79.48,87.45,96.16,98.74,96.66,96.68,90.81
