Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
e5-large-citationv8-origin,39.07 ± 1.79,53.81 ± 4.70,72.14 ± 0.31,80.33 ± 0.29,88.71 ± 0.17,93.29 ± 0.15,48.44 ± 0.96,39.07 ± 1.79,53.81 ± 4.70,72.14 ± 0.31,80.33 ± 0.29,88.71 ± 0.17,93.29 ± 0.15,98.05 ± 0.01,98.16 ± 0.01,92.37 ± 0.10
minilm-citationv8-origin,27.59 ± 0.87,45.55 ± 0.95,66.67 ± 1.06,78.17 ± 0.38,89.96 ± 0.25,94.45 ± 0.11,38.99 ± 0.56,27.59 ± 0.87,45.55 ± 0.95,66.67 ± 1.06,78.17 ± 0.38,89.96 ± 0.25,94.45 ± 0.11,97.86 ± 0.01,97.95 ± 0.01,93.30 ± 0.11
bert-citationv8-origin,1.54 ± 0.71,5.34 ± 2.07,14.90 ± 0.51,24.65 ± 1.19,41.49 ± 2.15,55.18 ± 1.36,6.17 ± 0.39,1.54 ± 0.71,5.34 ± 2.07,14.90 ± 0.51,24.65 ± 1.19,41.49 ± 2.15,55.18 ± 1.36,86.22 ± 0.48,85.49 ± 0.18,78.02 ± 0.50
minilm-pwc_medium-origin,19.90 ± 1.94,47.87 ± 3.75,68.25 ± 0.83,78.74 ± 0.48,90.55 ± 0.58,95.59 ± 0.31,37.82 ± 1.13,19.90 ± 1.94,47.87 ± 3.75,68.25 ± 0.83,78.74 ± 0.48,90.55 ± 0.58,95.59 ± 0.31,98.39 ± 0.04,98.31 ± 0.04,93.37 ± 0.26
e5-large-ogbn-arxiv-origin,25.50 ± 1.75,55.92 ± 2.32,74.07 ± 0.38,80.43 ± 0.62,90.16 ± 0.22,94.02 ± 0.24,42.85 ± 1.18,25.50 ± 1.75,55.92 ± 2.32,74.07 ± 0.38,80.43 ± 0.62,90.16 ± 0.22,94.02 ± 0.24,97.92 ± 0.01,98.09 ± 0.02,92.92 ± 0.23
e5-large-pwc_medium-origin,48.04 ± 0.91,53.90 ± 0.70,65.17 ± 0.39,76.82 ± 1.01,88.49 ± 0.32,93.81 ± 0.17,53.72 ± 0.65,48.04 ± 0.91,53.90 ± 0.70,65.17 ± 0.39,76.82 ± 1.01,88.49 ± 0.32,93.81 ± 0.17,97.83 ± 0.01,97.95 ± 0.01,92.86 ± 0.14
minilm-ogbn-arxiv-origin,24.77 ± 1.70,45.60 ± 1.06,71.34 ± 0.84,80.05 ± 0.46,88.63 ± 0.22,95.13 ± 0.10,41.11 ± 1.23,24.77 ± 1.70,45.60 ± 1.06,71.34 ± 0.84,80.05 ± 0.46,88.63 ± 0.22,95.13 ± 0.10,98.20 ± 0.01,98.22 ± 0.01,93.31 ± 0.14
bert-pwc_medium-origin,2.53 ± 0.38,6.53 ± 1.41,14.00 ± 2.45,22.52 ± 1.80,39.69 ± 2.77,52.32 ± 1.15,6.93 ± 0.56,2.53 ± 0.38,6.53 ± 1.41,14.00 ± 2.45,22.52 ± 1.80,39.69 ± 2.77,52.32 ± 1.15,83.85 ± 0.33,83.57 ± 0.33,74.87 ± 0.33
bert-ogbn-arxiv-origin,1.66 ± 0.45,4.06 ± 2.14,14.45 ± 2.78,27.30 ± 2.64,43.68 ± 0.88,58.88 ± 0.75,6.00 ± 0.49,1.66 ± 0.45,4.06 ± 2.14,14.45 ± 2.78,27.30 ± 2.64,43.68 ± 0.88,58.88 ± 0.75,86.89 ± 0.26,86.18 ± 0.33,78.85 ± 0.48
llama-ogbn-arxiv-origin,28.63 ± 11.97,64.23 ± 5.65,81.35 ± 1.38,87.47 ± 1.05,94.47 ± 0.72,97.82 ± 0.32,46.21 ± 5.87,28.63 ± 11.97,64.23 ± 5.65,81.35 ± 1.38,87.47 ± 1.05,94.47 ± 0.72,97.82 ± 0.32,99.06 ± 0.05,99.00 ± 0.04,95.13 ± 0.20
Best,48.04,68.17,81.35,87.47,95.33,98.62,53.72,48.04,68.17,81.35,87.47,95.33,98.62,99.06,99.0,95.13
