Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
pubmed_27i4ctet_gae,0.1137,0.199,0.4048,0.8389,0.2001,0.1137,0.199,0.4048,0.8389,0.9585,0.9622,0.80415
pubmed_x1t36n5y_gae,0.0356,0.2098,0.4197,0.8484,0.1494,0.0356,0.2098,0.4197,0.8484,0.9615,0.9639,0.77166
pubmed_plhjp0vv_gae,0.0907,0.1408,0.449,0.866,0.1765,0.0907,0.1408,0.449,0.866,0.9656,0.968,0.77324
pubmed_tqp7eslk_gae,0.0727,0.1539,0.3818,0.8348,0.1601,0.0727,0.1539,0.3818,0.8348,0.9595,0.9615,0.76895
pubmed_a3y1l1vt_gae,0.2929,0.3628,0.5284,0.866,0.3621,0.2929,0.3628,0.5284,0.866,0.9674,0.9718,0.76557
pubmed_thiiu3cd_gae,0.1015,0.2247,0.3903,0.8538,0.2058,0.1015,0.2247,0.3903,0.8538,0.9673,0.9682,0.78588
pubmed_w3djm4nu_gae,0.0948,0.2207,0.4513,0.8533,0.1988,0.0948,0.2207,0.4513,0.8533,0.9641,0.9673,0.80866
pubmed_xbgqizrl_gae,0.1999,0.2495,0.3976,0.8281,0.2634,0.1999,0.2495,0.3976,0.8281,0.9596,0.9632,0.7931
pubmed_6tmhclld_gae,0.0875,0.2947,0.4368,0.8588,0.2105,0.0875,0.2947,0.4368,0.8588,0.9631,0.9665,0.77911
pubmed_2xtgjc9j_gae,0.0618,0.218,0.4468,0.8303,0.1919,0.0618,0.218,0.4468,0.8303,0.9589,0.9619,0.77076
Best,0.2929,0.3628,0.5284,0.866,0.3621,0.2929,0.3628,0.5284,0.866,0.9674,0.9718,0.80866
