Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,base_lr,batch_size,epochs
pubmed_runv3pkm9ic_GAE,12.3,17.42,29.72,43.8,70.49,85.51,18.03,12.3,17.42,29.72,43.8,70.49,85.51,98.58,98.29,79.42,64,64,0.1,1024,100
pubmed_run2h2iu293_GAE,12.3,14.28,29.72,40.59,71.28,85.51,17.74,12.3,14.28,29.72,40.59,71.28,85.51,98.65,98.35,78.75,64,64,0.1,2048,100
pubmed_run8bfc8goj_GAE,9.81,16.58,43.91,62.25,82.13,93.91,18.96,9.81,16.58,43.91,62.25,82.13,93.91,99.16,99.03,81.0,64,64,0.1,1024,400
pubmed_runvhocv3v9_GAE,7.85,16.58,43.91,62.25,82.13,94.43,17.72,7.85,16.58,43.91,62.25,82.13,94.43,99.16,99.03,82.23,64,64,0.1,2048,400
pubmed_runft2ygy1t_GAE,7.85,16.58,43.91,62.25,83.84,93.89,17.72,7.85,16.58,43.91,62.25,83.84,93.89,99.16,99.03,80.64,64,64,0.1,4096,400
pubmed_run3hiwrg6r_GAE,9.36,16.58,43.91,62.25,83.84,93.89,18.87,9.36,16.58,43.91,62.25,83.84,93.89,99.16,99.03,80.64,64,64,0.1,8192,400
pubmed_runj9e0123v_GAE,9.36,16.58,43.91,62.25,83.84,93.89,18.87,9.36,16.58,43.91,62.25,83.84,93.89,99.16,99.03,80.64,64,64,0.015,1024,400
pubmed_rungkgzr84l_GAE,9.36,16.58,43.91,62.25,83.84,93.89,18.87,9.36,16.58,43.91,62.25,83.84,93.89,99.16,99.03,80.86,64,64,0.015,2048,400
pubmed_rune9mgj6p5_GAE,9.36,16.58,43.91,62.25,83.84,94.11,18.87,9.36,16.58,43.91,62.25,83.84,94.11,99.16,99.03,80.86,64,64,0.015,4096,400
pubmed_runan7phyh6_GAE,9.36,16.58,43.91,62.25,83.84,94.11,18.87,9.36,16.58,43.91,62.25,83.84,94.11,99.16,99.03,80.86,64,64,0.015,8192,400
pubmed_run83isdl01_GAE,6.81,14.69,50.09,62.25,89.98,96.1,20.29,6.81,14.69,50.09,62.25,89.98,96.1,99.38,99.26,82.75,64,256,0.1,1024,400
pubmed_runqt7vmbq2_GAE,6.81,13.74,49.17,62.25,89.08,96.1,20.29,6.81,13.74,49.17,62.25,89.08,96.1,99.33,99.23,83.47,64,256,0.1,2048,400
pubmed_run48fhwunp_GAE,6.81,13.74,51.71,73.13,90.3,96.16,20.29,6.81,13.74,51.71,73.13,90.3,96.16,99.33,99.23,83.47,64,256,0.1,4096,400
pubmed_run2mtapq8z_GAE,6.81,14.82,51.71,71.12,90.3,96.16,20.29,6.81,14.82,51.71,71.12,90.3,96.16,99.33,99.23,83.47,64,256,0.1,8192,400
pubmed_runlb672m6t_GAE,6.81,14.82,47.81,72.52,90.3,96.05,19.28,6.81,14.82,47.81,72.52,90.3,96.05,99.33,99.23,82.84,64,256,0.015,1024,400
pubmed_runvlu5ntfo_GAE,6.81,14.82,49.53,72.52,90.3,96.01,19.28,6.81,14.82,49.53,72.52,90.3,96.01,99.37,99.26,82.84,64,256,0.015,2048,400
pubmed_runzsfxs6is_GAE,6.81,14.82,49.53,72.52,90.3,96.01,19.28,6.81,14.82,49.53,72.52,90.3,96.01,99.37,99.26,84.05,64,256,0.015,4096,400
