Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs
pubmed_runryje3g1y_GAT,1.6,17.13,37.0,50.02,68.98,79.13,12.47,1.6,17.13,37.0,50.02,68.98,79.13,94.09,95.1,80.38,0.01,1024,64,32,4,0.1,0,5,400
pubmed_run8pungne3_GAT,4.87,17.13,38.33,50.02,69.16,79.6,12.47,4.87,17.13,38.33,50.02,69.16,79.6,94.09,95.11,82.07,0.01,1024,64,32,4,0.1,0,6,400
pubmed_run59esxjlo_GAT,1.33,14.06,38.83,48.85,69.16,79.6,11.87,1.33,14.06,38.83,48.85,69.16,79.6,94.09,95.11,82.07,0.01,1024,64,32,4,0.1,0,7,400
pubmed_run6mgw6480_GAT,1.4,14.06,38.83,51.58,69.16,79.69,11.87,1.4,14.06,38.83,51.58,69.16,79.69,94.09,95.11,82.07,0.01,1024,64,32,2,0.1,0,5,400
pubmed_runxxs4wfbh_GAT,1.4,14.06,32.45,51.58,69.16,78.56,11.87,1.4,14.06,32.45,51.58,69.16,78.56,94.03,95.11,81.26,0.01,1024,64,32,2,0.1,0,6,400
pubmed_run7q1gj1os_GAT,2.53,16.65,36.21,51.58,69.16,78.56,13.0,2.53,16.65,36.21,51.58,69.16,78.56,94.03,95.17,81.26,0.01,1024,64,32,2,0.1,0,7,400
pubmed_runey922ft0_GAT,2.53,16.65,36.21,51.58,69.16,78.56,13.0,2.53,16.65,36.21,51.58,69.16,78.56,94.03,95.1,81.26,0.01,1024,64,64,4,0.1,0,5,400
pubmed_runzfnd1tdr_GAT,2.53,16.65,36.21,51.58,69.16,78.56,13.0,2.53,16.65,36.21,51.58,69.16,78.56,94.03,95.1,81.26,0.01,1024,64,64,4,0.1,0,6,400
pubmed_runxckqwp78_GAT,2.53,16.65,37.97,51.58,69.16,78.56,13.0,2.53,16.65,37.97,51.58,69.16,78.56,94.03,95.1,81.26,0.01,1024,64,64,4,0.1,0,7,400
pubmed_runy66ukyvy_GAT,2.53,16.65,37.97,51.58,69.16,78.56,13.0,2.53,16.65,37.97,51.58,69.16,78.56,94.12,95.1,81.26,0.01,1024,64,64,2,0.1,0,5,400
pubmed_run5gmn6rh2_GAT,2.53,16.65,37.97,51.58,69.16,78.56,13.0,2.53,16.65,37.97,51.58,69.16,78.56,94.12,95.1,81.26,0.01,1024,64,64,2,0.1,0,6,400
pubmed_runt2vrs4nn_GAT,2.53,16.65,37.97,47.31,69.16,78.56,13.0,2.53,16.65,37.97,47.31,69.16,78.56,94.12,95.1,81.26,0.01,1024,64,64,2,0.1,0,7,400
pubmed_runr4i0595x_GAT,2.53,16.65,37.97,47.31,69.16,78.56,13.0,2.53,16.65,37.97,47.31,69.16,78.56,94.12,95.1,79.9,0.01,1024,64,256,4,0.1,0,5,400
pubmed_runy5daj1n3_GAT,2.53,16.65,37.97,47.31,69.16,78.56,13.0,2.53,16.65,37.97,47.31,69.16,78.56,94.12,95.1,79.9,0.01,1024,64,256,4,0.1,0,6,400
pubmed_runp57ar9kq_GAT,2.53,16.65,37.97,47.31,69.16,79.15,13.0,2.53,16.65,37.97,47.31,69.16,79.15,94.12,95.1,79.9,0.01,1024,64,256,4,0.1,0,7,400
pubmed_runpmrumezb_GAT,2.53,13.13,37.97,47.31,69.16,79.15,13.0,2.53,13.13,37.97,47.31,69.16,79.15,94.12,95.1,79.9,0.01,1024,64,256,2,0.1,0,5,400
pubmed_runzf74cxp2_GAT,2.53,13.13,37.97,47.31,69.9,79.15,13.0,2.53,13.13,37.97,47.31,69.9,79.15,94.12,95.1,79.9,0.01,1024,64,256,2,0.1,0,6,400
pubmed_runsaacabl6_GAT,0.63,19.27,37.97,47.31,69.9,79.15,11.19,0.63,19.27,37.97,47.31,69.9,79.15,94.12,95.1,79.9,0.01,1024,64,256,2,0.1,0,7,400
pubmed_runtqox1hfu_GAT,0.63,19.27,37.97,53.95,74.12,81.72,11.19,0.63,19.27,37.97,53.95,74.12,81.72,94.28,95.46,83.86,0.01,1024,256,32,4,0.1,0,5,400
pubmed_runqlijs65z_GAT,0.63,19.27,37.97,53.95,74.12,82.13,11.19,0.63,19.27,37.97,53.95,74.12,82.13,94.28,95.46,83.14,0.01,1024,256,32,4,0.1,0,6,400
pubmed_runyye704q7_GAT,0.63,19.27,37.97,53.95,74.12,82.18,11.19,0.63,19.27,37.97,53.95,74.12,82.18,94.28,95.46,83.14,0.01,1024,256,32,4,0.1,0,7,400
pubmed_runovcmjl13_GAT,0.63,19.27,37.97,53.95,74.12,81.93,11.19,0.63,19.27,37.97,53.95,74.12,81.93,94.28,95.48,83.14,0.01,1024,256,32,2,0.1,0,5,400
pubmed_rungagabzxp_GAT,0.63,19.27,37.97,53.95,74.12,81.93,11.19,0.63,19.27,37.97,53.95,74.12,81.93,94.28,95.48,83.14,0.01,1024,256,32,2,0.1,0,6,400
pubmed_rundndkurw8_GAT,0.63,19.27,37.97,53.95,74.12,81.93,11.19,0.63,19.27,37.97,53.95,74.12,81.93,94.28,95.48,83.14,0.01,1024,256,32,2,0.1,0,7,400
pubmed_run21f8m6xv_GAT,0.63,19.27,37.97,53.95,74.12,81.18,11.19,0.63,19.27,37.97,53.95,74.12,81.18,94.28,95.48,83.14,0.01,1024,256,64,4,0.1,0,5,400
pubmed_run7dp8pvup_GAT,0.63,19.27,37.97,53.95,74.12,81.18,11.19,0.63,19.27,37.97,53.95,74.12,81.18,94.28,95.48,83.14,0.01,1024,256,64,4,0.1,0,6,400
pubmed_runpayvupgf_GAT,0.63,19.27,43.59,53.95,74.12,81.18,11.19,0.63,19.27,43.59,53.95,74.12,81.18,94.28,95.48,83.14,0.01,1024,256,64,4,0.1,0,7,400
pubmed_runolm1d6n8_GAT,0.63,19.27,42.58,53.95,74.12,81.18,11.19,0.63,19.27,42.58,53.95,74.12,81.18,94.28,95.48,83.14,0.01,1024,256,64,2,0.1,0,5,400
pubmed_run6jrh33z7_GAT,0.63,19.27,42.58,53.95,73.92,81.5,11.19,0.63,19.27,42.58,53.95,73.92,81.5,94.4,95.5,83.14,0.01,1024,256,64,2,0.1,0,6,400
pubmed_run40ljqj38_GAT,0.63,19.27,41.74,53.95,73.92,81.5,11.19,0.63,19.27,41.74,53.95,73.92,81.5,94.4,95.5,83.14,0.01,1024,256,64,2,0.1,0,7,400
