Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,epochs,train_time,test_time,params
pubmed_runsk6v7mga_GraphSage,1.56,11.57,21.34,30.6,49.5,71.25,8.06,1.56,11.57,21.34,30.6,49.5,71.25,97.21,96.74,84.04,0.015,1024,32,32,1000,1.1669361591339111,1.2552242279052734,32064
pubmed_runx4b37551_GraphSage,2.78,8.6,21.34,30.6,49.5,71.25,9.25,2.78,8.6,21.34,30.6,49.5,71.25,97.21,96.74,84.04,0.015,1024,32,64,1000,1.890636920928955,2.014427661895752,32064
pubmed_run0v6jcvcr_GraphSage,1.56,11.57,21.34,30.6,49.5,71.25,8.06,1.56,11.57,21.34,30.6,49.5,71.25,97.21,96.74,84.04,0.015,1024,32,32,1000,1.206284523010254,1.3149397373199463,32064
pubmed_run1v16xsm9_GraphSage,2.78,8.6,21.34,30.6,50.81,69.27,9.25,2.78,8.6,21.34,30.6,50.81,69.27,97.21,96.74,83.62,0.015,1024,32,128,1000,1.2517313957214355,1.325796127319336,32064
pubmed_run7o2rdhba_GraphSage,2.78,8.6,21.34,30.6,49.5,71.25,9.25,2.78,8.6,21.34,30.6,49.5,71.25,97.21,96.74,84.04,0.015,1024,32,64,1000,1.2891266345977783,1.325028657913208,32064
pubmed_runp5dvjkjx_GraphSage,2.78,8.6,21.34,36.64,50.81,69.27,9.25,2.78,8.6,21.34,36.64,50.81,69.27,97.21,96.74,83.86,0.015,1024,32,256,1000,1.358196258544922,1.443716526031494,32064
pubmed_runz6q1l93a_GraphSage,2.78,8.6,21.34,30.6,50.81,69.27,9.25,2.78,8.6,21.34,30.6,50.81,69.27,97.21,96.74,83.62,0.015,1024,32,128,1000,1.154536485671997,1.2304966449737549,32064
pubmed_runcsqdr0s0_GraphSage,2.78,8.6,21.34,36.64,50.81,69.27,9.25,2.78,8.6,21.34,36.64,50.81,69.27,97.21,96.74,83.86,0.015,1024,32,256,1000,1.468216896057129,1.5664772987365725,32064
pubmed_runmexlvcxs_GraphSage,3.43,8.6,21.34,36.64,50.81,69.27,9.73,3.43,8.6,21.34,36.64,50.81,69.27,97.21,96.74,83.86,0.015,1024,64,32,1000,1.2697348594665527,1.3466198444366455,64128
pubmed_runxhfuelg3_GraphSage,3.43,8.6,21.34,36.64,52.14,69.27,9.73,3.43,8.6,21.34,36.64,52.14,69.27,97.21,96.74,83.86,0.015,1024,64,64,1000,1.4653971195220947,1.5703272819519043,64128
pubmed_runi0tgwlsh_GraphSage,3.43,8.6,21.34,36.64,52.14,68.19,9.73,3.43,8.6,21.34,36.64,52.14,68.19,97.21,96.74,83.86,0.015,1024,64,128,1000,1.113492727279663,1.1751351356506348,64128
pubmed_runeh7djpiy_GraphSage,3.43,8.6,21.34,36.64,52.14,68.19,9.73,3.43,8.6,21.34,36.64,52.14,68.19,97.21,96.74,83.86,0.015,1024,64,256,1000,1.1550488471984863,1.2381243705749512,64128
pubmed_run9649legu_GraphSage,3.43,8.6,21.34,36.64,52.14,68.19,9.73,3.43,8.6,21.34,36.64,52.14,68.19,97.25,96.8,83.86,0.015,1024,128,32,1000,1.258812427520752,1.3506903648376465,128256
pubmed_run5piy1dpk_GraphSage,3.43,8.6,21.34,34.45,52.14,68.19,9.73,3.43,8.6,21.34,34.45,52.14,68.19,97.25,96.8,83.86,0.015,1024,128,64,1000,1.2074182033538818,1.304091453552246,128256
pubmed_runt8uxfy71_GraphSage,3.43,8.6,21.34,34.45,52.14,70.13,9.73,3.43,8.6,21.34,34.45,52.14,70.13,97.25,96.8,83.86,0.015,1024,128,128,1000,0.8943326473236084,1.0163757801055908,128256
pubmed_runzcs1m8r2_GraphSage,3.43,8.6,21.34,34.45,52.14,70.13,9.73,3.43,8.6,21.34,34.45,52.14,70.13,97.25,96.8,83.86,0.015,1024,128,256,1000,1.560249090194702,1.655381441116333,128256
pubmed_run9q3av0vw_GraphSage,2.64,8.6,21.34,34.45,52.14,70.13,9.47,2.64,8.6,21.34,34.45,52.14,70.13,97.25,96.8,83.86,0.015,1024,256,32,1000,1.6793212890625,1.820507526397705,256512
pubmed_runcz9apwse_GraphSage,2.64,8.6,21.34,34.45,52.14,70.13,9.47,2.64,8.6,21.34,34.45,52.14,70.13,97.25,96.8,83.86,0.015,1024,256,64,1000,1.2552342414855957,1.2999868392944336,256512
