Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,base_lr,batch_size,epochs
pubmed_runru1k5nnf_VGAE,14.08,13.56,41.58,65.41,83.69,95.42,18.05,14.08,13.56,41.58,65.41,83.69,95.42,99.31,99.12,82.69,64,64,0.1,1024,100
pubmed_run0q0dwrq2_VGAE,10.04,13.56,41.58,65.41,83.69,95.42,19.2,10.04,13.56,41.58,65.41,83.69,95.42,99.3,99.14,82.69,64,64,0.1,2048,100
pubmed_run4mrp2860_VGAE,10.04,13.83,41.58,65.41,83.69,95.42,19.2,10.04,13.83,41.58,65.41,83.69,95.42,99.3,99.14,82.69,64,64,0.1,4096,100
pubmed_runch3lxagk_VGAE,10.04,13.83,41.58,65.41,83.69,95.42,19.2,10.04,13.83,41.58,65.41,83.69,95.42,99.3,99.14,86.42,64,64,0.1,8192,100
pubmed_run0ewm3dif_VGAE,10.04,13.83,53.99,69.34,87.95,95.56,22.06,10.04,13.83,53.99,69.34,87.95,95.56,99.3,99.22,86.42,64,64,0.015,1024,100
pubmed_run6zxue8qp_VGAE,10.04,13.83,53.99,69.34,87.95,95.56,22.06,10.04,13.83,53.99,69.34,87.95,95.56,99.3,99.22,86.42,64,64,0.015,2048,100
pubmed_run97bwh740_VGAE,10.04,13.83,53.99,69.34,87.95,95.56,22.06,10.04,13.83,53.99,69.34,87.95,95.56,99.3,99.22,86.42,64,64,0.015,4096,100
pubmed_runnsjz4ayv_VGAE,10.04,13.83,53.99,69.34,87.95,95.56,22.06,10.04,13.83,53.99,69.34,87.95,95.56,99.3,99.22,86.42,64,64,0.015,8192,100
pubmed_runq0e91r1b_VGAE,5.71,25.29,41.85,67.85,89.58,96.12,16.1,5.71,25.29,41.85,67.85,89.58,96.12,99.3,99.25,86.42,64,256,0.1,1024,100
pubmed_run7b5y739h_VGAE,12.5,25.29,41.85,67.85,89.58,96.12,16.1,12.5,25.29,41.85,67.85,89.58,96.12,99.29,99.25,86.42,64,256,0.1,2048,100
pubmed_runifld3bap_VGAE,12.5,25.29,41.85,67.85,89.58,96.12,16.1,12.5,25.29,41.85,67.85,89.58,96.12,99.29,99.25,86.42,64,256,0.1,4096,100
pubmed_run74gk4u7e_VGAE,12.5,12.57,41.85,67.85,89.58,96.12,16.1,12.5,12.57,41.85,67.85,89.58,96.12,99.29,99.25,86.42,64,256,0.1,8192,100
pubmed_runf64r266i_VGAE,12.5,12.57,41.85,67.85,89.58,96.12,16.1,12.5,12.57,41.85,67.85,89.58,96.12,99.29,99.25,86.42,64,256,0.015,1024,100
pubmed_runx3azjhej_VGAE,12.5,12.57,41.85,67.85,89.58,96.12,16.1,12.5,12.57,41.85,67.85,89.58,96.12,99.29,99.25,86.42,64,256,0.015,2048,100
pubmed_runvetbdmlp_VGAE,12.5,12.57,41.85,67.85,89.58,96.12,16.1,12.5,12.57,41.85,67.85,89.58,96.12,99.29,99.25,86.42,64,256,0.015,4096,100
pubmed_run568qk0ty_VGAE,12.5,12.57,41.85,67.85,89.58,96.12,16.1,12.5,12.57,41.85,67.85,89.58,96.12,99.29,99.25,86.42,64,256,0.015,8192,100
Best,14.08,25.29,53.99,69.34,89.58,96.12,22.06,14.08,25.29,53.99,69.34,89.58,96.12,99.31,99.25,86.42,64,256,0.1,8192,100
