Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
pubmed_runbwi4az4u_GCN_Variant,0.95,21.89,35.81,57.36,83.08,92.85,13.85,0.95,21.89,35.81,57.36,83.08,92.85,99.11,98.87,79.59,32,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,0.8491430282592773,1.025233030319214,16032
pubmed_runbwi4az4u_GCN_Variant,0.95,20.28,42.31,66.13,93.89,97.36,20.12,0.95,20.28,42.31,66.13,93.89,97.36,99.3,99.21,97.68,32,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,1.196672439575195,1.395183801651001,22369
pubmed_runbwi4az4u_GCN_Variant,6.9,20.28,42.31,66.13,93.89,97.36,20.12,6.9,20.28,42.31,66.13,93.89,97.36,99.3,99.21,97.68,32,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,0.9541747570037842,1.1418240070343018,17088
pubmed_runbwi4az4u_GCN_Variant,24.82,42.1,53.9,80.32,95.1,97.5,37.08,24.82,42.1,53.9,80.32,95.1,97.5,99.3,99.45,97.68,32,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,1.2629964351654053,1.498365879058838,23425
pubmed_runbwi4az4u_GCN_Variant,24.82,42.1,53.9,80.32,95.1,97.5,37.08,24.82,42.1,53.9,80.32,95.1,97.5,99.3,99.45,97.68,32,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,2.148479700088501,2.378314733505249,18144
pubmed_runbwi4az4u_GCN_Variant,24.82,42.1,53.9,80.32,95.1,97.5,37.08,24.82,42.1,53.9,80.32,95.1,97.5,99.3,99.45,97.68,32,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,1.0833251476287842,1.280667781829834,24481
pubmed_runrx8lnuzh_GCN_Variant,1.67,23.67,45.51,63.22,82.36,91.94,14.6,1.67,23.67,45.51,63.22,82.36,91.94,99.15,98.95,79.82,32,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,7.139993906021118,7.325836896896362,16032
pubmed_runrx8lnuzh_GCN_Variant,1.67,16.76,46.8,68.48,91.27,97.5,14.6,1.67,16.76,46.8,68.48,91.27,97.5,99.38,99.25,97.65,32,32,1024,0.1,1,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,8.069512605667114,8.245039939880371,22369
pubmed_runrx8lnuzh_GCN_Variant,1.67,13.99,46.8,68.48,91.27,97.5,18.35,1.67,13.99,46.8,68.48,91.27,97.5,99.38,99.25,97.65,32,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,9.753538131713867,9.939653873443604,17088
pubmed_runrx8lnuzh_GCN_Variant,15.68,41.83,58.69,76.02,93.52,97.5,39.2,15.68,41.83,58.69,76.02,93.52,97.5,99.34,99.47,97.65,32,32,1024,0.1,2,0.1,0.0089,3,2,64,1,3,0.1,dot,2000,10.72478485107422,10.895209789276125,23425
pubmed_runrx8lnuzh_GCN_Variant,15.68,41.83,58.69,76.02,93.52,97.5,39.2,15.68,41.83,58.69,76.02,93.52,97.5,99.34,99.47,97.65,32,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,12.892728567123413,13.068603277206421,18144
Best,24.82,42.1,58.69,80.32,95.1,97.5,39.2,24.82,42.1,58.69,80.32,95.1,97.5,99.38,99.47,97.68,32,32,1024,0.1,3,0.1,0.0089,3,2,64,1,3,0.1,inner,2000,12.892728567123413,13.068603277206421,24481
