Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
pubmed_run66ukn646_GIN_Variant,8.75,15.34,43.5,63.31,82.99,94.72,18.44,8.75,15.34,43.5,63.31,82.99,94.72,98.97,98.96,78.64,64,64,1,0.0089,1,3,2,64,1,3,0.1,inner,2000,1.1285450458526611,1.3385870456695557,32064
pubmed_run66ukn646_GIN_Variant,6.48,9.97,75.43,85.09,96.89,97.9,20.35,6.48,9.97,75.43,85.09,96.89,97.9,99.52,99.44,96.27,64,64,1,0.0089,1,3,2,64,1,3,0.1,dot,2000,1.381261110305786,1.56852126121521,40449
pubmed_run66ukn646_GIN_Variant,6.48,9.97,75.43,85.09,96.89,97.9,20.35,6.48,9.97,75.43,85.09,96.89,97.9,99.52,99.44,96.27,64,64,1,0.0089,2,3,2,64,1,3,0.1,inner,2000,1.2133190631866455,1.418433427810669,36224
pubmed_run66ukn646_GIN_Variant,6.48,9.97,75.43,85.09,96.89,97.9,20.35,6.48,9.97,75.43,85.09,96.89,97.9,99.52,99.44,96.82,64,64,1,0.0089,2,3,2,64,1,3,0.1,dot,2000,1.2617783546447754,1.434237003326416,44609
pubmed_run66ukn646_GIN_Variant,6.48,9.97,75.43,85.09,96.89,97.9,20.35,6.48,9.97,75.43,85.09,96.89,97.9,99.52,99.44,96.82,64,64,1,0.0089,3,3,2,64,1,3,0.1,inner,2000,1.4024498462677002,1.66774320602417,40384
pubmed_run66ukn646_GIN_Variant,6.48,9.97,75.43,85.09,96.89,97.9,20.35,6.48,9.97,75.43,85.09,96.89,97.9,99.52,99.44,96.82,64,64,1,0.0089,3,3,2,64,1,3,0.1,dot,2000,1.225510597229004,1.425384759902954,48769
pubmed_rune9bjmehv_GIN_Variant,11.44,13.9,45.42,60.51,84.66,93.82,20.28,11.44,13.9,45.42,60.51,84.66,93.82,98.97,98.97,81.67,64,64,1,0.0089,1,3,2,64,1,3,0.1,inner,2000,9.73429560661316,9.94817280769348,32064
pubmed_rune9bjmehv_GIN_Variant,7.72,33.19,75.38,85.97,95.87,98.33,25.32,7.72,33.19,75.38,85.97,95.87,98.33,99.56,99.58,96.64,64,64,1,0.0089,1,3,2,64,1,3,0.1,dot,2000,10.04420566558838,10.41495680809021,40449
pubmed_rune9bjmehv_GIN_Variant,7.72,33.19,75.38,85.97,95.87,98.33,25.32,7.72,33.19,75.38,85.97,95.87,98.33,99.56,99.58,96.64,64,64,1,0.0089,2,3,2,64,1,3,0.1,inner,2000,9.929492235183716,10.179599046707152,36224
pubmed_rune9bjmehv_GIN_Variant,4.31,33.19,75.38,85.97,95.87,98.33,25.32,4.31,33.19,75.38,85.97,95.87,98.33,99.56,99.58,96.33,64,64,1,0.0089,2,3,2,64,1,3,0.1,dot,2000,12.524581909179688,12.934240818023682,44609
pubmed_rune9bjmehv_GIN_Variant,4.31,33.19,75.38,85.97,95.87,98.33,25.32,4.31,33.19,75.38,85.97,95.87,98.33,99.56,99.58,96.33,64,64,1,0.0089,3,3,2,64,1,3,0.1,inner,2000,12.214845180511475,12.638138771057129,40384
Best,11.44,33.19,75.43,85.97,96.89,98.33,25.32,11.44,33.19,75.43,85.97,96.89,98.33,99.56,99.58,96.82,64,64,1,0.0089,3,3,2,64,1,3,0.1,inner,2000,12.524581909179688,12.934240818023682,48769
