Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ncn-pubmed,11.05 ± 8.04,38.73 ± 9.87,57.90 ± 5.60,71.10 ± 3.91,86.44 ± 2.03,93.21 ± 1.10,25.92 ± 4.33,11.05 ± 8.04,38.73 ± 9.87,57.90 ± 5.60,71.10 ± 3.91,86.44 ± 2.03,93.21 ± 1.10,98.66 ± 0.18,98.49 ± 0.28,94.67 ± 0.39
ncnc-pubmed,6.71 ± 3.81,18.69 ± 7.95,52.31 ± 11.62,69.94 ± 4.85,86.49 ± 0.99,93.74 ± 0.25,20.31 ± 6.51,6.71 ± 3.81,18.69 ± 7.95,52.31 ± 11.62,69.94 ± 4.85,86.49 ± 0.99,93.74 ± 0.25,98.66 ± 0.12,98.45 ± 0.15,94.72 ± 0.30
buddy-pubmed,6.11 ± 5.18,20.24 ± 4.29,43.13 ± 6.81,58.88 ± 3.12,76.14 ± 3.46,89.25 ± 2.27,19.46 ± 2.42,6.11 ± 5.18,20.24 ± 4.29,43.13 ± 6.81,58.88 ± 3.12,76.14 ± 3.46,89.25 ± 2.27,97.92 ± 0.17,97.63 ± 0.16,85.21 ± 9.56
minilm-pubmed-origin,15.41 ± 0.54,20.92 ± 1.22,33.77 ± 0.51,48.65 ± 0.19,66.35 ± 0.29,81.90 ± 0.03,21.54 ± 0.11,15.41 ± 0.54,20.92 ± 1.22,33.77 ± 0.51,48.65 ± 0.19,66.35 ± 0.29,81.90 ± 0.03,96.20 ± 0.00,96.25 ± 0.01,90.04 ± 0.05
e5-large-pubmed-origin,8.06 ± 1.76,26.37 ± 1.11,46.03 ± 0.80,54.06 ± 1.15,71.32 ± 0.86,82.59 ± 0.26,21.79 ± 1.58,8.06 ± 1.76,26.37 ± 1.11,46.03 ± 0.80,54.06 ± 1.15,71.32 ± 0.86,82.59 ± 0.26,96.73 ± 0.03,96.73 ± 0.04,90.62 ± 0.04
bert-pubmed-origin,2.90 ± 2.00,5.86 ± 2.48,14.47 ± 2.06,23.13 ± 0.53,36.12 ± 0.37,48.73 ± 1.43,6.56 ± 0.70,2.90 ± 2.00,5.86 ± 2.48,14.47 ± 2.06,23.13 ± 0.53,36.12 ± 0.37,48.73 ± 1.43,88.96 ± 0.31,88.51 ± 0.38,81.01 ± 0.23
elph-pubmed,16.03 ± 4.21,28.70 ± 8.05,41.91 ± 4.08,45.80 ± 2.21,59.19 ± 5.58,74.62 ± 1.64,24.61 ± 3.17,16.03 ± 4.21,28.70 ± 8.05,41.91 ± 4.08,45.80 ± 2.21,59.19 ± 5.58,74.62 ± 1.64,95.80 ± 0.39,95.57 ± 0.34,85.05 ± 5.54
neognn-pubmed,20.89 ± 7.91,38.88 ± 4.52,51.24 ± 2.85,59.04 ± 2.10,73.17 ± 5.29,81.25 ± 8.14,31.44 ± 3.85,20.89 ± 7.91,38.88 ± 4.52,51.24 ± 2.85,59.04 ± 2.10,73.17 ± 5.29,81.25 ± 8.14,94.69 ± 6.85,94.89 ± 6.31,78.26 ± 1.77
llama-pubmed-origin,11.04 ± 5.07,23.13 ± 6.52,54.67 ± 2.04,65.57 ± 2.07,79.87 ± 1.19,89.01 ± 0.53,22.87 ± 4.47,11.04 ± 5.07,23.13 ± 6.52,54.67 ± 2.04,65.57 ± 2.07,79.87 ± 1.19,89.01 ± 0.53,98.09 ± 0.10,97.99 ± 0.07,93.39 ± 0.22
Best,20.89,45.45,77.27,90.91,100.0,100.0,31.44,20.89,45.45,77.27,90.91,100.0,100.0,98.66,98.49,94.72
