Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
e5-large-pwc_small-origin,28.00 ± 9.08,52.00 ± 4.47,77.00 ± 7.58,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,42.39 ± 4.27,28.00 ± 9.08,52.00 ± 4.47,77.00 ± 7.58,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,80.60 ± 2.57,81.56 ± 1.27,69.00 ± 1.37
minilm-pwc_small-origin,6.00 ± 5.48,9.00 ± 5.48,49.00 ± 23.02,99.00 ± 2.24,100.00 ± 0.00,100.00 ± 0.00,17.96 ± 6.49,6.00 ± 5.48,9.00 ± 5.48,49.00 ± 23.02,99.00 ± 2.24,100.00 ± 0.00,100.00 ± 0.00,51.90 ± 11.54,55.43 ± 9.56,48.50 ± 8.94
bert-pwc_small-origin,6.00 ± 6.52,44.00 ± 5.48,79.00 ± 8.22,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,27.59 ± 2.48,6.00 ± 6.52,47.00 ± 2.74,79.00 ± 6.52,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,69.85 ± 2.40,69.70 ± 3.63,64.00 ± 3.79
llama-pwc_small-origin,60.00 ± 3.54,79.00 ± 13.42,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,76.73 ± 2.64,60.00 ± 3.54,79.00 ± 13.42,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,94.65 ± 1.23,95.78 ± 0.76,85.50 ± 2.74
ncn-pwc_small,18.00 ± 12.55,48.00 ± 18.23,88.00 ± 4.47,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,46.12 ± 21.54,18.00 ± 12.55,48.00 ± 18.23,88.00 ± 4.47,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,81.45 ± 5.54,80.14 ± 10.13,75.00 ± 7.07
neognn-pwc_small,30.00 ± 15.41,61.00 ± 9.62,80.00 ± 5.00,98.00 ± 2.74,100.00 ± 0.00,100.00 ± 0.00,46.36 ± 9.85,30.00 ± 15.41,61.00 ± 9.62,80.00 ± 5.00,98.00 ± 2.74,100.00 ± 0.00,100.00 ± 0.00,78.20 ± 7.49,81.25 ± 6.54,70.50 ± 5.42
ncnc-pwc_small,29.00 ± 8.22,53.00 ± 23.61,85.00 ± 6.12,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,44.45 ± 8.63,29.00 ± 8.22,53.00 ± 23.61,85.00 ± 6.12,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,80.65 ± 5.97,81.68 ± 7.96,75.00 ± 6.12
elph-pwc_small,13.00 ± 9.08,55.00 ± 20.92,84.00 ± 14.75,99.00 ± 2.24,100.00 ± 0.00,100.00 ± 0.00,39.96 ± 10.98,13.00 ± 9.08,55.00 ± 20.92,84.00 ± 14.75,99.00 ± 2.24,100.00 ± 0.00,100.00 ± 0.00,79.70 ± 12.41,78.94 ± 11.38,68.50 ± 7.20
buddy-pwc_small,9.00 ± 6.52,35.00 ± 19.69,71.00 ± 15.17,95.00 ± 6.12,100.00 ± 0.00,100.00 ± 0.00,27.02 ± 10.24,9.00 ± 6.52,35.00 ± 19.69,71.00 ± 15.17,95.00 ± 6.12,100.00 ± 0.00,100.00 ± 0.00,72.35 ± 8.30,73.45 ± 6.07,63.50 ± 6.52
seal-pwc_small,42.11 ± 13.42,68.42 ± 8.32,97.89 ± 4.71,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,60.84 ± 11.00,42.11 ± 13.42,68.42 ± 8.32,97.89 ± 4.71,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,90.19 ± 2.31,90.07 ± 3.82,76.32 ± 8.11
Best,60.0,79.0,100.0,100.0,100.0,100.0,76.73,60.0,79.0,100.0,100.0,100.0,100.0,94.65,95.78,85.5
