edge_index0,edge_index1,pred,gr
490,220,1.0,1.0
1264,1134,1.0,1.0
1372,904,1.0,1.0
1644,1290,1.0,1.0
747,545,1.0,1.0
2046,616,1.0,1.0
1354,1047,1.0,1.0
2280,163,1.0,1.0
466,465,1.0,1.0
1955,2190,1.0,1.0
1583,2563,1.0,1.0
1205,793,1.0,1.0
483,463,1.0,1.0
910,982,1.0,1.0
2592,99,1.0,1.0
2171,638,1.0,1.0
314,1073,1.0,1.0
163,2563,1.0,1.0
859,1198,1.0,1.0
893,1174,1.0,1.0
2153,2699,1.0,1.0
2108,1172,1.0,1.0
747,229,1.0,1.0
1126,2372,1.0,1.0
1997,1996,1.0,1.0
1464,1021,1.0,1.0
1993,276,1.0,1.0
1203,1411,1.0,1.0
1157,1704,1.0,1.0
1004,672,1.0,1.0
788,2341,1.0,1.0
2178,1793,1.0,1.0
569,1430,1.0,1.0
376,641,1.0,1.0
1474,1728,1.0,1.0
736,1116,1.0,1.0
1323,1195,1.0,1.0
2182,1897,1.0,1.0
427,658,1.0,1.0
1967,695,1.0,1.0
363,337,1.0,1.0
2417,2532,1.0,1.0
68,1825,1.0,1.0
1272,1604,1.0,1.0
168,475,1.0,1.0
846,2204,1.0,1.0
1323,1062,1.0,1.0
1636,1073,1.0,1.0
1176,1592,1.0,1.0
740,164,1.0,1.0
728,1016,1.0,1.0
1459,45,1.0,1.0
675,597,1.0,1.0
793,1249,1.0,1.0
178,378,1.0,1.0
1394,967,1.0,1.0
450,954,1.0,1.0
2074,2615,1.0,1.0
1732,2225,1.0,1.0
2570,1806,1.0,1.0
2457,690,1.0,1.0
1531,1154,1.0,1.0
1161,2657,1.0,1.0
192,280,1.0,1.0
2667,2429,1.0,1.0
832,1701,1.0,1.0
2644,2134,1.0,1.0
2448,427,0.0,1.0
225,88,1.0,1.0
1234,1510,1.0,1.0
2677,2017,1.0,1.0
712,219,1.0,1.0
747,526,1.0,1.0
161,759,1.0,1.0
1324,1747,1.0,1.0
1520,1246,1.0,1.0
2175,1719,1.0,1.0
1636,245,1.0,1.0
751,258,1.0,1.0
2053,2054,1.0,1.0
252,294,1.0,1.0
2086,1231,1.0,1.0
1673,965,1.0,1.0
1078,1086,1.0,1.0
928,1636,1.0,1.0
789,1409,1.0,1.0
489,46,1.0,1.0
2091,585,1.0,1.0
770,730,1.0,1.0
1495,995,1.0,1.0
174,2409,1.0,1.0
565,691,1.0,1.0
731,808,1.0,1.0
1687,773,1.0,1.0
1498,582,1.0,1.0
1293,1600,1.0,1.0
1673,910,1.0,1.0
205,745,1.0,1.0
1613,1162,1.0,1.0
165,432,1.0,1.0
708,1116,1.0,1.0
1873,1998,1.0,1.0
1343,1456,1.0,1.0
1114,1261,1.0,1.0
2495,1762,1.0,1.0
686,683,1.0,1.0
995,956,1.0,1.0
544,751,1.0,1.0
1319,1391,0.0,1.0
1593,978,1.0,1.0
1641,558,1.0,1.0
566,173,1.0,1.0
686,430,1.0,1.0
2675,1595,1.0,1.0
471,2,1.0,1.0
2422,2499,1.0,1.0
427,230,1.0,1.0
807,1672,1.0,1.0
696,1672,1.0,1.0
1418,726,1.0,1.0
843,575,1.0,1.0
1241,1147,1.0,1.0
1796,1917,1.0,1.0
426,937,1.0,1.0
70,999,1.0,1.0
62,2425,1.0,1.0
1368,454,1.0,1.0
71,1559,1.0,1.0
611,601,1.0,1.0
893,1259,1.0,1.0
1923,2227,1.0,1.0
1367,817,1.0,1.0
1922,570,1.0,1.0
2624,1931,1.0,1.0
712,2664,1.0,1.0
2155,591,1.0,1.0
1910,2375,1.0,1.0
2010,2447,1.0,1.0
433,432,1.0,1.0
1901,2301,1.0,1.0
163,1277,1.0,1.0
1263,1234,1.0,1.0
415,789,1.0,1.0
580,1212,1.0,1.0
904,292,1.0,1.0
566,294,1.0,1.0
1703,1697,1.0,1.0
745,72,1.0,1.0
1602,339,1.0,1.0
649,2581,1.0,1.0
2141,2418,1.0,1.0
1564,687,1.0,1.0
1899,2292,1.0,1.0
2421,2266,1.0,1.0
634,2593,1.0,1.0
2361,163,1.0,1.0
335,585,1.0,1.0
1427,525,1.0,1.0
2624,1878,1.0,1.0
625,659,1.0,1.0
1203,1195,1.0,1.0
1127,938,1.0,1.0
565,621,1.0,1.0
2,410,1.0,1.0
1362,1184,1.0,1.0
688,835,1.0,1.0
2485,1378,1.0,1.0
1527,1240,1.0,1.0
1163,1498,1.0,1.0
15,152,1.0,1.0
2153,2022,1.0,1.0
731,1656,1.0,1.0
1907,1995,1.0,1.0
1505,865,1.0,1.0
116,686,1.0,1.0
2290,344,1.0,1.0
238,489,1.0,1.0
253,15,1.0,1.0
881,2203,1.0,1.0
105,2434,1.0,1.0
163,1225,1.0,1.0
1268,1414,1.0,1.0
1786,2207,1.0,1.0
324,389,1.0,1.0
1963,286,1.0,1.0
963,344,1.0,1.0
204,597,1.0,1.0
227,142,1.0,1.0
232,14,1.0,1.0
1479,2017,1.0,1.0
1240,1086,1.0,1.0
989,1068,1.0,1.0
1732,853,1.0,1.0
908,919,1.0,1.0
215,66,1.0,1.0
1863,1595,1.0,1.0
202,72,1.0,1.0
2164,5,1.0,1.0
274,204,0.0,1.0
747,110,1.0,1.0
1995,2097,1.0,1.0
943,1466,1.0,1.0
571,2331,1.0,1.0
1437,787,1.0,1.0
566,2485,1.0,1.0
979,879,1.0,1.0
1386,1715,1.0,1.0
577,401,1.0,1.0
641,1739,1.0,1.0
347,999,1.0,1.0
1649,1228,1.0,1.0
190,356,1.0,1.0
548,552,1.0,1.0
394,133,1.0,1.0
1006,2360,1.0,1.0
36,745,1.0,1.0
2430,682,1.0,1.0
1463,999,1.0,1.0
892,1716,1.0,1.0
2228,2085,1.0,1.0
485,711,0.0,1.0
1020,1337,1.0,1.0
1927,1846,1.0,1.0
1678,861,1.0,1.0
238,301,1.0,1.0
300,593,1.0,1.0
916,2686,1.0,1.0
764,769,1.0,1.0
208,1569,1.0,1.0
1070,1153,1.0,1.0
1174,902,0.0,1.0
1240,1141,1.0,1.0
541,1123,1.0,1.0
15,701,1.0,1.0
361,55,1.0,1.0
2498,2500,1.0,1.0
1256,1644,1.0,1.0
613,232,1.0,1.0
2625,2612,1.0,1.0
142,230,1.0,1.0
612,289,1.0,1.0
2590,420,1.0,1.0
730,770,1.0,1.0
549,591,1.0,1.0
