edge_index0,edge_index1,pred,gr
668,2562,1.0,1.0
1052,1051,1.0,1.0
1133,719,1.0,1.0
8,0,1.0,1.0
1644,1863,1.0,1.0
565,564,1.0,1.0
2455,2354,1.0,1.0
585,911,1.0,1.0
2352,611,1.0,1.0
1293,1606,1.0,1.0
580,1126,1.0,1.0
265,758,1.0,1.0
991,1368,1.0,1.0
245,1636,1.0,1.0
1559,1703,1.0,1.0
1395,1541,1.0,1.0
1872,1696,1.0,1.0
1027,322,1.0,1.0
1118,1540,1.0,1.0
636,2174,1.0,1.0
1584,1626,1.0,1.0
2078,1983,1.0,1.0
2137,430,1.0,1.0
1792,163,1.0,1.0
775,1459,1.0,1.0
1238,1500,1.0,1.0
1990,201,1.0,1.0
157,2680,1.0,1.0
1112,719,1.0,1.0
325,1201,1.0,1.0
1029,2456,1.0,1.0
163,856,1.0,1.0
2479,2128,1.0,1.0
1775,2082,1.0,1.0
2220,129,1.0,1.0
1887,1902,1.0,1.0
1364,1363,1.0,1.0
661,1191,1.0,1.0
1354,1695,1.0,1.0
2236,2262,1.0,1.0
1378,882,1.0,1.0
250,304,1.0,1.0
427,1340,1.0,1.0
402,538,1.0,1.0
686,318,1.0,1.0
2423,1161,1.0,1.0
302,428,1.0,1.0
1153,1127,1.0,1.0
1595,1964,1.0,1.0
1169,524,1.0,1.0
1691,422,1.0,1.0
957,967,1.0,1.0
252,74,1.0,1.0
1812,783,1.0,1.0
636,2672,1.0,1.0
2023,2135,1.0,1.0
1212,1126,1.0,1.0
2011,2633,1.0,1.0
1668,1910,1.0,1.0
1964,1644,1.0,1.0
2397,2203,1.0,1.0
1696,1771,1.0,1.0
693,531,1.0,1.0
2496,2107,1.0,1.0
1035,714,1.0,1.0
480,257,1.0,1.0
2430,2647,1.0,1.0
45,490,1.0,1.0
552,412,1.0,1.0
2291,378,1.0,1.0
2157,288,1.0,1.0
1644,2409,1.0,1.0
1889,2648,1.0,1.0
318,445,1.0,1.0
1342,1300,1.0,1.0
616,2046,1.0,1.0
1256,2675,1.0,1.0
2253,2213,1.0,1.0
1959,120,1.0,1.0
1060,163,1.0,1.0
1354,992,1.0,1.0
2376,2422,1.0,1.0
284,486,1.0,1.0
407,1298,1.0,1.0
1498,1351,1.0,1.0
471,295,1.0,1.0
294,477,1.0,1.0
49,581,1.0,1.0
2326,508,1.0,1.0
2194,2190,1.0,1.0
173,162,1.0,1.0
411,2594,1.0,1.0
588,699,1.0,1.0
187,462,1.0,1.0
82,410,1.0,1.0
74,2335,1.0,1.0
542,747,1.0,1.0
1321,1222,1.0,1.0
1623,1313,1.0,1.0
200,536,1.0,1.0
838,1458,1.0,1.0
1569,1684,1.0,1.0
318,1173,1.0,1.0
570,1520,1.0,1.0
1065,1153,1.0,1.0
1506,1415,1.0,1.0
85,2368,1.0,1.0
2305,321,1.0,1.0
913,827,1.0,1.0
708,250,1.0,1.0
798,1105,1.0,1.0
592,1509,1.0,1.0
270,467,1.0,1.0
1614,1613,1.0,1.0
1902,1884,1.0,1.0
507,2391,1.0,1.0
2658,843,1.0,1.0
1052,832,1.0,1.0
1223,1607,1.0,1.0
570,1258,1.0,1.0
576,1526,1.0,1.0
136,1102,1.0,1.0
1383,152,1.0,1.0
1347,84,1.0,1.0
2659,2316,1.0,1.0
770,350,1.0,1.0
2679,2578,1.0,1.0
707,196,1.0,1.0
1819,224,1.0,1.0
193,238,1.0,1.0
477,565,1.0,1.0
2350,2168,1.0,1.0
2030,2128,1.0,1.0
1014,676,1.0,1.0
865,795,1.0,1.0
10,519,1.0,1.0
1044,812,1.0,1.0
1973,247,1.0,1.0
552,466,1.0,1.0
611,899,1.0,1.0
163,1943,1.0,1.0
2395,2665,1.0,1.0
2373,2507,1.0,1.0
2026,2552,1.0,1.0
767,255,1.0,1.0
1068,989,1.0,1.0
29,382,1.0,1.0
2677,1909,1.0,1.0
71,661,1.0,1.0
2105,2621,1.0,1.0
2030,2130,1.0,1.0
427,946,1.0,1.0
807,294,1.0,1.0
1713,2002,1.0,1.0
2511,2418,1.0,1.0
486,64,1.0,1.0
990,58,1.0,1.0
272,1551,1.0,1.0
1708,1333,1.0,1.0
1218,833,1.0,1.0
2595,2452,1.0,1.0
1540,1459,1.0,1.0
740,1559,1.0,1.0
1400,967,1.0,1.0
602,1114,1.0,1.0
672,2360,1.0,1.0
430,1698,1.0,1.0
1308,1507,1.0,1.0
2426,2431,1.0,1.0
747,204,1.0,1.0
2072,667,1.0,1.0
2440,2543,1.0,1.0
571,2495,1.0,1.0
1233,923,1.0,1.0
1414,945,1.0,1.0
1124,1567,1.0,1.0
986,1642,1.0,1.0
965,966,1.0,1.0
576,1922,1.0,1.0
2076,1324,1.0,1.0
393,157,1.0,1.0
576,2552,1.0,1.0
364,590,1.0,1.0
1218,1424,1.0,1.0
519,705,1.0,1.0
654,1260,1.0,1.0
1185,1000,1.0,1.0
263,2421,1.0,1.0
523,1214,1.0,1.0
1938,1770,1.0,1.0
1350,1151,1.0,1.0
227,296,1.0,1.0
438,21,1.0,1.0
521,156,1.0,1.0
267,732,1.0,1.0
2181,2143,1.0,1.0
561,747,1.0,1.0
1032,967,1.0,1.0
1307,1057,1.0,1.0
1218,1299,1.0,1.0
638,348,1.0,1.0
562,370,1.0,1.0
157,897,1.0,1.0
753,444,1.0,1.0
613,268,1.0,1.0
1251,399,1.0,1.0
1469,1705,1.0,1.0
766,979,1.0,1.0
1345,1640,1.0,1.0
163,1206,1.0,1.0
649,2560,1.0,1.0
163,800,1.0,1.0
1003,2182,1.0,1.0
141,1184,1.0,1.0
2473,2551,1.0,1.0
1431,698,1.0,1.0
696,747,1.0,1.0
1591,1050,1.0,1.0
2391,507,1.0,1.0
163,1734,1.0,1.0
0,258,1.0,1.0
2139,995,1.0,1.0
2673,163,1.0,1.0
495,467,1.0,1.0
738,1741,1.0,1.0
2355,763,1.0,1.0
2178,1795,1.0,1.0
1902,1885,1.0,1.0
2175,1940,1.0,1.0
2159,2661,1.0,1.0
947,1328,1.0,1.0
976,1268,1.0,1.0
735,2106,1.0,1.0
541,454,1.0,1.0
747,489,1.0,1.0
1065,1305,1.0,1.0
372,273,1.0,1.0
755,1404,1.0,1.0
1363,2475,1.0,1.0
1107,1617,1.0,1.0
737,747,1.0,1.0
1238,378,1.0,1.0
1552,1554,1.0,1.0
995,1232,1.0,1.0
1251,1250,1.0,1.0
1559,1697,1.0,1.0
747,349,1.0,1.0
1854,2122,1.0,1.0
570,872,1.0,1.0
287,640,1.0,1.0
714,2089,1.0,1.0
1917,1796,1.0,1.0
574,2360,1.0,1.0
2151,1109,1.0,1.0
1203,816,1.0,1.0
1360,1095,1.0,1.0
967,306,1.0,1.0
911,1354,1.0,1.0
1799,163,1.0,1.0
1789,2469,1.0,1.0
2557,686,1.0,1.0
1000,1185,1.0,1.0
1644,2364,1.0,1.0
1717,163,1.0,1.0
552,306,1.0,1.0
649,2294,1.0,1.0
1961,2527,1.0,1.0
44,88,1.0,1.0
255,70,1.0,1.0
345,622,1.0,1.0
1018,1142,1.0,1.0
195,707,1.0,1.0
163,1303,1.0,1.0
313,534,1.0,1.0
1259,1944,1.0,1.0
2611,1763,1.0,1.0
537,606,1.0,1.0
1011,1569,1.0,1.0
2313,2208,1.0,1.0
686,430,1.0,1.0
2083,2511,1.0,1.0
1647,1684,1.0,1.0
14,393,1.0,1.0
719,747,1.0,1.0
136,2172,1.0,1.0
573,464,1.0,1.0
213,490,1.0,1.0
1672,696,1.0,1.0
2234,2208,1.0,1.0
520,478,1.0,1.0
591,488,1.0,1.0
1269,569,1.0,1.0
211,2076,1.0,1.0
1299,1218,1.0,1.0
2661,1910,1.0,1.0
2005,2345,1.0,1.0
1754,1867,1.0,1.0
2339,675,1.0,1.0
1324,2076,1.0,1.0
1607,1053,1.0,1.0
1813,503,1.0,1.0
1648,1355,1.0,1.0
2218,2021,1.0,1.0
1409,2703,1.0,1.0
1214,583,1.0,1.0
314,1684,1.0,1.0
2026,576,1.0,1.0
2543,136,1.0,1.0
565,2629,1.0,1.0
328,747,1.0,1.0
894,1255,1.0,1.0
2309,403,1.0,1.0
1110,163,1.0,1.0
1713,416,1.0,1.0
220,490,1.0,1.0
2495,571,1.0,1.0
1894,2524,1.0,1.0
1169,1454,1.0,1.0
563,38,1.0,1.0
2510,1713,1.0,1.0
839,1520,1.0,1.0
1153,1077,1.0,1.0
84,347,1.0,1.0
2423,862,1.0,1.0
1672,294,1.0,1.0
2337,2606,1.0,1.0
2068,2228,1.0,1.0
1674,1354,1.0,1.0
742,645,1.0,1.0
1287,810,1.0,1.0
1346,1281,1.0,1.0
1776,2543,1.0,1.0
983,1002,1.0,1.0
740,418,1.0,1.0
1276,1525,1.0,1.0
1877,2215,1.0,1.0
389,1937,1.0,1.0
137,748,1.0,1.0
1520,1245,1.0,1.0
530,343,1.0,1.0
1462,1457,1.0,1.0
2179,2150,1.0,1.0
809,1222,1.0,1.0
576,59,1.0,1.0
550,569,1.0,1.0
1408,1931,1.0,1.0
929,2442,1.0,1.0
846,219,1.0,1.0
1819,2580,1.0,1.0
2230,2095,1.0,1.0
1768,2257,1.0,1.0
817,1125,1.0,1.0
2442,565,1.0,1.0
948,1446,1.0,1.0
74,71,1.0,1.0
497,478,1.0,1.0
2223,519,1.0,1.0
2152,1277,1.0,1.0
747,600,1.0,1.0
295,210,1.0,1.0
68,1979,1.0,1.0
1404,163,1.0,1.0
1742,2456,1.0,1.0
128,565,1.0,1.0
163,2077,1.0,1.0
2605,1401,1.0,1.0
74,377,1.0,1.0
88,251,1.0,1.0
810,1287,1.0,1.0
1298,407,1.0,1.0
0,544,1.0,1.0
576,293,1.0,1.0
1136,1060,1.0,1.0
346,132,1.0,1.0
737,2024,1.0,1.0
1645,797,1.0,1.0
1684,1569,1.0,1.0
765,163,1.0,1.0
2543,1479,1.0,1.0
2183,2305,1.0,1.0
1178,1034,1.0,1.0
1727,738,1.0,1.0
2215,2057,1.0,1.0
2646,2470,1.0,1.0
829,1252,1.0,1.0
16,1697,1.0,1.0
2232,2058,1.0,1.0
1047,1344,1.0,1.0
74,2284,1.0,1.0
185,389,1.0,1.0
1935,2340,1.0,1.0
772,1241,1.0,1.0
430,1207,1.0,1.0
738,1213,1.0,1.0
1563,803,1.0,1.0
484,642,1.0,1.0
938,2196,1.0,1.0
1074,109,1.0,1.0
2402,1931,1.0,1.0
8,14,1.0,1.0
1918,2329,1.0,1.0
745,91,1.0,1.0
2375,2416,1.0,1.0
79,438,1.0,1.0
747,741,1.0,1.0
1622,1322,1.0,1.0
92,479,1.0,1.0
1894,909,1.0,1.0
1964,1863,1.0,1.0
