edge_index0,edge_index1,pred,gr
1812,1155,1.0,1.0
2356,1705,1.0,1.0
1079,1103,1.0,1.0
718,271,1.0,1.0
1527,1086,1.0,1.0
1378,82,1.0,1.0
1393,1397,1.0,1.0
839,354,1.0,1.0
1055,607,1.0,1.0
2141,2511,1.0,1.0
1018,1139,1.0,1.0
1354,313,1.0,1.0
136,2487,1.0,1.0
2457,1980,1.0,1.0
1709,839,1.0,1.0
1182,1073,1.0,1.0
201,427,1.0,1.0
814,1080,1.0,1.0
82,239,1.0,1.0
418,740,1.0,1.0
1533,970,1.0,1.0
924,1539,1.0,1.0
1140,811,1.0,1.0
574,1827,1.0,1.0
43,747,1.0,1.0
282,592,1.0,1.0
163,1530,1.0,1.0
1328,1031,1.0,1.0
570,1922,1.0,1.0
344,2339,1.0,1.0
1354,1089,1.0,1.0
2038,2692,1.0,1.0
1549,339,1.0,1.0
538,15,1.0,1.0
2444,2257,1.0,1.0
696,427,1.0,1.0
1829,2421,1.0,1.0
775,162,1.0,1.0
247,2446,1.0,1.0
1661,791,1.0,1.0
2220,1409,1.0,1.0
314,1244,1.0,1.0
357,803,1.0,1.0
2530,2090,1.0,1.0
1537,1348,1.0,1.0
2164,1749,1.0,1.0
2560,649,1.0,1.0
608,975,1.0,1.0
998,1240,1.0,1.0
344,2229,1.0,1.0
157,560,1.0,1.0
785,1812,1.0,1.0
717,2502,1.0,1.0
1131,966,1.0,1.0
1365,809,1.0,1.0
163,1572,1.0,1.0
1843,2626,1.0,1.0
1478,2338,1.0,1.0
2107,2046,1.0,1.0
1037,1042,1.0,1.0
1381,570,1.0,1.0
2419,492,1.0,1.0
227,823,1.0,1.0
1082,1081,1.0,1.0
228,52,1.0,1.0
517,2509,1.0,1.0
558,376,1.0,1.0
1766,427,1.0,1.0
1563,53,1.0,1.0
1628,1063,0.0,1.0
163,1594,1.0,1.0
2040,2360,1.0,1.0
2220,2478,1.0,1.0
340,709,1.0,1.0
1581,657,1.0,1.0
109,672,1.0,1.0
1707,1215,1.0,1.0
2289,1805,1.0,1.0
1260,654,1.0,1.0
2253,2591,1.0,1.0
206,1891,1.0,1.0
1043,1042,1.0,1.0
2338,2127,1.0,1.0
2453,2666,1.0,1.0
1724,1079,1.0,1.0
965,1673,1.0,1.0
163,2116,1.0,1.0
2165,745,1.0,1.0
121,595,1.0,1.0
875,1192,1.0,1.0
1607,1335,1.0,1.0
1575,1305,1.0,1.0
1863,1964,1.0,1.0
2429,2667,1.0,1.0
2482,1854,1.0,1.0
1482,1484,1.0,1.0
1509,589,1.0,1.0
1595,1576,1.0,1.0
327,326,1.0,1.0
465,565,1.0,1.0
680,74,1.0,1.0
1935,611,1.0,1.0
415,1790,1.0,1.0
1290,1019,1.0,1.0
163,1799,1.0,1.0
2434,1747,1.0,1.0
1738,1264,1.0,1.0
1379,1611,1.0,1.0
592,1144,1.0,1.0
1053,853,1.0,1.0
747,217,1.0,1.0
1797,1221,1.0,1.0
495,467,1.0,1.0
521,2312,1.0,1.0
439,388,1.0,1.0
256,430,1.0,1.0
1952,2396,1.0,1.0
204,274,0.0,1.0
2705,2216,1.0,1.0
371,2507,1.0,1.0
833,1516,1.0,1.0
122,2400,1.0,1.0
565,2442,1.0,1.0
298,552,1.0,1.0
1551,272,1.0,1.0
818,1212,1.0,1.0
1597,1148,1.0,1.0
552,370,1.0,1.0
120,2175,1.0,1.0
747,502,1.0,1.0
590,364,1.0,1.0
2473,1192,1.0,1.0
793,959,1.0,1.0
109,884,1.0,1.0
2332,2334,1.0,1.0
539,1665,1.0,1.0
74,661,1.0,1.0
2476,294,1.0,1.0
2353,2334,1.0,1.0
714,163,1.0,1.0
1549,1602,1.0,1.0
430,177,1.0,1.0
1129,809,1.0,1.0
1578,1010,1.0,1.0
2092,2015,1.0,1.0
190,519,1.0,1.0
13,482,1.0,1.0
2086,2065,1.0,1.0
78,2681,1.0,1.0
2295,427,1.0,1.0
60,565,1.0,1.0
2242,1910,1.0,1.0
2631,2601,1.0,1.0
511,74,1.0,1.0
902,1174,0.0,1.0
138,748,1.0,1.0
1275,378,1.0,1.0
1410,163,1.0,1.0
1242,939,1.0,1.0
966,965,1.0,1.0
1008,1569,1.0,1.0
1621,752,1.0,1.0
815,880,1.0,1.0
745,18,1.0,1.0
2040,1924,1.0,1.0
627,338,1.0,1.0
1342,808,1.0,1.0
1126,1497,1.0,1.0
1827,299,1.0,1.0
1329,1986,1.0,1.0
250,427,1.0,1.0
157,2095,1.0,1.0
1600,1293,1.0,1.0
1535,1537,1.0,1.0
84,12,1.0,1.0
772,742,1.0,1.0
1316,882,1.0,1.0
305,552,1.0,1.0
1312,1428,1.0,1.0
92,1259,1.0,1.0
1527,827,1.0,1.0
478,470,1.0,1.0
564,294,1.0,1.0
735,86,1.0,1.0
820,1146,1.0,1.0
1025,876,1.0,1.0
1114,602,1.0,1.0
1523,880,1.0,1.0
1713,2510,1.0,1.0
428,184,1.0,1.0
745,36,1.0,1.0
1004,2483,1.0,1.0
1003,2028,1.0,1.0
1375,157,1.0,1.0
639,1763,1.0,1.0
