edge_index0,edge_index1,pred,gr
19159,19967,1.0,1.0
7458,17647,1.0,1.0
35910,36450,1.0,1.0
36689,37987,1.0,1.0
24570,42023,0.0,1.0
500,27823,1.0,1.0
9804,34208,1.0,1.0
1488,19720,1.0,1.0
1765,27234,1.0,1.0
29615,42585,1.0,1.0
2120,10624,1.0,1.0
8177,23545,1.0,1.0
9012,29396,1.0,1.0
1685,33560,0.0,1.0
1603,27823,1.0,1.0
3918,13700,1.0,1.0
8445,13510,1.0,1.0
12704,44903,1.0,1.0
6629,38235,1.0,1.0
9941,29799,1.0,1.0
29999,42983,1.0,1.0
18609,36441,1.0,1.0
43812,45079,0.0,1.0
44584,45242,1.0,1.0
6124,34074,1.0,1.0
13431,21292,1.0,1.0
35263,36828,1.0,1.0
9686,17762,1.0,1.0
12602,32102,1.0,1.0
7996,33220,1.0,1.0
8186,28234,1.0,1.0
2369,31431,1.0,1.0
29349,39451,1.0,1.0
25983,34020,1.0,1.0
841,29375,1.0,1.0
27630,32210,1.0,1.0
28510,45442,0.0,1.0
4444,31155,1.0,1.0
2996,12775,1.0,1.0
24614,38235,1.0,1.0
37227,39613,1.0,1.0
12957,29757,1.0,1.0
19716,36551,1.0,1.0
14086,23285,1.0,1.0
1603,38810,1.0,1.0
7078,11841,1.0,1.0
1883,36067,1.0,1.0
17097,22562,1.0,1.0
4083,29270,1.0,1.0
21033,41979,1.0,1.0
23421,43320,1.0,1.0
19908,33220,1.0,1.0
24257,42599,1.0,1.0
2687,29111,1.0,1.0
7597,17526,1.0,1.0
22564,40159,0.0,1.0
29100,39628,1.0,1.0
8424,35071,1.0,1.0
36601,42525,1.0,1.0
25298,35494,0.0,1.0
3398,10624,1.0,1.0
4558,33220,1.0,1.0
6962,43602,1.0,1.0
6842,36918,1.0,1.0
23496,36384,1.0,1.0
5024,22562,1.0,1.0
20379,45104,1.0,1.0
18731,26809,1.0,1.0
18777,41122,1.0,1.0
10057,27782,1.0,1.0
34208,38208,1.0,1.0
21324,39256,1.0,1.0
26647,43471,1.0,1.0
24855,27704,1.0,1.0
2431,19735,1.0,1.0
37567,42359,0.0,1.0
1082,23364,1.0,1.0
17244,36843,1.0,1.0
11405,27688,1.0,1.0
12704,43626,1.0,1.0
12752,25341,0.0,1.0
8051,43004,1.0,1.0
26825,42597,1.0,1.0
3912,41174,1.0,1.0
11538,27669,1.0,1.0
7361,18283,1.0,1.0
29559,37799,1.0,1.0
13655,15983,1.0,1.0
8786,15504,1.0,1.0
19065,25414,0.0,1.0
11042,31745,0.0,1.0
23994,36621,1.0,1.0
6770,39733,1.0,1.0
18360,27866,1.0,1.0
3161,8309,1.0,1.0
35254,40551,0.0,1.0
4321,14364,1.0,1.0
21209,34981,1.0,1.0
9825,29902,1.0,1.0
14609,32450,1.0,1.0
26319,41744,0.0,1.0
17711,37430,1.0,1.0
19022,24086,1.0,1.0
4471,23327,0.0,1.0
11619,35824,1.0,1.0
8424,41758,0.0,1.0
15400,35545,1.0,1.0
16464,17789,1.0,1.0
1115,13510,1.0,1.0
11539,32450,1.0,1.0
3669,37002,0.0,1.0
5935,25699,0.0,1.0
5632,43465,1.0,1.0
1688,43508,1.0,1.0
5850,42238,1.0,1.0
1603,34215,1.0,1.0
26697,35270,0.0,1.0
20174,42599,1.0,1.0
9892,13700,1.0,1.0
9296,35388,1.0,1.0
38298,45509,0.0,1.0
36309,37235,1.0,1.0
18767,29612,1.0,1.0
11899,13510,1.0,1.0
31648,40953,1.0,1.0
6124,30402,1.0,1.0
39195,42334,1.0,1.0
4431,43176,1.0,1.0
27212,36751,1.0,1.0
8308,10056,1.0,1.0
8084,10897,1.0,1.0
6306,40320,1.0,1.0
3038,11054,1.0,1.0
18514,33218,1.0,1.0
1098,34074,1.0,1.0
24322,36307,1.0,1.0
9374,39242,1.0,1.0
17777,43641,1.0,1.0
12482,29644,1.0,1.0
1623,11273,1.0,1.0
3861,5965,1.0,1.0
8665,44201,1.0,1.0
11757,29396,1.0,1.0
22374,24308,1.0,1.0
8483,13437,1.0,1.0
19170,26028,1.0,1.0
32239,32921,1.0,1.0
18572,38262,1.0,1.0
18777,27138,1.0,1.0
25389,25765,1.0,1.0
19394,20546,1.0,1.0
2726,11375,0.0,1.0
6962,32108,1.0,1.0
6061,20406,1.0,1.0
16793,35169,1.0,1.0
21706,40610,1.0,1.0
3296,12702,0.0,1.0
16430,38870,1.0,1.0
16837,34956,1.0,1.0
32577,40421,1.0,1.0
26317,38235,1.0,1.0
2106,26593,0.0,1.0
10749,45338,1.0,1.0
1053,26018,1.0,1.0
4340,7073,1.0,1.0
5499,28443,1.0,1.0
39280,42983,1.0,1.0
11780,13913,1.0,1.0
10099,28433,1.0,1.0
23627,41354,1.0,1.0
22639,36030,1.0,1.0
9886,37360,1.0,1.0
11570,42909,1.0,1.0
27815,43641,1.0,1.0
3309,22457,0.0,1.0
5168,40397,1.0,1.0
14047,37152,1.0,1.0
13308,35559,1.0,1.0
13465,21649,1.0,1.0
25673,43004,1.0,1.0
16837,37742,1.0,1.0
20228,38856,1.0,1.0
20822,28369,1.0,1.0
26449,42678,1.0,1.0
31858,34166,1.0,1.0
5466,30227,1.0,1.0
23359,44246,1.0,1.0
4434,22133,1.0,1.0
8578,15495,1.0,1.0
8308,28932,1.0,1.0
10069,31375,1.0,1.0
13581,19315,1.0,1.0
25809,35503,1.0,1.0
7633,33853,1.0,1.0
18323,33786,0.0,1.0
23602,38801,1.0,1.0
4475,33953,1.0,1.0
15973,33220,1.0,1.0
19122,20588,1.0,1.0
17601,38027,1.0,1.0
684,42726,1.0,1.0
5303,39642,1.0,1.0
2493,17688,1.0,1.0
17281,37765,1.0,1.0
392,23425,0.0,1.0
25165,28384,0.0,1.0
5071,38834,1.0,1.0
23421,31578,1.0,1.0
19159,45615,1.0,1.0
11980,29191,1.0,1.0
18041,20794,1.0,1.0
9812,16909,1.0,1.0
17281,30745,1.0,1.0
15692,43641,1.0,1.0
12830,20809,1.0,1.0
28805,35580,1.0,1.0
2103,29396,1.0,1.0
5921,31634,1.0,1.0
4610,39639,1.0,1.0
4559,34074,1.0,1.0
35843,44836,1.0,1.0
31777,35254,0.0,1.0
23120,42972,1.0,1.0
9229,31849,1.0,1.0
15885,44000,1.0,1.0
10262,39773,1.0,1.0
14265,37864,0.0,1.0
25542,29205,1.0,1.0
2787,23898,1.0,1.0
8123,18006,1.0,1.0
15901,43867,1.0,1.0
5336,44718,0.0,1.0
27754,43641,1.0,1.0
7477,24014,1.0,1.0
5149,44173,1.0,1.0
8308,8547,0.0,1.0
5355,13700,1.0,1.0
29527,32467,1.0,1.0
28886,44623,1.0,1.0
5212,16201,1.0,1.0
10397,40177,0.0,1.0
16848,42529,1.0,1.0
3980,43013,0.0,1.0
32320,39628,0.0,1.0
24094,43566,1.0,1.0
16288,36548,1.0,1.0
14145,22283,1.0,1.0
8622,44459,1.0,1.0
26586,43641,1.0,1.0
23627,38944,1.0,1.0
28603,33767,1.0,1.0
3017,23898,1.0,1.0
2531,20228,1.0,1.0
6513,34788,1.0,1.0
18731,30402,1.0,1.0
