edge_index0,edge_index1,pred,gr
1260,43930,1.0,1.0
13185,45848,1.0,1.0
35958,41085,1.0,1.0
14177,40088,0.0,1.0
15559,17595,1.0,1.0
5806,21932,0.0,1.0
36617,44553,1.0,1.0
18933,29372,1.0,1.0
35263,39849,1.0,1.0
30643,31944,1.0,1.0
12628,25892,1.0,1.0
20911,40301,1.0,1.0
4089,40133,1.0,1.0
35170,44195,1.0,1.0
1761,39826,1.0,1.0
28580,44173,1.0,1.0
1623,6423,1.0,1.0
12898,22476,1.0,1.0
10180,34343,1.0,1.0
27757,28824,1.0,1.0
5659,6942,1.0,1.0
2578,41760,1.0,1.0
16855,29215,1.0,1.0
18427,39669,1.0,1.0
31887,35918,1.0,1.0
30383,42427,1.0,1.0
20004,27257,1.0,1.0
21483,39642,1.0,1.0
23014,29000,1.0,1.0
9381,13510,1.0,1.0
9193,13320,1.0,1.0
17777,28151,1.0,1.0
31965,37500,0.0,1.0
15345,33141,1.0,1.0
13501,44173,1.0,1.0
39125,43641,1.0,1.0
19800,26137,0.0,1.0
1024,24732,1.0,1.0
1528,2506,1.0,1.0
2549,24238,1.0,1.0
35077,42653,1.0,1.0
18424,39033,0.0,1.0
19639,24707,1.0,1.0
19652,21264,1.0,1.0
31619,33220,1.0,1.0
34820,40610,1.0,1.0
84,37637,0.0,1.0
3800,9717,0.0,1.0
8277,15547,1.0,1.0
38612,44707,1.0,1.0
17449,45104,1.0,1.0
25830,28151,1.0,1.0
9012,35388,1.0,1.0
23252,43930,1.0,1.0
26468,32028,1.0,1.0
21369,35586,0.0,1.0
9586,18105,1.0,1.0
26336,39884,0.0,1.0
6419,25694,0.0,1.0
18907,37445,1.0,1.0
7239,8200,1.0,1.0
43933,45354,1.0,1.0
1726,29593,1.0,1.0
37537,43508,1.0,1.0
16452,37581,0.0,1.0
7776,38912,1.0,1.0
5107,16130,1.0,1.0
16273,43965,1.0,1.0
1496,29076,1.0,1.0
9917,45898,1.0,1.0
6353,25892,1.0,1.0
219,24904,1.0,1.0
34380,45039,1.0,1.0
33815,40610,1.0,1.0
11476,13345,1.0,1.0
4073,22706,1.0,1.0
14599,43102,0.0,1.0
4443,34397,1.0,1.0
16339,34131,1.0,1.0
18323,33786,0.0,1.0
18360,30402,1.0,1.0
15458,21771,1.0,1.0
23954,40714,1.0,1.0
25739,42149,1.0,1.0
15270,43666,1.0,1.0
38817,40277,1.0,1.0
18853,31293,0.0,1.0
29999,37987,1.0,1.0
17061,29072,1.0,1.0
33002,35388,1.0,1.0
6979,20467,1.0,1.0
12487,24290,1.0,1.0
2687,29111,1.0,1.0
14941,37731,1.0,1.0
15883,20996,1.0,1.0
8157,13564,1.0,1.0
2369,17789,1.0,1.0
31291,37360,1.0,1.0
14501,37200,1.0,1.0
1611,19967,1.0,1.0
3052,26736,1.0,1.0
11199,38235,1.0,1.0
6229,36483,1.0,1.0
3585,19907,1.0,1.0
30974,38856,1.0,1.0
21940,28989,0.0,1.0
1961,42132,0.0,1.0
7586,22476,1.0,1.0
2369,19727,1.0,1.0
13205,16002,0.0,1.0
31832,39061,1.0,1.0
4430,12494,0.0,1.0
1860,37254,1.0,1.0
9994,16298,1.0,1.0
8506,22562,1.0,1.0
10527,20949,1.0,1.0
26825,39466,1.0,1.0
11927,46154,1.0,1.0
3745,40192,1.0,1.0
8847,22976,1.0,1.0
11939,13564,1.0,1.0
19088,22286,1.0,1.0
10366,19619,0.0,1.0
12952,32977,1.0,1.0
20421,34074,1.0,1.0
35927,37906,1.0,1.0
4081,34817,1.0,1.0
9012,40192,1.0,1.0
21666,23545,1.0,1.0
23837,40565,1.0,1.0
5,37987,1.0,1.0
2549,7936,1.0,1.0
17564,37987,1.0,1.0
7421,45847,1.0,1.0
19259,40144,0.0,1.0
206,25397,1.0,1.0
30534,31868,1.0,1.0
25075,39392,1.0,1.0
8445,33220,1.0,1.0
33221,42492,0.0,1.0
37732,43641,1.0,1.0
1200,8331,1.0,1.0
13760,38445,1.0,1.0
17061,39642,1.0,1.0
19442,33220,1.0,1.0
7856,30817,1.0,1.0
32250,39164,1.0,1.0
10342,12851,1.0,1.0
16221,40433,1.0,1.0
23092,42599,1.0,1.0
293,24231,1.0,1.0
5194,6449,0.0,1.0
2055,45434,1.0,1.0
13408,45245,1.0,1.0
6010,35580,1.0,1.0
6535,13700,1.0,1.0
8939,40610,1.0,1.0
24061,29174,0.0,1.0
14359,36006,1.0,1.0
42412,42926,0.0,1.0
5580,44726,1.0,1.0
12941,13700,1.0,1.0
27815,42417,1.0,1.0
13858,44476,0.0,1.0
8940,44260,1.0,1.0
19492,26562,1.0,1.0
2909,33789,1.0,1.0
21313,33731,1.0,1.0
4124,8665,1.0,1.0
28392,29396,1.0,1.0
6453,40610,1.0,1.0
15303,33936,1.0,1.0
1127,10788,1.0,1.0
1639,31189,1.0,1.0
26444,43634,0.0,1.0
31984,42238,1.0,1.0
33675,38809,1.0,1.0
3804,31314,1.0,1.0
14600,21343,0.0,1.0
7535,43792,1.0,1.0
25260,36290,0.0,1.0
33830,40192,1.0,1.0
10749,39413,1.0,1.0
