edge_index0,edge_index1,pred,gr
35405,37821,0.0,1.0
7996,16581,1.0,1.0
6545,25768,1.0,1.0
30895,38932,0.0,1.0
29999,42756,1.0,1.0
22643,45844,1.0,1.0
12128,43930,1.0,1.0
17536,31498,0.0,1.0
17090,34040,1.0,1.0
21190,35445,1.0,1.0
6953,20948,1.0,1.0
10963,35671,0.0,1.0
33845,34074,1.0,1.0
8906,43131,1.0,1.0
3638,9706,0.0,1.0
28242,33220,1.0,1.0
7880,42322,0.0,1.0
29527,30745,1.0,1.0
34347,43641,1.0,1.0
24841,25470,1.0,1.0
4147,16460,1.0,1.0
11476,22331,1.0,1.0
23005,40024,1.0,1.0
24375,28559,0.0,1.0
16078,43114,1.0,1.0
22665,23332,0.0,1.0
8308,11607,1.0,1.0
22833,36820,1.0,1.0
13848,41665,1.0,1.0
9521,16565,0.0,1.0
5815,25892,1.0,1.0
19578,36689,1.0,1.0
7982,44187,1.0,1.0
14528,14532,1.0,1.0
23089,45087,1.0,1.0
16552,35440,1.0,1.0
23998,41409,1.0,1.0
10240,13490,1.0,1.0
1908,36574,0.0,1.0
13561,37381,1.0,1.0
27445,43332,0.0,1.0
21375,44173,1.0,1.0
10021,25843,1.0,1.0
11809,35388,1.0,1.0
22376,25071,1.0,1.0
35465,44246,1.0,1.0
25703,44854,1.0,1.0
7384,37765,1.0,1.0
10525,26408,1.0,1.0
22288,33455,1.0,1.0
7833,15301,1.0,1.0
10749,29375,1.0,1.0
6535,14623,1.0,1.0
15184,31791,1.0,1.0
3033,22286,1.0,1.0
8610,36589,1.0,1.0
27820,31540,0.0,1.0
28425,33221,0.0,1.0
13239,36635,1.0,1.0
7043,33220,1.0,1.0
14920,35085,1.0,1.0
24440,29396,1.0,1.0
7657,13564,1.0,1.0
10221,15301,1.0,1.0
10069,24503,1.0,1.0
4705,5756,1.0,1.0
6335,29010,1.0,1.0
13498,16562,1.0,1.0
2234,17061,1.0,1.0
26094,41122,1.0,1.0
7982,16714,0.0,1.0
10163,32450,1.0,1.0
5499,22334,1.0,1.0
9517,10646,0.0,1.0
5725,16284,1.0,1.0
5969,41104,1.0,1.0
1805,4344,0.0,1.0
24640,31562,1.0,1.0
36178,44189,1.0,1.0
11273,43566,1.0,1.0
17299,43718,1.0,1.0
14881,20502,1.0,1.0
14609,37383,1.0,1.0
37372,39312,1.0,1.0
4083,5864,1.0,1.0
969,45898,1.0,1.0
1868,8362,1.0,1.0
13474,34074,1.0,1.0
11551,45087,1.0,1.0
6422,36751,1.0,1.0
5832,37853,0.0,1.0
15955,32282,1.0,1.0
12602,45245,1.0,1.0
28978,36751,1.0,1.0
1115,43641,1.0,1.0
34473,43424,1.0,1.0
32820,39669,1.0,1.0
17517,33490,1.0,1.0
10942,32980,1.0,1.0
407,26562,1.0,1.0
6061,32618,1.0,1.0
38167,43641,1.0,1.0
16822,17061,1.0,1.0
4345,22886,1.0,1.0
7189,30675,1.0,1.0
9198,38135,1.0,1.0
7078,7678,1.0,1.0
21995,34245,1.0,1.0
40103,43164,1.0,1.0
8369,22506,1.0,1.0
7454,33936,1.0,1.0
867,13298,1.0,1.0
16527,45018,1.0,1.0
6925,36332,0.0,1.0
3740,5815,1.0,1.0
13029,15301,1.0,1.0
28813,33892,1.0,1.0
310,22026,0.0,1.0
10861,28687,1.0,1.0
3138,36445,1.0,1.0
8412,10223,1.0,1.0
261,21771,1.0,1.0
10562,36084,1.0,1.0
10163,16014,1.0,1.0
24550,25739,1.0,1.0
22097,26647,1.0,1.0
8084,18391,1.0,1.0
13406,32350,1.0,1.0
2384,13345,1.0,1.0
30881,39737,1.0,1.0
16030,22584,1.0,1.0
10904,20662,1.0,1.0
7357,36975,1.0,1.0
9804,27669,1.0,1.0
18347,35323,1.0,1.0
1899,44173,1.0,1.0
10492,45433,1.0,1.0
29317,32450,1.0,1.0
25097,26454,1.0,1.0
16381,34074,1.0,1.0
14219,27569,1.0,1.0
15812,37310,1.0,1.0
5104,11548,1.0,1.0
25155,33220,1.0,1.0
42417,45455,1.0,1.0
23804,41390,1.0,1.0
703,43641,1.0,1.0
514,20802,1.0,1.0
8424,43844,1.0,1.0
486,17121,1.0,1.0
13185,13510,1.0,1.0
23277,38904,1.0,1.0
11809,40953,1.0,1.0
35234,36547,1.0,1.0
4431,13700,1.0,1.0
4108,15709,0.0,1.0
10978,37987,1.0,1.0
11190,25881,1.0,1.0
17417,39908,1.0,1.0
19638,41469,0.0,1.0
21610,31189,1.0,1.0
11062,28030,1.0,1.0
2431,4483,1.0,1.0
15194,38219,1.0,1.0
9109,18758,1.0,1.0
2728,5380,0.0,1.0
6468,10652,0.0,1.0
5784,27782,1.0,1.0
4978,43508,1.0,1.0
22199,29791,0.0,1.0
10996,35973,0.0,1.0
31857,38235,1.0,1.0
13185,40192,1.0,1.0
31265,42060,0.0,1.0
12943,13561,1.0,1.0
6729,17633,1.0,1.0
3910,33782,1.0,1.0
13596,37437,1.0,1.0
25833,34779,1.0,1.0
528,22978,1.0,1.0
10292,22816,1.0,1.0
33907,33962,1.0,1.0
574,18429,1.0,1.0
4340,13510,1.0,1.0
40403,42042,0.0,1.0
29006,29867,1.0,1.0
27018,29163,1.0,1.0
7796,22476,1.0,1.0
1654,13700,1.0,1.0
21324,26854,1.0,1.0
1808,21098,0.0,1.0
26586,43641,0.0,1.0
11949,33220,1.0,1.0
14170,33220,1.0,1.0
17248,42089,1.0,1.0
20484,34074,1.0,1.0
6324,18222,1.0,1.0
8308,25072,0.0,1.0
11292,35292,1.0,1.0
21008,42651,0.0,1.0
6397,43327,1.0,1.0
8851,14129,1.0,1.0
26282,33836,1.0,1.0
3413,3548,1.0,1.0
32148,42666,1.0,1.0
9038,13510,1.0,1.0
9810,30745,1.0,1.0
3220,27704,1.0,1.0
29218,44288,1.0,1.0
25936,43641,1.0,1.0
22899,38338,1.0,1.0
11443,30817,1.0,1.0
15943,33220,1.0,1.0
27186,38338,1.0,1.0
1900,39733,1.0,1.0
41139,42908,1.0,1.0
6640,27454,1.0,1.0
939,45570,1.0,1.0
21461,39757,1.0,1.0
575,33220,1.0,1.0
24057,42961,0.0,1.0
39195,40976,1.0,1.0
36223,45122,1.0,1.0
9686,22660,1.0,1.0
734,19778,1.0,1.0
13955,30331,1.0,1.0
11476,33853,1.0,1.0
8103,40192,1.0,1.0
2531,20228,1.0,1.0
23478,35456,0.0,1.0
17930,18055,1.0,1.0
31913,34074,1.0,1.0
1836,28532,1.0,1.0
12706,23502,1.0,1.0
17396,37683,0.0,1.0
5522,19747,1.0,1.0
3861,35545,1.0,1.0
24954,26921,1.0,1.0
20951,33220,1.0,1.0
7632,44129,1.0,1.0
35556,45058,1.0,1.0
11480,23146,1.0,1.0
8231,17153,1.0,1.0
3389,24624,1.0,1.0
17382,35955,1.0,1.0
17968,27454,1.0,1.0
8247,12817,0.0,1.0
11406,16556,1.0,1.0
19378,24308,1.0,1.0
18428,43641,1.0,1.0
21782,41224,1.0,1.0
14145,14592,1.0,1.0
9949,13700,1.0,1.0
10614,29396,1.0,1.0
2428,5891,1.0,1.0
677,31532,0.0,1.0
10371,25161,1.0,1.0
9578,27920,1.0,1.0
37411,43602,1.0,1.0
24313,45242,1.0,1.0
397,23629,1.0,1.0
10527,20949,1.0,1.0
7860,22998,1.0,1.0
30324,36887,1.0,1.0
27267,27305,1.0,1.0
28691,30807,1.0,1.0
8155,20386,0.0,1.0
37627,41839,1.0,1.0
13185,36903,1.0,1.0
1298,7758,1.0,1.0
15544,20846,0.0,1.0
6531,32185,1.0,1.0
12704,44854,1.0,1.0
29803,39344,0.0,1.0
2811,13700,1.0,1.0
10262,13510,1.0,1.0
6719,43641,1.0,1.0
21562,36075,1.0,1.0
7732,30243,1.0,1.0
4975,22834,1.0,1.0
10163,37765,1.0,1.0
5421,22816,1.0,1.0
4631,15004,1.0,1.0
